Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of A Tiger in the Zoo?,Robert Frost,Leslie Norris,William Blake,John Keats,Leslie Norris
MCQ,2,A Tiger in the Zoo is a,Story,Poem,Play,Essay,Poem
MCQ,3,Where is the tiger in the poem?,Forest,Zoo,Mountain,River,Zoo
MCQ,4,The tiger is locked in a,Den,Cage,Forest,Valley,Cage
MCQ,5,What is the tiger doing in the cage?,Sleeping,Running,Pacing,Roaring,Pacing
MCQ,6,The tiger’s movement is described as,Free,Fast,Slow and quiet,Violent,Slow and quiet
MCQ,7,What does the tiger ignore?,Visitors,Food,Keeper,Bars,Visitors
MCQ,8,The tiger’s strength is described as,Weak,Powerful,Average,Small,Powerful
MCQ,9,The poet contrasts the tiger’s life in the zoo with,City life,Forest life,Human life,Bird life,Forest life
MCQ,10,The tiger should be lurking near,House,Water hole,Cage gate,Road,Water hole
MCQ,11,The tiger in the wild would be hunting,Deer,Buffalo,Elephants,Goats,Deer
MCQ,12,The tiger hears the patrolling cars at,Evening,Night,Morning,Afternoon,Night
MCQ,13,What emotion does the tiger show?,Joy,Anger,Indifference,Happiness,Anger
MCQ,14,The tiger’s eyes are described as,Friendly,Bright and soft,Angry and sharp,Closed,Angry and sharp
MCQ,15,The poem highlights the theme of,Freedom vs captivity,Love,Nature’s beauty,War,Freedom vs captivity
MCQ,16,The tiger’s strength is locked behind,Walls,Bars,Trees,Fences,Bars
MCQ,17,The poet sympathizes with the tiger because it is,Hungry,Angry,Imprisoned,Wild,Imprisoned
MCQ,18,The tiger’s roar is directed at,Visitors,Cars,Stars,Keeper,Stars
MCQ,19,The poet wants the tiger to be,In cage,In forest,With humans,Trained,In forest
MCQ,20,What time does the tiger hear cars?,Day,Night,Evening,Morning,Night
MCQ,21,The tiger walks in the cage with,Anger,Fear,Pride,Joy,Anger
MCQ,22,The tiger’s movement suggests,Freedom,Powerlessness,Happiness,Excitement,Powerlessness
MCQ,23,The zoo represents,Freedom,Protection,Captivity,Nature,Captivity
MCQ,24,The forest represents,Danger,Freedom,City life,Crowd,Freedom
MCQ,25,The tiger’s roar is,A sign of joy,A sign of fear,A protest,A greeting,A protest
MCQ,26,The poem shows animals are happier in,Zoos,Cages,Forests,Cities,Forests
MCQ,27,The tiger ignores visitors because,He is sleeping,He is angry,He is used to them,He is tired,He is angry
MCQ,28,The tiger’s pacing shows,Excitement,Anger and frustration,Joy,Freedom,Anger and frustration
MCQ,29,The poem criticizes,Wild animals,Hunters,Zoos,Forests,Zoos
MCQ,30,The tiger’s natural habitat is,Zoo,Cage,Forest,City,Forest
MCQ,31,The tiger’s claws are described as,Soft,Weak,Sharp and strong,Broken,Sharp and strong
MCQ,32,The tiger stalks its prey near,House,Water hole,Cage gate,City,Water hole
MCQ,33,The tiger’s strength is called,Unused,Lost,Locked,Destroyed,Locked
MCQ,34,The poet uses contrast between,Man and animal,Zoo and forest,Day and night,Noise and silence,Zoo and forest
MCQ,35,The tiger’s eyes are full of,Peace,Fear,Rage,Joy,Rage
MCQ,36,The poem makes readers feel,Sad,Happy,Indifferent,Excited,Sad
MCQ,37,The tiger is described as,Weak,Majestic,Lazy,Friendly,Majestic
MCQ,38,The poet feels that keeping animals in cages is,Caring,Cruel,Safe,Useful,Cruel
MCQ,39,The tiger’s silence suggests,Peace,Submission,Anger,Fear,Anger
MCQ,40,The poem ends with the tiger,Escaping,Sleeping,Staring at stars,Attacking,Staring at stars
MCQ,41,The tiger’s roar reaches,People,Cars,Stars,Forest,Stars
MCQ,42,The poem reflects concern for,Human life,Wildlife,Nature only,Cities,Wildlife
MCQ,43,The tiger is restless because of,Lack of food,Illness,Loss of freedom,Noise,Loss of freedom
MCQ,44,The tiger’s cage is described as,Wide,Comfortable,Narrow,Open,Narrow
MCQ,45,The poem suggests that animals should live,With humans,In cages,In forests,In cities,In forests
MCQ,46,The tiger’s movement is compared to,Running,Pacing,Flying,Jumping,Pacing
MCQ,47,The tiger’s life in the zoo is,Joyful,Peaceful,Unnatural,Safe,Unnatural
MCQ,48,The poet uses imagery to show,Beauty of zoo,Sadness of captivity,Nature’s danger,Happiness of animals,Sadness of captivity
