Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,In a right triangle, sin A is equal to:,Opposite side/Hypotenuse,Adjacent side/Hypotenuse,Opposite side/Adjacent side,Hypotenuse/Opposite side,Opposite side/Hypotenuse
MCQ,2,In a right triangle, cos A is equal to:,Opposite side/Hypotenuse,Adjacent side/Hypotenuse,Opposite side/Adjacent side,Hypotenuse/Adjacent side,Adjacent side/Hypotenuse
MCQ,3,In a right triangle, tan A is equal to:,Opposite side/Hypotenuse,Adjacent side/Hypotenuse,Opposite side/Adjacent side,Hypotenuse/Opposite side,Opposite side/Adjacent side
MCQ,4,The value of sin 30° is:,1/2,√3/2,1/√2,1,1/2
MCQ,5,The value of cos 60° is:,1/2,√3/2,1/√2,1,1/2
MCQ,6,The value of tan 45° is:,0,1,√3,1/√3,1
MCQ,7,The value of sin 90° is:,0,1/2,1,√3/2,1
MCQ,8,The value of cos 0° is:,0,1/2,1,√3/2,1
MCQ,9,The value of sin 45° is:,1/2,√3/2,1/√2,1,1/√2
MCQ,10,The value of cos 45° is:,1/2,√3/2,1/√2,1,1/√2
MCQ,11,The value of tan 60° is:,1/√3,1,√3,0,√3
MCQ,12,The value of sin 60° is:,1/2,√3/2,1/√2,1,√3/2
MCQ,13,The value of cos 30° is:,1/2,√3/2,1/√2,1,√3/2
MCQ,14,The value of tan 30° is:,1/√3,1,√3,0,1/√3
MCQ,15,The value of sin 0° is:,0,1/2,1,√3/2,0
MCQ,16,The value of tan 0° is:,0,1,√3,1/√3,0
MCQ,17,If sin A = 3/5, then cos A =:,3/5,4/5,5/4,5/3,4/5
MCQ,18,If cos A = 12/13, then sin A =:,5/13,12/13,13/12,13/5,5/13
MCQ,19,The identity sin² A + cos² A is equal to:,0,1,tan A,cot A,1
MCQ,20,The value of sec² A - tan² A is:,0,1,sin A,cos A,1
MCQ,21,The value of cosec² A - cot² A is:,0,1,sin A,cos A,1
MCQ,22,If sin A = cos A, then A =:,30°,45°,60°,90°,45°
MCQ,23,sin (90° - A) is equal to:,sin A,cos A,tan A,cot A,cos A
MCQ,24,cos (90° - A) is equal to:,sin A,cos A,tan A,cot A,sin A
MCQ,25,tan (90° - A) is equal to:,tan A,cot A,sin A,cos A,cot A
MCQ,26,The value of sin² 30° + cos² 30° is:,0,1,1/2,3/4,1
MCQ,27,The value of tan 30° × tan 60° is:,1,√3,1/√3,3,1
MCQ,28,The value of (sin 30° + cos 60°) is:,1,1/2,√3/2,0,1
MCQ,29,If tan A = 1, then A =:,30°,45°,60°,90°,45°
MCQ,30,The value of (1 - cos² A) is:,sin² A,cos² A,tan² A,sec² A,sin² A
MCQ,31,The value of (1 - sin² A) is:,sin² A,cos² A,tan² A,sec² A,cos² A
MCQ,32,If sin A = 1/2, then A =:,30°,45°,60°,90°,30°
MCQ,33,If cos A = 1/2, then A =:,30°,45°,60°,90°,60°
MCQ,34,The value of sec 45° is:,1,√2,1/√2,2,√2
MCQ,35,The value of cosec 30° is:,1,2,√2,√3,2
MCQ,36,The value of cot 45° is:,0,1,√3,1/√3,1
MCQ,37,If sin A = cos A, then the value of tan A is:,0,1,√3,1/√3,1
MCQ,38,The value of (sin 45° + cos 45°) is:,1,√2,1/√2,2,√2
MCQ,39,The value of (tan 45° - sin 30°) is:,1/2,1,3/2,0,1/2
MCQ,40,If A + B = 90°, then sin A =:,sin B,cos B,tan B,cot B,cos B
MCQ,41,The value of sin² 60° + cos² 60° is:,0,1/2,3/4,1,1
MCQ,42,The value of (sin 60° cos 30° + cos 60° sin 30°) is:,0,1/2,1,√3/2,1
MCQ,43,If tan A = √3, then A =:,30°,45°,60°,90°,60°
MCQ,44,The value of (1 + tan² A) is:,sin² A,cos² A,sec² A,cosec² A,sec² A
MCQ,45,The value of (1 + cot² A) is:,sin² A,cos² A,sec² A,cosec² A,cosec² A
MCQ,46,If sec A = 2, then cos A =:,1/2,2,1,√3/2,1/2
MCQ,47,The value of cot (90° - A) is:,tan A,cot A,sin A,cos A,tan A
MCQ,48,The value of (sec² A - 1) is:,tan² A,cot² A,sin² A,cos² A,tan² A
MCQ,49,If sin A = 0, then A =:,0°,30°,45°,60°,0°
MCQ,50,The value of (cosec² A - 1) is:,tan² A,cot² A,sin² A,cos² A,cot² A
Integer,1,The value of sin 30° = 1/2. Write the numerator: _____.,1,,,,
Integer,2,The value of cos 60° = 1/2. Write the numerator: _____.,1,,,,
Integer,3,The value of tan 45° = _____.,1,,,,
Integer,4,The value of sin 90° = _____.,1,,,,
