Question,Answer
A ratio compares two quantities.,True
Ratios can be written in fraction form.,True
The ratio 2:3 is equivalent to 4:6,True
A ratio of 5:5 is equal to 1:1,True
A proportion states that two ratios are equal.,True
If 2:3 = 4:6, it is a proportion,True
If 3:4 = 6:9, it is a proportion,False
The product of means equals the product of extremes in a proportion.,True
The ratio of 5:10 is 1:2,True
The ratio of 12:8 is 2:3,False
12:8 simplified is 3:2,True
The sum of parts in a ratio 3:5 is 8,True
Ratios can compare more than two quantities.,True
The mean proportional between 4 and 16 is 8,True
Ratios can never be zero.,False
Ratios can be fractions.,True
A proportion can have missing terms.,True
If a:b = 2:3 and b:c = 4:5, a:c = 8:15,True
Dividing a number in ratio 3:5, the parts are proportional.,True
In a ratio 1:4, the larger part is four times the smaller part.,True
The fourth term in 3:5 = x:20 is x = 12,True
The fourth term in 2:3 = 8:x is x = 12,True
The ratio of two equal numbers is 1:1,True
A proportion can have three equal numbers.,False
The ratio of 0:5 is 0,True
The ratio of 5:0 is defined.,False
The inverse of 2:3 is 3:2,True
Ratios are always written in simplest form.,False
The terms of a ratio must be positive.,False
The product of extremes = product of means is called cross multiplication.,True
The sum of two ratios is always meaningful.,False
Ratios can be expressed as decimals.,True
Ratios can be expressed as percentages.,True
A:b = 4:5 is same as 8:10,True
2:3 = 4:6,True
5:7 ≠ 10:14,False
5:7 = 10:14,True
Ratios are only used in mathematics.,False
Ratios can describe real-life quantities.,True
Proportion is used in recipe calculations.,True
Proportion is used in map scaling.,True
4:5 = 8:10,True
Dividing 30 in ratio 1:5 gives 5 and 25,True
Dividing 60 in ratio 2:7 gives 12 and 48,True
Two numbers in ratio 3:4 with sum 28 are 12 and 16,True
Two numbers in ratio 5:7 with sum 36 are 15 and 21,True
Ratios cannot have fractional parts.,False
Proportions are used in speed and distance calculations.,True
Ratios and proportions are closely related.,True
Proportions can solve real-life problems.,True
The mean proportional can be used to find missing terms in proportions.,True
