Question,Option A,Option B,Option C,Option D,Answer
The additive inverse of 7 is?,7,-7,0,1,B
Which of the following is a negative integer?,-3,0,5,7,A
Sum of -5 and 8 is?,-3,3,13,-13,A
Difference of 9 and -4 is?,5,13,-5,0,B
Product of -6 and 3 is?,-18,18,-9,9,A
Quotient of -12 divided by 4 is?,-3,3,-4,4,A
Which of the following is not an integer?,0,-5,3.5,7,C
If -7 + x = 0, value of x is?,7,-7,0,1,A
Which of the following is greater?-5 or -3?,-5,-3,0,3,B
Sum of -2, -4, and 6 is?,-10,0,2,-2,B
The product of two negative integers is?,Negative,Positive,Zero,Undefined,B
The sum of a positive and negative integer may be?,Positive,Negative,Zero,All of these,D
The integer which is neither positive nor negative?,0,1,-1,2,A
Difference of -3 and -7 is?,-10,4,10,-4,B
Sum of -15 and 15 is?,0,-30,30,-15,A
The additive inverse of -9 is?,9,-9,0,1,A
Product of -8 and -2 is?,-16,16,-10,10,B
Quotient of 15 by -3 is?,-5,5,-18,18,A
Which integer lies between -3 and 2?,-4,-2,3,-5,B
Sum of 7, -12, and 5 is?,-10,0,10,-5,B
The difference of -9 and 4 is?,-13,5,13,-5,A
Product of 0 and any integer is?,0,1,-1,Undefined,A
-4 + (-6) equals?,-10,10,-2,2,A
Which of the following is smallest?,-10,-5,0,5,A
-7 × -3 equals?,-21,21,-10,10,B
The quotient of -18 by -6 is?,-3,3,6,-6,B
Sum of -1, -2, -3, -4 is?,-10,10,-1,1,A
-5 - (-2) equals?,-3,3,-7,7,A
The sum of 0 and any integer is?,The integer itself,0,Negative,Positive,A
Which integer is less than -1?,-2,0,1,2,A
If -x = 8, value of x is?,-8,8,0,1,A
Difference of -6 and 9 is?,-15,3,15,-3,A
The sum of -3, 2, and -5 is?,-6,0,1,5,A
Product of -4 and 5 is?,-20,20,-9,9,A
The additive inverse of 0 is?,0,1,-1,Undefined,A
-12 ÷ 4 equals?,-3,3,-4,4,A
Sum of -7 and -8 is?,-15,15,-1,1,A
-5 × 0 equals?,0,5,-5,Undefined,A
The difference of -10 and -5 is?,-5,5,-15,15,A
Sum of -2 and 9 is?,-7,7,11,-11,B
Product of -6, -2, and 3 is?,-36,36,-12,12,B
Quotient of -24 by 6 is?,-4,4,-6,6,A
Which integer is greater?-8 or -12?,-8,-12,0,12,A
Sum of -3, -7, 10, and 0 is?,-10,0,10,-5,B
-9 + (-1) equals?,-10,10,-8,8,A
Difference of 5 and -5 is?,0,10,-10,5,B
-15 ÷ -3 equals?,5,-5,3,-3,A
Which of the following is positive?,7,-3,-5,0,A
-8 + 3 equals?,-5,5,-11,11,A
-4 - (-9) equals?,-5,5,-13,13,B
The product of -7, 2, and -1 is?,14,-14,9,-9,A
Sum of -2, -3, -4, -1 is?,-10,10,-5,5,A
