Question,Answer
Data collected for a specific purpose is called ______.,Raw data
The process of arranging data in a systematic form is called ______.,Data organization
A table that shows data in rows and columns is called a ______.,Tally chart
A mark used to record frequency in a tally chart is called a ______.,Tally mark
The total number of observations in a data set is called ______.,Frequency
A diagram representing data using rectangles is called a ______.,Bar graph
The height of a rectangle in a bar graph represents ______.,Frequency
A graph that uses lines to represent data is called a ______.,Line graph
A graph that uses sectors to represent data proportionally is called a ______.,Pie chart
In a pie chart, the whole circle represents ______.,Total frequency
The sum of all frequencies is called ______.,Total
The difference between the highest and lowest values is called ______.,Range
The value that occurs most frequently is called ______.,Mode
The value that lies in the middle when data is arranged in order is called ______.,Median
The middle value in an odd number of observations is called ______.,Median
The first step in data handling is ______.,Data collection
The second step in data handling is ______.,Data organization
The third step in data handling is ______.,Data representation
A line graph uses ______ to represent data points.,Lines
A bar graph uses ______ to represent frequency.,Rectangles
The length of a bar in a bar graph shows the ______.,Frequency
A pie chart is divided into ______.,Sectors
The total angle in a pie chart is ______ degrees.,360
Each sector of a pie chart represents ______ proportion of data.,Relative
A tally mark represents ______ occurrence of an event.,One
Data collected from first-hand experience is called ______.,Primary data
Data collected from books, reports, or internet is called ______.,Secondary data
The number of observations for a particular value is called ______.,Frequency
The sum of frequencies gives the ______.,Total
The horizontal line in a bar graph is called the ______.,X-axis
The vertical line in a bar graph is called the ______.,Y-axis
The topmost value in a data set is called ______.,Maximum
The bottommost value in a data set is called ______.,Minimum
The difference between maximum and minimum is called ______.,Range
A pictograph uses ______ to represent data.,Pictures or symbols
Each picture in a pictograph may represent ______ items.,Many
A line graph shows ______ over time.,Trends
In a bar graph, bars can be drawn ______ or vertical.,Horizontally
In a bar graph, bars are drawn ______ to avoid confusion.,Equally spaced
The median divides the data into ______ parts.,Two equal
Mode may be more than one if data is ______.,Bimodal or multimodal
Data handling helps in ______ decision making.,Better
The main advantage of pictographs is that they are ______.,Easy to understand
Data collected from surveys is usually called ______.,Primary data
A frequency table helps in ______ data.,Organizing
The total number of bars in a bar graph represents the number of ______.,Categories
A tally chart is used to show ______ in an easy way.,Frequency
A line graph can be used to show changes over ______.,Time
A pie chart shows ______ of each category.,Proportion
Data handling makes it easier to ______.,Interpret information
The median of 7, 12, 15, 20, 25 is ______.,15
The mode of 2, 3, 4, 4, 5, 6 is ______.,4
The range of 10, 15, 20, 25, 30 is ______.,20
The total of frequencies 5, 8, 7, 10 is ______.,30
