c10Question,Answer
Define mensuration.,Mensuration is the branch of mathematics that deals with measurement of length, area, and volume.
What is perimeter?,The distance around a closed figure.
What is area?,The surface covered by a figure.
What is volume?,The space occupied by a 3D object.
Perimeter of square with side 5 cm?,20 cm
Area of square with side 6 cm?,36 cm²
Perimeter of rectangle with length 8 cm and breadth 5 cm?,26 cm
Area of rectangle with length 10 cm and breadth 4 cm?,40 cm²
Perimeter of triangle with sides 3 cm, 4 cm, 5 cm?,12 cm
Area of triangle with base 6 cm and height 4 cm?,12 cm²
Perimeter of circle?,2πr
Area of circle?,πr²
Define radius of circle.,Distance from center to any point on the circle.
Define diameter of circle.,Distance across the circle passing through center.
Relation between radius and diameter?,Diameter = 2 × radius
Volume of cube with side 3 cm?,27 cm³
Surface area of cube with side 4 cm?,96 cm²
Volume of cuboid with length 5 cm, breadth 3 cm, height 2 cm?,30 cm³
Surface area of cuboid with length 5 cm, breadth 3 cm, height 2 cm?,62 cm²
Perimeter of square plot of side 20 m?,80 m
Area of rectangular plot length 25 m, breadth 10 m?,250 m²
Circumference of circle with radius 7 cm?,44 cm (approx)
Area of circle with radius 7 cm?,154 cm² (approx)
Define lateral surface area.,Area of all sides excluding base(s)
Define total surface area.,Area of all surfaces including base(s)
Volume of cylinder with radius 3 cm, height 10 cm?,282.6 cm³ (approx)
Total surface area of cylinder with radius 3 cm, height 10 cm?,245.04 cm² (approx)
Volume of cone with radius 3 cm, height 4 cm?,37.68 cm³ (approx)
Total surface area of cone with radius 3 cm, slant height 5 cm?,75.36 cm² (approx)
Perimeter of equilateral triangle with side 6 cm?,18 cm
Area of equilateral triangle with side 6 cm?,9√3 cm² (approx 15.59 cm²)
Volume of sphere with radius 7 cm?,1436.76 cm³ (approx)
Surface area of sphere with radius 7 cm?,615.44 cm² (approx)
Volume of cube with side 5 cm?,125 cm³
Surface area of cuboid with length 6 cm, breadth 4 cm, height 3 cm?,132 cm²
Volume of cuboid with length 8 cm, breadth 5 cm, height 2 cm?,80 cm³
Area of rectangle with length 12 cm, breadth 7 cm?,84 cm²
Perimeter of rectangle with length 15 cm, breadth 9 cm?,48 cm
Area of triangle with base 10 cm, height 6 cm?,30 cm²
Perimeter of triangle with sides 7 cm, 8 cm, 5 cm?,20 cm
Area of triangle with sides 5 cm, 12 cm, 13 cm?,30 cm²
Volume of cuboid with length 10 cm, breadth 4 cm, height 3 cm?,120 cm³
Surface area of cube with side 6 cm?,216 cm²
Volume of cube with side 4 cm?,64 cm³
Total surface area of cylinder with radius 5 cm, height 10 cm?,471 cm² (approx)
Volume of cylinder with radius 5 cm, height 10 cm?,785 cm³ (approx)
Perimeter of square with side 9 cm?,36 cm
Area of square with side 7 cm?,49 cm²
Area of rectangle with length 14 cm, breadth 5 cm?,70 cm²
Volume of sphere with radius 4 cm?,268.08 cm³ (approx)
Surface area of sphere with radius 5 cm?,314 cm² (approx)
