Question,Answer
Define a fraction with examples.,A fraction represents a part of a whole and is written as a/b where a is numerator and b is denominator. Example: 3/4, 5/8.
What is a proper fraction? Give examples.,A proper fraction has numerator less than denominator. Example: 2/5, 3/7.
What is an improper fraction? Give examples.,An improper fraction has numerator greater than or equal to denominator. Example: 7/5, 9/3.
Convert 9/4 into a mixed fraction.,9 ÷ 4 = 2 remainder 1, so mixed fraction = 2 1/4.
Convert 3 2/5 into an improper fraction.,(3 × 5 + 2)/5 = 17/5.
Find the simplest form of 18/24.,Divide numerator and denominator by 6: 18/24 = 3/4.
Simplify the fraction 21/49.,Divide by 7: 21/49 = 3/7.
Find equivalent fractions of 3/5.,Multiply numerator and denominator by same number: 6/10, 9/15, 12/20.
Find two equivalent fractions of 4/9.,Multiply by 2 and 3: 8/18, 12/27.
Compare 2/3 and 3/4.,LCM of 3 and 4 is 12. 2/3 = 8/12, 3/4 = 9/12. So 3/4 > 2/3.
Arrange 1/2, 3/4, 2/3 in ascending order.,Convert to common denominator 12: 1/2=6/12, 2/3=8/12, 3/4=9/12. Order: 1/2, 2/3, 3/4.
Add 2/5 and 3/5.,Same denominator: (2+3)/5 = 5/5 = 1.
Add 1/4 and 2/4.,(1+2)/4 = 3/4.
Add 1/3 and 1/6.,LCM of 3 and 6 is 6. 1/3=2/6. Sum = 2/6 + 1/6 = 3/6 = 1/2.
Add 5/6 and 1/3.,1/3=2/6. Sum = 5/6 + 2/6 = 7/6 = 1 1/6.
Subtract 3/5 from 4/5.,(4-3)/5 = 1/5.
Subtract 2/7 from 5/7.,(5-2)/7 = 3/7.
Subtract 1/4 from 3/4.,(3-1)/4 = 2/4 = 1/2.
Subtract 2/3 from 5/6.,2/3=4/6. 5/6 - 4/6 = 1/6.
Find 2/3 of 12.,2/3 × 12 = 8.
Find 3/5 of 25.,3/5 × 25 = 15.
Find 4/7 of 21.,4/7 × 21 = 12.
Find 1/2 of 18.,1/2 × 18 = 9.
Multiply 2/3 and 3/4.,(2×3)/(3×4) = 6/12 = 1/2.
Multiply 5/6 and 3/5.,(5×3)/(6×5) = 15/30 = 1/2.
Multiply 4/9 and 3/8.,(4×3)/(9×8) = 12/72 = 1/6.
Divide 3/4 by 1/2.,3/4 ÷ 1/2 = 3/4 × 2/1 = 6/4 = 3/2.
Divide 5/6 by 5/3.,5/6 × 3/5 = 15/30 = 1/2.
Divide 7/8 by 7/4.,7/8 × 4/7 = 4/8 = 1/2.
Find the reciprocal of 3/5.,The reciprocal of 3/5 is 5/3.
Find the reciprocal of 7/9.,The reciprocal of 7/9 is 9/7.
State the multiplicative identity for fractions.,The multiplicative identity is 1, because any fraction multiplied by 1 remains the same.
Verify: 3/4 × 1 = 3/4.,3/4 × 1 = 3/4, hence verified.
Find the additive identity for fractions.,The additive identity is 0, because any fraction added to 0 remains the same.
Verify: 5/8 + 0 = 5/8.,5/8 + 0 = 5/8, hence verified.
A rope is 3/4 m long. Find total length of 4 such ropes.,4 × 3/4 = 12/4 = 3 m.
Rina ate 2/5 of a pizza. How much is left?,Left = 1 - 2/5 = 3/5.
Out of 20 students, 3/5 are boys. How many boys?,3/5 × 20 = 12 boys.
A tank is filled 7/8 full. What fraction is empty?,Empty = 1 - 7/8 = 1/8.
Find total of 1/2 kg sugar used daily for 6 days.,6 × 1/2 = 3 kg.
Explain the term like fractions with example.,Like fractions have the same denominator. Example: 2/7 and 5/7.
Explain unlike fractions with example.,Unlike fractions have different denominators. Example: 1/3 and 2/5.
Explain how to compare fractions with different denominators.,Take LCM of denominators, convert to like fractions, then compare numerators.
Explain how to add unlike fractions.,Take LCM of denominators, convert to like fractions, then add numerators.
Explain how to subtract fractions.,Make denominators same, subtract numerators, and simplify.
Explain multiplication of fractions.,Multiply numerators together and denominators together, then simplify.
Explain division of fractions.,Multiply the first fraction by the reciprocal of the second.
Represent 3/4 on a number line.,Divide the segment from 0 to 1 into 4 equal parts and mark the 3rd point.
Explain real-life use of fractions.,Fractions are used in sharing food, measuring ingredients, time, money, and distances.
