Type,Column A,Column B / Correct Match
Question,Poem name,The Wonderful Words
Question,Poet,Mary O’Neill
Question,Poem theme,Power of words
Question,Words,Help express ideas
Question,Words,Create pictures
Question,Words,Share feelings
Question,Poet’s advice,Use words freely
Question,Children,Should enjoy words
Question,Words and stories,Bring imagination
Question,Words,Make poems beautiful
Question,Language,Tool of expression
Question,Poem tone,Encouraging
Question,Words,Are wonderful
Question,Lesson,Love language
Question,Poem message,Words are powerful
Answer,Poem name,The Wonderful Words
