Question,Option A,Option B,Option C,Option D,Correct Answer
Who likes climbing trees?,Radha,Nasir,Rohit,Peter,Radha
Who wants to grow plants?,Radha,Nasir,Rohit,Serena,Nasir
Who wants to become a cricketer?,Nasir,Rohit,Peter,Dolma,Rohit
Who enjoys gymnastics?,Serena,Dolma,Radha,Nasir,Serena
Who wants to be a mountaineer?,Peter,Dolma,Radha,Rohit,Dolma
Who loves playing football?,Peter,Rohit,Nasir,Radha,Peter
What is the theme of the chapter?,Dreams,Identity,Games,School,Identity
Radha likes to play alone because?,She is rude,She is shy,She likes independence,She is afraid,She likes independence
Nasir helps his parents in?,School,Shop,Farming,Gym,Farming
Rohit practices cricket during?,Night,School time,Free time,Class,Free time
Serena practices gymnastics in?,Park,Gym,School,Home,Gym
Dolma wants to climb?,Trees,Buildings,Mountains,Stairs,Mountains
Peter likes team games because?,Fun,Money,Teamwork,Marks,Teamwork
What do all children have?,Same hobbies,Different dreams,Same dreams,Same jobs,Different dreams
The chapter shows children are?,Same,Different,Lazy,Confused,Different
Radha prefers?,Crowd,Solitude,Noise,Class,Solitude
Nasir’s dream helps?,Himself,Farmers,Trees,Teachers,Farmers
Rohit wants to play for?,School,City,Country,Club,Country
Serena’s quality is?,Lazy,Determined,Careless,Angry,Determined
Dolma’s nature is?,Fearful,Courageous,Lazy,Weak,Courageous
Peter’s sport teaches?,Fighting,Teamwork,Cheating,Silence,Teamwork
The lesson of chapter is?,Be same,Follow others,Be yourself,Ignore dreams,Be yourself
What do hobbies shape?,Marks,Personality,School,Uniform,Personality
Children learn identity through?,Books,Hobbies,Teachers,Parents,Hobbies
Radha feels happiest when?,Alone,With friends,In class,In crowd,Alone
Nasir wants to grow?,Cars,Plants,Buildings,Toys,Plants
Rohit is good at?,Maths,Cricket,Drawing,Dancing,Cricket
Serena wants to become?,Teacher,Gymnast,Doctor,Artist,Gymnast
Dolma admires?,Teachers,Farmers,Mountaineers,Doctors,Mountaineers
Peter wants to be?,Footballer,Teacher,Farmer,Artist,Footballer
The chapter talks about?,Competition,Uniformity,Diversity,Punishment,Diversity
Each child is?,Same,Unique,Lazy,Weak,Unique
The children show?,Fear,Confidence,Anger,Confusion,Confidence
The chapter encourages?,Copying,Uniformity,Self-expression,Silence,Self-expression
Radha dislikes?,Freedom,Games,Rules,Crowd,Crowd
Nasir’s work shows?,Greed,Responsibility,Laziness,Anger,Responsibility
Rohit’s practice shows?,Fear,Discipline,Anger,Laziness,Discipline
Serena’s training shows?,Weakness,Determination,Carelessness,Fear,Determination
Dolma’s dream shows?,Fear,Courage,Laziness,Anger,Courage
Peter’s interest shows?,Selfishness,Team spirit,Loneliness,Anger,Team spirit
The chapter teaches to?,Follow crowd,Compare,Respect differences,Compete,Respect differences
Who are confident about dreams?,Children,Teachers,Parents,Friends,Children
The chapter title suggests?,Same identity,Self identity,School identity,Group identity,Self identity
The children speak about?,Marks,Dreams,Rules,Exams,Dreams
The chapter ends with message?,Compete,Be yourself,Win races,Study hard,Be yourself
