Question,Answer
Match the following:,
A. Evaporation, 1. Change of water into vapour
B. Condensation, 2. Change of vapour into water
C. Precipitation, 3. Rainfall
D. Water cycle, 4. Continuous movement of water
E. Collection, 5. Gathering of water in rivers and seas
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Solid state, 1. Ice
B. Liquid state, 2. Water
C. Gaseous state, 3. Water vapour
D. Freezing, 4. Water to ice
E. Melting, 5. Ice to water
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Potable water, 1. Safe for drinking
B. Impure water, 2. Contains germs
C. Boiling, 3. Kills germs
D. Filtration, 4. Removes solid particles
E. Sedimentation, 5. Settling of heavy particles
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Evaporation, 1. Causes cooling
B. Clouds, 2. Formed by condensation
C. Rain, 3. Form of precipitation
D. Snow, 4. Frozen precipitation
E. Hail, 5. Ice pellets falling from sky
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Groundwater, 1. Water below the ground
B. Well, 2. Source of groundwater
C. River, 3. Flowing water body
D. Lake, 4. Standing water body
E. Sea, 5. Largest water body
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Water cycle step 1, 1. Evaporation
B. Water cycle step 2, 2. Condensation
C. Water cycle step 3, 3. Precipitation
D. Water cycle step 4, 4. Collection
E. Sun, 5. Provides heat for evaporation
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Clean water, 1. Free from impurities
B. Dirty water, 2. Contains waste
C. Boiling, 3. Makes water safe
D. Chlorination, 4. Kills germs
E. Filtration, 5. Removes insoluble impurities
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Evaporation, 1. Liquid to gas
B. Condensation, 2. Gas to liquid
C. Freezing, 3. Liquid to solid
D. Melting, 4. Solid to liquid
E. Heating, 5. Increases temperature
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Rainwater harvesting, 1. Collecting rainwater
B. Storage tank, 2. Stores water
C. Recharge pit, 3. Refills groundwater
D. Roof, 4. Collects rainwater
E. Pipes, 5. Carry water
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Flood, 1. Excess water
B. Drought, 2. Lack of water
C. Water conservation, 3. Saving water
D. Rainfall, 4. Main source of fresh water
E. Evaporation, 5. Water vapour formation
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Drinking water, 1. Potable water
B. Well water, 2. Groundwater
C. River water, 3. Surface water
D. Sea water, 4. Salty water
E. Rainwater, 5. Fresh water
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Cloud formation, 1. Condensation
B. Rainfall, 2. Precipitation
C. Sun heat, 3. Evaporation
D. River flow, 4. Collection
E. Groundwater, 5. Infiltration
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Pure water, 1. No impurities
B. Polluted water, 2. Harmful substances
C. Boiling water, 3. Safe to drink
D. Filtering water, 4. Removes dirt
E. Storing water, 5. Prevents wastage
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Ice, 1. Solid water
B. Steam, 2. Gaseous water
C. Water, 3. Liquid state
D. Freezing point, 4. 0°C
E. Boiling point, 5. 100°C
A-1,B-2,C-3,D-4,E-5
Match the following:,
A. Saving water, 1. Water conservation
B. Leaking tap, 2. Wastage of water
C. Rainwater harvesting, 3. Reuse rainwater
D. Clean water, 4. Healthy life
E. Dirty water, 5. Causes diseases
A-1,B-2,C-3,D-4,E-5
