Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the poet of the poem?,Mary O’Neill,Eleanor Farjeon,Peter Dixon,E-Yeh-Shure,Mary O’Neill
What is the poem about?,Animals,Words and language,Nature,Teachers,Words and language
What are words described as?,Boring,Wonderful,Dangerous,Useless,Wonderful
What do words help us do?,Fight,Express feelings,Run fast,Hide things,Express feelings
What should we not waste words on?,Good thoughts,Bad thoughts,Silly talk,Important ideas,Silly talk
What can words create?,Noise,Confusion,Pictures in mind,Fear,Pictures in mind
What do words help us share?,Money,Thoughts and feelings,Food,Games,Thoughts and feelings
What does the poet advise?,Use words carefully,Speak loudly,Stay silent,Argue more,Use words carefully
What kind of words are powerful?,Kind words,Angry words,Funny words,All words,All words
What do words make possible?,War,Communication,Silence,Distance,Communication
What do words help us imagine?,Scenes,Games,Fights,None,Scenes
What should words be used for?,Hurt others,Make noise,Share ideas,Confuse people,Share ideas
What happens when words are wasted?,Nothing,They lose value,They grow,They shout,They lose value
What kind of poem is this?,Nature poem,Moral poem,Funny poem,War poem,Moral poem
What does the poet say words can do?,Heal or hurt,Only hurt,Only heal,Nothing,Heal or hurt
What are words compared to?,Tools,Toys,Weapons,None,Tools
What does poet want children to do?,Talk more,Use words wisely,Be silent,Shout,Use words wisely
What is the tone of the poem?,Angry,Thoughtful,Funny,Sad,Thoughtful
What do words help build?,Walls,Understanding,Confusion,Fear,Understanding
What should words not do?,Help,Express,Hurt,Communicate,Hurt
What do wonderful words give?,Joy and meaning,Fear,Anger,None,Joy and meaning
What do words help us explain?,Nothing,Ideas and feelings,Food,Games,Ideas and feelings
What happens when words are kind?,People feel hurt,People feel happy,People fight,People leave,People feel happy
What do harsh words do?,Heal,Hurt,Help,None,Hurt
What is the message of the poem?,Words are useless,Words are powerful,Words are boring,Words are dangerous,Words are powerful
What should children learn?,Speak fast,Speak carelessly,Speak wisely,Stay quiet,Speak wisely
What do words create in mind?,Silence,Images,Noise,Fear,Images
What should words be used with?,Anger,Force,Care,Speed,Care
What is the main theme?,Power of words,Nature beauty,Friendship,School life,Power of words
What do words help avoid?,Peace,Understanding,Conflicts,Learning,Conflicts
What does poet warn against?,Careless speech,Silence,Listening,Reading,Careless speech
What do words build between people?,Walls,Distance,Bridges,Fear,Bridges
What kind of words should we choose?,Random,Careful,Loud,Fast,Careful
What does poem encourage?,Think before speaking,Talk always,Argue,Shout,Think before speaking
What do words shape?,World,Relationships,Both A and B,None,Both A and B
What does poet admire?,Silence,Words,Noise,Fear,Words
What do words help solve?,Problems,Games,Noise,None,Problems
What kind of feeling do words create?,Only anger,Only joy,Many feelings,None,Many feelings
What do words make meaningful?,Life,Games,Noise,None,Life
What should not be wasted?,Time,Words,Money,Food,Words
What do words add to life?,Confusion,Meaning,Noise,Fear,Meaning
What quality is stressed?,Speed,Carefulness,Anger,Laziness,Carefulness
What is the poem’s ending tone?,Angry,Hopeful,Negative,Sad,Hopeful
What does the poet want readers to realize?,Words matter,Words are fun,Words are scary,Words are useless,Words matter
