Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Who discovered the cell?,Robert Hooke,Leeuwenhoek,Schleiden,Schwann,Robert Hooke
MCQ,2,Cell is the basic unit of?,Life,Tissue,Organ,System,Life
MCQ,3,Which organism is unicellular?,Human,Amoeba,Frog,Tree,Amoeba
MCQ,4,Which cell organelle is called power house?,Ribosome,Nucleus,Mitochondria,Vacuole,Mitochondria
MCQ,5,Cell wall is present in?,Animal cell,Plant cell,Both,None,Plant cell
MCQ,6,Plasma membrane is?,Permeable,Impermeable,Selectively permeable,None,Selectively permeable
MCQ,7,Which organelle controls cell activities?,Mitochondria,Nucleus,Ribosome,ER,Nucleus
MCQ,8,Which organelle contains DNA?,Ribosome,Nucleus,ER,Vacoule,Nucleus
MCQ,9,Which organelle is absent in animal cell?,Cell wall,Mitochondria,Ribosome,Nucleus,Cell wall
MCQ,10,Which organelle helps in protein synthesis?,Ribosome,Golgi body,Lysosome,Vacuole,Ribosome
MCQ,11,Which organelle modifies proteins?,ER,Ribosome,Golgi apparatus,Nucleus,Golgi apparatus
MCQ,12,Which organelle contains digestive enzymes?,Mitochondria,Lysosome,Ribosome,ER,Lysosome
MCQ,13,Which cell organelle is suicidal bag?,Lysosome,Nucleus,Mitochondria,Vacuole,Lysosome
MCQ,14,Which organelle stores materials?,Vacuole,Ribosome,ER,Golgi,Vacuole
MCQ,15,Plant cell vacuole is?,Small,Absent,Large,None,Large
MCQ,16,Which organelle helps in lipid synthesis?,SER,RER,Golgi,Nucleus,SER
MCQ,17,Which organelle transports materials?,ER,Golgi,Mitochondria,None,ER
MCQ,18,Which cell has no nucleus?,RBC,WBC,Nerve cell,Muscle cell,RBC
MCQ,19,Which organelle is present in all cells?,Nucleus,Ribosome,Mitochondria,Vacuole,Ribosome
MCQ,20,Which structure gives shape to plant cell?,Cell membrane,Cell wall,Nucleus,None,Cell wall
MCQ,21,Plastids are found in?,Animal cells,Plant cells,Both,None,Plant cells
MCQ,22,Which plastid is green?,Leucoplast,Chromoplast,Chloroplast,None,Chloroplast
MCQ,23,Which plastid stores food?,Chloroplast,Chromoplast,Leucoplast,None,Leucoplast
MCQ,24,Which plastid gives color to fruits?,Chloroplast,Chromoplast,Leucoplast,None,Chromoplast
MCQ,25,Photosynthesis occurs in?,Mitochondria,Nucleus,Chloroplast,ER,Chloroplast
MCQ,26,Which organelle is double membrane?,Nucleus,Mitochondria,Both,None,Both
MCQ,27,Which organelle is single membrane?,Lysosome,Nucleus,Mitochondria,None,Lysosome
MCQ,28,Which structure surrounds nucleus?,Nuclear membrane,Cell wall,Plasma membrane,None,Nuclear membrane
