Question,Answer
What is the poem "Whatif" about?,The poem is about a child’s fears and worries about imaginary situations.
Who wrote the poem?,The poem was written by Shel Silverstein.
Who is the speaker in the poem?,A young child.
What does the word “Whatif” represent?,It represents fear and imagination.
Why is the word “Whatif” written together?,To show constant worrying thoughts.
What kinds of fears does the child have?,Fear of illness, school, and loneliness.
Why does the child worry about getting sick?,Because of fear of unknown situations.
What does the child worry about at school?,Getting punished or failing.
Why does the child worry at night?,Fear grows in darkness.
What happens to the child’s worries in the poem?,They disappear by morning.
What helps the child feel better?,Daylight and reality.
Is “Whatif” a real thing?,No, it is imaginary.
Why does the child imagine many problems?,Because of fear.
What time do worries mostly appear?,At night.
How does the poem end?,The fears turn out to be false.
What lesson does the poem teach?,Worrying is unnecessary.
Why are the fears unreal?,They never happen.
What kind of poem is this?,A humorous poem.
Why is the poem funny?,Because fears are exaggerated.
What emotion is shown most?,Anxiety.
Why does morning change things?,Reality replaces imagination.
What does the poem teach children?,Do not worry too much.
Why do children often worry?,Because of imagination.
What does “Whatif” whisper?,Fearful thoughts.
Why does the child feel scared?,Overthinking.
What is the tone of the poem?,Light and humorous.
Why does the poet repeat “Whatif”?,To show constant fear.
What kind of language is used?,Simple and playful.
Why is night linked with fear?,Imagination grows.
What does daylight symbolize?,Truth.
Why is worrying harmful?,It causes stress.
What does the poem say about fear?,Fear is imaginary.
Why does the child feel safe later?,Nothing bad happens.
What makes the poem relatable?,Everyone worries.
Why is imagination both good and bad?,It can create fear.
Why should fears be ignored?,They waste energy.
What does the poem encourage?,Positive thinking.
Why is the poem short?,Clear message.
What does the poem show about human mind?,It imagines problems.
Why are fears stronger at night?,Silence and darkness.
What does the poet mock?,Unnecessary worry.
Why is humor effective?,Reduces fear.
What is the main theme?,Fear vs reality.
Why does the poem appeal to children?,Common fears.
Why is “Whatif” annoying?,It causes worry.
What does the poem say about sleep?,Fear disturbs it.
Why does the child feel relieved?,Morning comes.
What does the poem teach about thinking?,Do not overthink.
Why is the ending comforting?,No harm happens.
What is the moral of the poem?,Do not worry about imaginary fears.

