Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Manufacturing is the process of,Growing crops,Extracting minerals,Converting raw materials into finished goods,Trading goods,Converting raw materials into finished goods
MCQ,2,Which industry is known as the backbone of modern industry?,Cotton textile,Iron and steel,IT,Cement,Iron and steel
MCQ,3,Which industry provides raw material for many industries?,Iron and steel,Cement,Cotton textile,IT,Iron and steel
MCQ,4,Which industry is a consumer goods industry?,Iron and steel,Cement,Cotton textile,Machine tools,Cotton textile
MCQ,5,Which industry uses limestone as raw material?,Iron and steel,Cement,Cotton textile,IT,Cement
MCQ,6,Which factor does NOT affect industrial location?,Raw material,Labour,Capital,Religion,Religion
MCQ,7,Which industry is agro-based?,Iron and steel,Cement,Cotton textile,Aluminium,Cotton textile
MCQ,8,Which industry is mineral-based?,Cotton textile,Jute,Iron and steel,Sugar,Iron and steel
MCQ,9,Which city is called the Manchester of India?,Mumbai,Ahmedabad,Surat,Kanpur,Ahmedabad
MCQ,10,Which industry uses bauxite as raw material?,Iron and steel,Copper,Aluminium,Cement,Aluminium
MCQ,11,Which state leads in cotton textile industry?,Punjab,Maharashtra,Kerala,Odisha,Maharashtra
MCQ,12,Which industry depends heavily on power?,Cottage industry,Handloom,Iron and steel,Agro-based,Iron and steel
MCQ,13,Which industry produces sugar?,Cement,Textile,Sugar industry,Iron,Sugar industry
MCQ,14,Which industry is seasonal?,Iron and steel,Cement,Sugar,IT,Sugar
MCQ,15,Which industry uses coal as fuel?,IT,Cement,Iron and steel,Handloom,Iron and steel
MCQ,16,Which is a public sector steel plant?,Tata Steel,Bhilai Steel Plant,Jindal Steel,Essar Steel,Bhilai Steel Plant
MCQ,17,Which industry uses petrochemicals?,Textile,Chemical industry,Cement,Iron,Chemical industry
MCQ,18,Which industry is the largest in India?,Iron and steel,Cotton textile,Cement,IT,Cotton textile
MCQ,19,Which industry produces fertilizers?,Textile,Chemical,Cement,Iron,Chemical
MCQ,20,Which city is an iron and steel centre?,Ahmedabad,Bhilai,Coimbatore,Surat,Bhilai
MCQ,21,Which industry depends on forests?,Iron and steel,Paper industry,IT,Cement,Paper industry
