Question,Answer
Air is all around us.,True
Air has weight.,True
Air occupies space.,True
Air is a mixture of gases.,True
Nitrogen is the major component of air.,True
Oxygen is necessary for respiration.,True
Carbon dioxide is present in air.,True
Argon is a noble gas present in air.,True
Water vapour is present in air.,True
Air is invisible.,True
Air exerts pressure in all directions.,True
Air pressure decreases with altitude.,True
Wind is the movement of air.,True
Hot air rises because it is lighter.,True
Cold air is denser and sinks.,True
Air supports life on Earth.,True
Plants release oxygen into the air.,True
Humans and animals release carbon dioxide.,True
Air helps in pollination of plants.,True
Air helps in dispersal of seeds.,True
Air provides medium for sound.,True
Air can be polluted by smoke.,True
Smog is a mixture of smoke and fog.,True
Acid rain is caused by air pollution.,True
Ozone layer protects us from UV radiation.,True
Oxygen supports combustion.,True
Air contains dust particles.,True
Air is compressible.,True
Vacuum has no air.,True
Air exerts more pressure at sea level than at high altitude.,True
Barometer measures air pressure.,True
Air has mass.,True
Air can be heated and cooled.,True
Air is necessary for burning of fuels.,True
Air helps in movement of airplanes and birds.,True
Breathing supplies oxygen to the body.,True
Exhaled air contains carbon dioxide.,True
Air can flow from high pressure to low pressure.,True
Air is important for life on land and in water.,True
Air can cause erosion of soil and rocks.,True
Air contains tiny water droplets.,True
Air is a fluid.,True
Air can be compressed in syringes.,True
Air supports flying of kites and balloons.,True
Hot air balloons rise due to low density of air inside.,True
Air is a mixture of gases, dust, and water vapour.,True
Polluted air can cause respiratory diseases.,True
Air helps in weather formation.,True
Wind energy can be used to generate electricity.,True
Air is invisible but occupies space and has mass.,True
