Question,Answer
What is the poem "The Quarrel" about?,The poem is about a quarrel between two close people and how it ends peacefully.
Who wrote the poem?,The poem was written by Eleanor Farjeon.
Who are involved in the quarrel?,Two siblings or close companions are involved.
What causes the quarrel?,Harsh words spoken in anger cause the quarrel.
What happens during the quarrel?,Both argue angrily and hurt each other with words.
How do they feel after quarrelling?,They feel lonely and unhappy.
What replaces anger later?,Silence replaces anger.
How does the quarrel end?,The quarrel ends quietly without words.
What lesson does the poem teach?,Quarrels are useless and peace is better.
Why do people quarrel easily?,Because of quick temper and misunderstanding.
What mood is shown at the beginning?,Anger and irritation.
What mood is shown at the end?,Calmness and peace.
Why do people regret quarrels?,Because relationships matter.
Why is silence important?,It calms anger.
Why do harsh words hurt?,They are spoken without thinking.
What happens when anger cools?,Peace returns.
Why does love win over anger?,Love is stronger and lasting.
What kind of poem is this?,A reflective poem.
Why is forgiveness important?,It restores harmony.
Why is the quarrel unnecessary?,It solves nothing.
What does the poem say about anger?,Anger is temporary.
Why is peace natural?,Because emotions settle.
Why is the poem relatable?,Everyone quarrels sometimes.
Why does the poet use simple language?,To convey message clearly.
What role does time play?,Time heals anger.
Why is silence better than shouting?,It prevents further hurt.
What feeling replaces anger?,Affection.
Why is harmony important?,It brings happiness.
What does the poem encourage?,Understanding and patience.
Why should we avoid quarrels?,They damage relationships.
What happens after silence?,Peace returns.
Why does the quarrel not last long?,Because love remains.
What is the main theme?,Anger versus peace.
Why is the ending peaceful?,To teach reconciliation.
What does the poem teach children?,Control anger.
Why are quarrels pointless?,They cause regret.
Why is forgiveness silent?,Because peace comes naturally.
What does the poem show about human nature?,People fight but reconcile.
Why is calmness powerful?,It resolves conflict.
Why should harsh words be avoided?,They hurt deeply.
What does the poem say about relationships?,They are valuable.
Why is peace better than winning?,It preserves bonds.
What happens when people stop speaking?,Anger fades.
Why is patience necessary?,To avoid conflict.
What does the poem teach about emotions?,Control is important.
Why is love stronger than anger?,Love lasts longer.
What is the moral of the poem?,Peace is better than quarrels.
