Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Hundred Dresses – I"?,Eleanor Estes,Roald Dahl,Mark Twain,Jane Austen,Eleanor Estes
MCQ,2,What is Wanda's full name?,Wanda Polanski,Wanda Petronski,Wanda Peterson,Wanda Petrov,Wanda Petronski
MCQ,3,Where does Wanda live?,Boggins Heights,Oliver Street,Baker Street,Maple Avenue,Boggins Heights
MCQ,4,What is the main reason Wanda is teased by her classmates?,Her accent,Her clothes,Her name,Her drawings,Her name
MCQ,5,Who is Wanda's closest friend?,Peggy,Maddie,Cecile,She has no close friends,She has no close friends
MCQ,6,What does Wanda claim to have in her closet?,Fifty dresses,Seventy dresses,One hundred dresses,Two hundred dresses,One hundred dresses
MCQ,7,What color is the dress Wanda wears every day?,Red,Blue,Green,Yellow,Blue
MCQ,8,Who is the most popular girl in school?,Wanda,Peggy,Maddie,Cecile,Peggy
MCQ,9,What is Maddie's full name?,Madeline,Madison,Margaret,Mary,Madeline
MCQ,10,Why does Maddie feel uncomfortable when Peggy teases Wanda?,She dislikes Peggy,She is also poor,She envies Wanda,She doesn't like Wanda,She is also poor
MCQ,11,What does Wanda's father do for a living?,Carpenter,Doctor,Tailor,Farmer,Tailor
MCQ,12,How many pairs of shoes does Wanda claim to have?,Fifty,Sixty,Seventy,Eighty,Sixty
MCQ,13,What is the name of the school Wanda attends?,Jefferson Elementary,Franklin High,Lincoln School,Washington Middle School,Lincoln School
MCQ,14,Who is the teacher in Wanda's class?,Miss Mason,Miss Smith,Miss Johnson,Miss Brown,Miss Mason
MCQ,15,What is the main theme of "The Hundred Dresses – I"?,Friendship,Honesty,Bullying,Adventure,Bullying
MCQ,16,Why does Wanda sit in the last row of the classroom?,She is shy,She is tall,She is poor,She is late,She is poor
MCQ,17,What is the name of the drawing contest held at school?,Art Fair,Drawing Competition,Annual Art Contest,School Exhibition,Drawing Competition
MCQ,18,What does Wanda submit for the drawing contest?,A painting of a landscape,A portrait of her family,One hundred dress designs,A sketch of her house,One hundred dress designs
MCQ,19,Who wins the drawing contest for girls?,Peggy,Maddie,Wanda,Cecile,Wanda
MCQ,20,How do the students react to Wanda's drawings?,They laugh,They are impressed,They ignore them,They criticize them,They are impressed
MCQ,21,What lesson do Peggy and Maddie learn from Wanda's story?,The importance of honesty,The value of friendship,The impact of bullying,The joy of art,The impact of bullying
MCQ,22,Why does Wanda leave the school?,She moves to a new city,She is expelled,She is bullied,She graduates,She moves to a new city
MCQ,23,What is the significance of Wanda's drawings?,They showcase her talent,They reveal her wealth,They expose her lies,They are a gift to Peggy,They showcase her talent
MCQ,24,How does Maddie feel after Wanda leaves?,Relieved,Guilty,Happy,Indifferent,Guilty
MCQ,25,What does Peggy do to make amends with Wanda?,Writes her a letter,Visits her house,Apologizes in person,Ignores the situation,Writes her a letter
MCQ,26,What is the moral of "The Hundred Dresses – I"?,Always tell the truth,Stand up against bullying,Value material possessions,Art is subjective,Stand up against bullying
MCQ,27,How does the story portray the theme of empathy?,Through Wanda's kindness,Through Peggy's popularity,Through Maddie's guilt,Through the teacher's actions,Through Maddie's guilt
MCQ,28,What does Wanda's blue dress symbolize?,Her poverty,Her creativity,Her sadness,Her uniqueness,Her poverty
MCQ,29,How do the students justify teasing Wanda?,They think it's harmless fun,They believe she deserves it,They are jealous,They don't like her accent,They think it's harmless fun
MCQ,30,What role does Miss Mason play in the story?,She is indifferent,She encourages bullying,She is unaware,She promotes kindness,She promotes kindness
MCQ,31,How does the setting of Boggins Heights contribute to the story?,It highlights Wanda's wealth,It emphasizes Wanda's isolation,It shows Wanda's popularity,It is irrelevant,It emphasizes Wanda's isolation
MCQ,32,What does Maddie's silence signify?,Her agreement with Peggy,Her fear of being bullied,Her indifference,Her dislike for Wanda,Her fear of being bullied
MCQ,33,How does the story address the issue of social class?,By showing Wanda's wealth,By depicting Wanda's poverty,By ignoring social class,By focusing on the teacher,By depicting Wanda's poverty
MCQ,34,What is the significance of Wanda's name?,It is common,It is difficult to pronounce,It is unique,It is symbolic,It is unique
MCQ,35,How does Peggy's character evolve throughout the story?,She becomes more empathetic,She becomes more popular,She becomes indifferent,She becomes more aggressive,She becomes more empathetic
MCQ,36,What does the drawing contest reveal about Wanda?,Her dishonesty,Her artistic talent,Her wealth,Her popularity,Her artistic talent
MCQ,37,How does the story depict the impact of bullying?,Through Wanda's success,Through Maddie's guilt,Through Peggy's popularity,Through the teacher's actions,Through Maddie's guilt
MCQ,38,What lesson does Maddie learn by the end of the story?,The importance of honesty,The value of friendship,The consequences of silence,The joy of art,The consequences of silence
MCQ,39,How does the story challenge stereotypes?,By portraying Wanda's talent,By depicting Peggy's kindness,By showing Maddie's wealth,By focusing on the teacher,By portraying Wanda's talent
MCQ,40,What is the role of the drawing contest in the story?,To showcase students' talents,To highlight Wanda's lies,To emphasize social class,To reveal Wanda's talent,To reveal Wanda's talent
MCQ,41,How does Wanda's character challenge the other students?,By being dishonest,By being talented,By being wealthy,By being popular,By being talented
MCQ,42,What does the story suggest about the power of art?,It is unimportant,It can reveal truths,It is only for the wealthy,It is subjective,It can reveal truths
MCQ,43,How does the story portray the theme of isolation?,Through Wanda's character,Through Peggy's popularity,Through Maddie's wealth,Through the teacher's actions,Through Wanda's character
MCQ,44,What does the story imply about the importance of standing up for others?,It is unnecessary,It is difficult,It is essential,It is irrelevant,It is essential
MCQ,45,How does the story address the issue of peer pressure?,Through Maddie's silence,Through Peggy's popularity,Through Wanda's talent,Through the teacher's actions,Through Maddie's silence
MCQ,46,What does the story reveal about the consequences of bullying?,It has no impact,It leads to success,It causes guilt and regret,It is justified,It causes guilt and regret
MCQ,47,How does the story depict the theme of forgiveness?,Through Wanda's actions,Through Peggy's apology,Through Maddie's guilt,Through the teacher's kindness,Through Wanda's actions
MCQ,48,What does the story suggest about the importance of self-expression?,It is unimportant,It can lead to bullying,It is essential,It is irrelevant,It is essential
MCQ,49,How does the story challenge the notion of popularity?,By showing Peggy's kindness,By depicting Wanda's talent,By focusing on Maddie's wealth,By highlighting the teacher's role,By depicting Wanda's talent
MCQ,50,What is the overall message of "The Hundred Dresses – I"?,The importance of honesty,The impact of bullying,The value of friendship,The joy of art,The impact of bullying
Fill_Blank,1,Wanda's last name is ______.,Petronski,Petronski,Petronski,Petronski,Petronski
Fill_Blank,2,Wanda claims to have ______ dresses in her closet.,one hundred,100,one hundred,one hundred,one hundred
Fill_Blank,3,Wanda lives in ______ Heights.,Boggins,Boggins,Boggins,Boggins,Boggins
