Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is considered the architect of German unification?,Otto von Bismarck,Giuseppe Mazzini,Victor Emmanuel II,Napoleon III,Otto von Bismarck
MCQ,2,The French Revolution began in the year,1774,1789,1815,1848,1789
MCQ,3,The concept of nation-state emerged strongly in,18th century,19th century,20th century,17th century,19th century
MCQ,4,Who was the leader of the Young Italy movement?,Garibaldi,Mazzini,Bismarck,Metternich,Mazzini
MCQ,5,The Treaty of Vienna was signed in,1815,1830,1848,1871,1815
MCQ,6,Which country was unified under Victor Emmanuel II?,Germany,Italy,France,Austria,Italy
MCQ,7,The Zollverein was related to,Political union,Religious reform,Economic union,Military alliance,Economic union
MCQ,8,Who led the unification of Italy?,Garibaldi,Bismarck,Mazzini,Metternich,Garibaldi
MCQ,9,The Frankfurt Parliament met in,1848,1815,1830,1871,1848
MCQ,10,The German Empire was proclaimed in,Paris,Berlin,Versailles,Vienna,Versailles
MCQ,11,Who was proclaimed the German Emperor in 1871?,Bismarck,William I,Napoleon III,Frederick II,William I
MCQ,12,The ideology that emphasized loyalty to the nation is called,Imperialism,Colonialism,Nationalism,Socialism,Nationalism
MCQ,13,Who represented conservatism in Europe?,Liberals,Radicals,Metternich,Nationalists,Metternich
MCQ,14,The revolution of liberals occurred in,1815,1830,1848,1870,1848
MCQ,15,Which symbol represented the German nation?,Marianne,Germania,Bharat Mata,Italia,Germania
MCQ,16,Marianne was the national symbol of,Italy,France,Germany,Austria,France
MCQ,17,The first expression of nationalism came with,French Revolution,Industrial Revolution,Russian Revolution,American War,French Revolution
MCQ,18,Which country opposed nationalist movements?,Italy,Germany,Austria-Hungary,France,Austria-Hungary
MCQ,19,Who said “When France sneezes, the rest of Europe catches cold”?,Metternich,Napoleon,Bismarck,Mazzini,Metternich
MCQ,20,Who was a revolutionary nationalist?,Metternich,Mazzini,Bismarck,Napoleon,Mazzini
MCQ,21,The middle class played a major role in,Liberal nationalism,Conservatism,Imperialism,Colonialism,Liberal nationalism
MCQ,22,Which revolution led to the end of monarchy in France?,1789,1815,1830,1848,1789
MCQ,23,The Napoleonic Code was introduced in,1804,1815,1789,1848,1804
MCQ,24,Who opposed women’s suffrage in 19th century?,Liberals,Conservatives,Radicals,Nationalists,Liberals
MCQ,25,Which group wanted universal suffrage?,Liberals,Conservatives,Radicals,Monarchs,Radicals
MCQ,26,Who unified Italy by military means?,Mazzini,Garibaldi,Victor Emmanuel II,Metternich,Garibaldi
MCQ,27,The Habsburg Empire ruled over,Italy and Germany,Austria-Hungary,France and Italy,Spain and Portugal,Austria-Hungary
MCQ,28,Who was the ruler of Sardinia-Piedmont?,Victor Emmanuel II,Garibaldi,Mazzini,Bismarck,Victor Emmanuel II
MCQ,29,Which country emerged as a powerful nation after 1871?,Italy,France,Germany,Austria,Germany
MCQ,30,Nationalism spread to Eastern Europe due to,Industrialization,Imperialism,Oppression,Colonialism,Oppression
MCQ,31,The term nationalism means,Love for culture,Loyalty to ruler,Loyalty to nation,Hatred of others,Loyalty to nation
MCQ,32,Which language was promoted as national language in France?,German,Italian,French,Latin,French
MCQ,33,Who introduced reforms in France before Napoleon?,Louis XVI,Jacobins,Metternich,William I,Jacobins
MCQ,34,Who was known as the Iron Chancellor?,Garibaldi,Bismarck,Mazzini,Napoleon,Bismarck
