Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,India is located in which hemisphere?,Northern,Eastern,Southern,Both Northern and Eastern,Both Northern and Eastern
MCQ,2,The latitudinal extent of India lies between?,6°N–38°N,8°N–37°N,10°N–40°N,0°–30°N,8°N–37°N
MCQ,3,The longitudinal extent of India is?,60°E–90°E,68°E–97°E,70°E–100°E,65°E–95°E,68°E–97°E
MCQ,4,Which latitude passes through the middle of India?,Tropic of Cancer,Equator,Arctic Circle,Prime Meridian,Tropic of Cancer
MCQ,5,The Tropic of Cancer is located at?,23°30′N,0°,66°30′N,90°,23°30′N
MCQ,6,The Indian Standard Time is based on which longitude?,82°30′E,75°E,90°E,0°,82°30′E
MCQ,7,India’s total area is about?,2.4 million sq km,3.28 million sq km,4 million sq km,5 million sq km,3.28 million sq km
MCQ,8,India ranks how many in the world by area?,5th,6th,7th,8th,7th
MCQ,9,India shares its longest land boundary with?,Pakistan,Bangladesh,China,Nepal,Bangladesh
MCQ,10,Which ocean lies to the south of India?,Atlantic,Pacific,Indian Ocean,Arctic,Indian Ocean
MCQ,11,Which sea lies to the west of India?,Arabian Sea,Bay of Bengal,Red Sea,Mediterranean,Arabian Sea
MCQ,12,Which bay lies to the east of India?,Arabian Sea,Bay of Bengal,Red Sea,Persian Gulf,Bay of Bengal
MCQ,13,India’s southernmost point is?,Kanyakumari,Indira Point,Gangotri,None,Indira Point
MCQ,14,Indira Point is located in?,Lakshadweep,Andaman and Nicobar,Kerala,Tamil Nadu,Andaman and Nicobar
MCQ,15,Which island group lies in the Bay of Bengal?,Lakshadweep,Andaman and Nicobar,Maldives,Sri Lanka,Andaman and Nicobar
MCQ,16,Lakshadweep islands are located in?,Bay of Bengal,Arabian Sea,Indian Ocean,None,Arabian Sea
MCQ,17,India is centrally located in relation to?,Europe,Africa,East Asia,South Asia,South Asia
MCQ,18,Which country does NOT share a land boundary with India?,Nepal,Bhutan,Sri Lanka,Myanmar,Sri Lanka
MCQ,19,Sri Lanka is separated from India by?,Palk Strait,Malacca Strait,Bering Strait,None,Palk Strait
MCQ,20,Which line divides the Earth into eastern and western hemispheres?,Equator,Tropic of Cancer,Prime Meridian,Arctic Circle,Prime Meridian
MCQ,21,India stretches from west to east for about?,2000 km,2500 km,2900 km,3200 km,2900 km
MCQ,22,India stretches from north to south for about?,2500 km,3000 km,3200 km,3500 km,3200 km
MCQ,23,The Standard Meridian of India passes through?,Delhi,Mirzapur,Chennai,Mumbai,Mirzapur
MCQ,24,Why does India have a single time?,Same longitude extent,To maintain uniformity,Small size,None,To maintain uniformity
MCQ,25,Which continent is India a part of?,Africa,Europe,Asia,Australia,Asia
MCQ,26,India lies entirely in the?,Northern Hemisphere,Southern Hemisphere,Western Hemisphere,Eastern Hemisphere,Northern Hemisphere
MCQ,27,Which neighbouring country lies to the north of India?,Sri Lanka,Nepal,Myanmar,Maldives,Nepal
MCQ,28,Which neighbouring country lies to the east of India?,Pakistan,Afghanistan,Myanmar,China,Myanmar
MCQ,29,Which neighbouring country lies to the west of India?,China,Bangladesh,Pakistan,Nepal,Pakistan
MCQ,30,India’s location helps in?,Isolation,Trade routes,Cyclones,None,Trade routes
MCQ,31,India is connected to the world through?,Mountains,Seas,Deserts,Both seas and land,Both seas and land
MCQ,32,Which ocean is named after India?,Pacific,Atlantic,Indian,None,Indian
MCQ,33,The Tropic of Cancer divides India into?,Two equal halves,Tropical and subtropical zones,Northern and southern hemispheres,None,Tropical and subtropical zones
MCQ,34,Which direction is India located from Europe?,East,West,North,South,East
MCQ,35,India’s central location helped in?,Isolation,Cultural contacts,Wars,None,Cultural contacts
MCQ,36,The Indian mainland is connected to which island by Palk Strait?,Andaman,Nicobar,Sri Lanka,Lakshadweep,Sri Lanka
MCQ,37,Which latitude indicates tropical zone?,0°,23°30′N,66°30′N,90°,23°30′N
MCQ,38,Which country is closest to India’s southern tip?,Sri Lanka,Maldives,Indonesia,None,Sri Lanka
