Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The probability of an event lies between:,0 and 1,1 and 2,-1 and 1,0 and 2,0 and 1
MCQ,2,The probability of a sure event is:,0,1,0.5,2,1
MCQ,3,The probability of an impossible event is:,0,1,0.5,2,0
MCQ,4,If P(E) = 0.05, then P(not E) =:,0.05,0.5,0.95,1.05,0.95
MCQ,5,The sum of probabilities of all elementary events of an experiment is:,0,1,0.5,2,1
MCQ,6,If P(E) = 0.7, then P(not E) =:,0.3,0.7,1.7,0,0.3
MCQ,7,When a die is thrown, the probability of getting an even number is:,1/2,1/3,1/6,2/3,1/2
MCQ,8,When a die is thrown, the probability of getting a number less than 7 is:,0,1/6,5/6,1,1
MCQ,9,When a die is thrown, the probability of getting a prime number is:,1/2,1/3,2/3,5/6,1/2
MCQ,10,When a coin is tossed, the probability of getting a head is:,0,1/2,1,1/4,1/2
MCQ,11,When two coins are tossed, the probability of getting two heads is:,1/4,1/2,3/4,1,1/4
MCQ,12,When two coins are tossed, the probability of getting at least one head is:,1/4,1/2,3/4,1,3/4
MCQ,13,When three coins are tossed, the probability of getting exactly two heads is:,1/8,3/8,1/2,5/8,3/8
MCQ,14,When a card is drawn from a pack of 52 cards, the probability of getting a king is:,1/13,1/52,4/52,1/4,1/13
MCQ,15,When a card is drawn from a pack of 52 cards, the probability of getting a red card is:,1/2,1/4,1/13,2/13,1/2
MCQ,16,When a card is drawn from a pack of 52 cards, the probability of getting a face card is:,3/13,1/13,4/13,1/4,3/13
MCQ,17,When a card is drawn from a pack of 52 cards, the probability of getting a spade is:,1/4,1/13,1/52,4/13,1/4
MCQ,18,A bag contains 5 red and 3 blue balls. The probability of drawing a red ball is:,3/8,5/8,1/2,2/5,5/8
MCQ,19,A bag contains 5 red and 3 blue balls. The probability of drawing a blue ball is:,3/8,5/8,1/2,2/5,3/8
MCQ,20,If the probability of an event is p, then the probability of its complement is:,1 - p,1 + p,p - 1,1/p,1 - p
MCQ,21,When two dice are thrown, the probability of getting a sum of 7 is:,1/6,1/12,1/36,5/36,1/6
MCQ,22,When two dice are thrown, the probability of getting a sum of 12 is:,1/6,1/12,1/36,5/36,1/36
MCQ,23,When two dice are thrown, the probability of getting a sum of 2 is:,1/6,1/12,1/36,5/36,1/36
MCQ,24,When two dice are thrown, the probability of getting a doublet is:,1/6,1/12,1/36,5/36,1/6
MCQ,25,The probability of selecting a vowel from the letters of the word "MATHEMATICS" is:,4/11,7/11,3/11,2/11,4/11
MCQ,26,A box contains 10 red, 20 blue, and 30 green balls. The probability of drawing a red ball is:,1/6,1/3,1/2,2/3,1/6
MCQ,27,A box contains 10 red, 20 blue, and 30 green balls. The probability of drawing a blue ball is:,1/6,1/3,1/2,2/3,1/3
MCQ,28,The probability of an event that cannot happen is:,0,1,0.5,2,0
MCQ,29,The probability of an event that is certain to happen is:,0,1,0.5,2,1
MCQ,30,If P(E) = 0.3 and P(F) = 0.5, and E and F are mutually exclusive, then P(E or F) =:,0.8,0.15,0.2,1,0.8
MCQ,31,In a class of 30 students, 18 are girls. The probability of selecting a boy is:,2/5,3/5,1/2,1/3,2/5
MCQ,32,The probability of getting a number greater than 4 when a die is thrown is:,1/3,1/2,2/3,5/6,1/3
MCQ,33,When a card is drawn from a pack of 52 cards, the probability of getting a black king is:,1/26,1/13,2/13,1/52,1/26
MCQ,34,When a card is drawn from a pack of 52 cards, the probability of getting an ace is:,1/13,1/52,4/52,1/4,1/13
MCQ,35,The probability of getting a tail when a coin is tossed is:,0,1/2,1,1/4,1/2
MCQ,36,When two coins are tossed, the probability of getting no head is:,0,1/4,1/2,3/4,1/4
MCQ,37,When a die is thrown, the probability of getting a number greater than 6 is:,0,1/6,1,5/6,0
MCQ,38,When a die is thrown, the probability of getting a number less than 3 is:,1/2,1/3,2/3,1/6,1/3
MCQ,39,A bag contains 3 red, 5 black, and 4 white balls. The probability of drawing a white ball is:,1/3,1/4,1/2,3/4,1/3
MCQ,40,A bag contains 3 red, 5 black, and 4 white balls. The probability of drawing a black ball is:,3/12,4/12,5/12,7/12,5/12
MCQ,41,If P(E) = 0.25, then P(not E) =:,0.25,0.5,0.75,1.25,0.75
MCQ,42,When three coins are tossed, the probability of getting at least one head is:,1/8,3/8,7/8,1,7/8
MCQ,43,When three coins are tossed, the probability of getting no head is:,0,1/8,1/2,7/8,1/8
MCQ,44,The probability of selecting a consonant from the letters of the word "PROBABILITY" is:,6/11,7/11,5/11,4/11,7/11
MCQ,45,When two dice are thrown, the probability of getting a sum less than 5 is:,1/6,1/12,1/18,1/9,1/6
MCQ,46,When two dice are thrown, the probability of getting the same number on both dice is:,1/6,1/12,1/36,5/36,1/6
MCQ,47,A bag contains 8 red and 12 blue balls. The probability of not drawing a red ball is:,2/5,3/5,1/2,4/5,3/5
MCQ,48,The probability that a leap year has 53 Sundays is:,1/7,2/7,3/7,4/7,2/7
MCQ,49,The probability that a non-leap year has 53 Sundays is:,0,1/7,2/7,3/7,1/7
MCQ,50,If the probability of winning a game is 0.4, then the probability of losing it is:,0.4,0.6,1.4,0.2,0.6
Integer,1,When a die is thrown, the probability of getting an even number is 1/2. Write the numerator: _____.,1,,,,
Integer,2,When a coin is tossed, the probability of getting a head is 1/2. Write the numerator: _____.,1,,,,
Integer,3,When two coins are tossed, the probability of getting two heads is 1/4. Write the numerator: _____.,1,,,,
Integer,4,When two coins are tossed, the probability of getting at least one head is 3/4. Write the numerator: _____.,3,,,,
Integer,5,When a card is drawn from a pack of 52 cards, the probability of getting a king is 1/13. Write the numerator: _____.,1,,,,
Integer,6,When a card is drawn from a pack of 52 cards, the probability of getting a red card is 1/2. Write the numerator: _____.,1,,,,
Integer,7,A bag contains 5 red and 3 blue balls. The probability of drawing a red ball is 5/8. Write the numerator: _____.,5,,,,
Integer,8,A bag contains 5 red and 3 blue balls. The probability of drawing a blue ball is 3/8. Write the numerator: _____.,3,,,,
Integer,9,When two dice are thrown, the probability of getting a sum of 7 is 1/6. Write the numerator: _____.,1,,,,
Integer,10,When two dice are thrown, the probability of getting a sum of 12 is 1/36. Write the numerator: _____.,1,,,,
Integer,11,When two dice are thrown, the probability of getting a doublet is 1/6. Write the numerator: _____.,1,,,,
Integer,12,If P(E) = 0.7, then P(not E) = 0.3. Write as fraction numerator (3/10): _____.,3,,,,
Integer,13,When a die is thrown, the probability of getting a prime number is 1/2. Write the numerator: _____.,1,,,,
