Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The surface area of a cube with edge length 'a' is:,4a²,5a²,6a²,8a²,6a²
MCQ,2,The volume of a cube with edge length 'a' is:,a²,a³,2a³,3a³,a³
MCQ,3,The total surface area of a cuboid with dimensions l, b, h is:,lb + bh + hl,2(lb + bh + hl),lbh,2(l + b + h),2(lb + bh + hl)
MCQ,4,The volume of a cuboid with dimensions l, b, h is:,lb + bh + hl,2(lb + bh + hl),lbh,2(l + b + h),lbh
MCQ,5,The curved surface area of a cylinder with radius r and height h is:,πr²h,2πrh,2πr²,πrh,2πrh
MCQ,6,The total surface area of a cylinder with radius r and height h is:,2πrh,2πr(r + h),πr²h,2πr²,2πr(r + h)
MCQ,7,The volume of a cylinder with radius r and height h is:,πr²h,2πrh,2πr²,πrh,πr²h
MCQ,8,The curved surface area of a cone with radius r and slant height l is:,πrl,πr²,πr²h,2πrl,πrl
MCQ,9,The total surface area of a cone with radius r and slant height l is:,πrl,πr(r + l),πr²,2πrl,πr(r + l)
MCQ,10,The volume of a cone with radius r and height h is:,(1/3)πr²h,πr²h,2πr²h,3πr²h,(1/3)πr²h
MCQ,11,The surface area of a sphere with radius r is:,2πr²,4πr²,πr²,3πr²,4πr²
MCQ,12,The volume of a sphere with radius r is:,(4/3)πr³,2πr³,πr³,(2/3)πr³,(4/3)πr³
MCQ,13,The curved surface area of a hemisphere with radius r is:,2πr²,3πr²,πr²,4πr²,2πr²
MCQ,14,The total surface area of a hemisphere with radius r is:,2πr²,3πr²,πr²,4πr²,3πr²
MCQ,15,The volume of a hemisphere with radius r is:,(2/3)πr³,(4/3)πr³,πr³,2πr³,(2/3)πr³
MCQ,16,If the radius of a sphere is doubled, its volume becomes:,2 times,4 times,6 times,8 times,8 times
MCQ,17,If the radius of a sphere is doubled, its surface area becomes:,2 times,4 times,6 times,8 times,4 times
MCQ,18,The volume of a cube with edge 7 cm is:,49 cm³,343 cm³,294 cm³,196 cm³,343 cm³
MCQ,19,The surface area of a cube with edge 7 cm is:,49 cm²,294 cm²,343 cm²,196 cm²,294 cm²
MCQ,20,The volume of a cuboid with dimensions 5 cm, 4 cm, 3 cm is:,12 cm³,60 cm³,47 cm³,94 cm³,60 cm³
MCQ,21,The total surface area of a cuboid with dimensions 5 cm, 4 cm, 3 cm is:,47 cm²,60 cm²,94 cm²,120 cm²,94 cm²
MCQ,22,The volume of a cylinder with radius 7 cm and height 10 cm is (use π = 22/7):,220 cm³,440 cm³,1540 cm³,3080 cm³,1540 cm³
MCQ,23,The curved surface area of a cylinder with radius 7 cm and height 10 cm is (use π = 22/7):,220 cm²,440 cm²,1540 cm²,3080 cm²,440 cm²
MCQ,24,The total surface area of a cylinder with radius 7 cm and height 10 cm is (use π = 22/7):,374 cm²,748 cm²,1540 cm²,3080 cm²,748 cm²
MCQ,25,The volume of a cone with radius 7 cm and height 24 cm is (use π = 22/7):,1232 cm³,616 cm³,1848 cm³,3696 cm³,1232 cm³
MCQ,26,The curved surface area of a cone with radius 7 cm and slant height 25 cm is (use π = 22/7):,350 cm²,550 cm²,700 cm²,1100 cm²,550 cm²
MCQ,27,The total surface area of a cone with radius 7 cm and slant height 25 cm is (use π = 22/7):,550 cm²,704 cm²,1100 cm²,1540 cm²,704 cm²
MCQ,28,The volume of a sphere with radius 7 cm is (use π = 22/7):,4312/3 cm³,2156/3 cm³,4312 cm³,2156 cm³,4312/3 cm³
MCQ,29,The surface area of a sphere with radius 7 cm is (use π = 22/7):,154 cm²,308 cm²,616 cm²,1232 cm²,616 cm²
MCQ,30,The volume of a hemisphere with radius 7 cm is (use π = 22/7):,2156/3 cm³,4312/3 cm³,308 cm³,616 cm³,2156/3 cm³
MCQ,31,The curved surface area of a hemisphere with radius 7 cm is (use π = 22/7):,154 cm²,308 cm²,462 cm²,616 cm²,308 cm²
MCQ,32,The total surface area of a hemisphere with radius 7 cm is (use π = 22/7):,308 cm²,462 cm²,616 cm²,924 cm²,462 cm²
MCQ,33,If the volume of a cube is 64 cm³, its edge length is:,4 cm,8 cm,16 cm,32 cm,4 cm
MCQ,34,If the surface area of a cube is 150 cm², its edge length is:,5 cm,10 cm,15 cm,25 cm,5 cm
MCQ,35,The ratio of volumes of two spheres with radii r and 2r is:,1:2,1:4,1:6,1:8,1:8
MCQ,36,The ratio of surface areas of two spheres with radii r and 2r is:,1:2,1:4,1:6,1:8,1:4
MCQ,37,A sphere of radius r is melted and recast into a cylinder of the same radius. The height of the cylinder is:,(2/3)r,(4/3)r,(3/2)r,(3/4)r,(4/3)r
MCQ,38,The lateral surface area of a cube with edge 'a' is:,4a²,5a²,6a²,8a²,4a²
MCQ,39,If the height of a cylinder is doubled and radius remains the same, its volume becomes:,2 times,4 times,Same,8 times,2 times
MCQ,40,If the radius of a cylinder is doubled and height remains the same, its volume becomes:,2 times,4 times,8 times,Same,4 times
MCQ,41,The slant height of a cone with radius r and height h is:,√(r² + h²),r + h,√(r² - h²),r - h,√(r² + h²)
MCQ,42,If the radius and height of a cylinder are both doubled, its volume becomes:,2 times,4 times,8 times,16 times,8 times
MCQ,43,The volume of a frustum of a cone with radii R and r and height h is:,(π/3)h(R² + r² + Rr),(π/3)h(R² - r²),(π/3)h(R + r)²,(π/3)h(R - r)²,(π/3)h(R² + r² + Rr)
MCQ,44,The curved surface area of a frustum of a cone with radii R and r and slant height l is:,π(R + r)l,π(R - r)l,πRl,πrl,π(R + r)l
MCQ,45,If a solid sphere of radius r is melted and recast into 'n' solid spheres of radius r/2, then n =:,4,6,8,12,8
MCQ,46,The volume of water that a cylindrical vessel of radius 7 cm and height 10 cm can hold is (use π = 22/7):,1540 cm³,1540 ml,1540 liters,1540 m³,1540 cm³
MCQ,47,The number of cubes of edge 2 cm that can be cut from a cube of edge 10 cm is:,25,50,125,250,125
