Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,What does the term globalisation refer to?,Political unity,Economic integration,Cultural isolation,Military alliance,Economic integration
MCQ,2,The Silk Routes connected,Asia with Europe,Asia with Africa,Europe with America,America with Africa,Asia with Europe
MCQ,3,The Silk Routes existed since,6th century BCE,1st century CE,7th century CE,10th century CE,1st century CE
MCQ,4,Which commodity was widely traded along the Silk Routes?,Spices,Silk,Gold,Cotton,Silk
MCQ,5,Who introduced the concept of free trade?,Merchants,Economic historians,Industrialists,Economists,Economists
MCQ,6,Which crop led to famine in Ireland?,Rice,Potato,Wheat,Maize,Potato
MCQ,7,The Irish Potato Famine occurred during,1830s,1840s,1850s,1860s,1840s
MCQ,8,Which continent supplied labour to plantations?,Asia,Africa,Europe,Australia,Africa
MCQ,9,Indentured labourers were mainly sent to,Europe,America,Asia,Australia,America
MCQ,10,The term indenture refers to,Agreement,Tax,Trade,Migration,Agreement
MCQ,11,Which country industrialised first?,France,Germany,USA,Britain,Britain
MCQ,12,Industrialisation led to,Global trade decline,Mass unemployment,Increased production,Isolation,Increased production
MCQ,13,Which invention boosted global trade?,Steam engine,Spinning jenny,Telegraph,Telephone,Steam engine
MCQ,14,Colonial powers exported raw materials from,Colonies,Europe,America,Asia,Colonies
MCQ,15,Who controlled most colonies?,Asian countries,European powers,African kingdoms,American states,European powers
MCQ,16,The Bretton Woods system was established in,1919,1929,1944,1947,1944
MCQ,17,The World Bank was created to promote,Trade,Peace,Reconstruction,Colonialism,Reconstruction
MCQ,18,Which war disrupted global trade severely?,World War I,Crimean War,Napoleonic Wars,Civil War,World War I
MCQ,19,The Great Depression began in,1918,1929,1939,1945,1929
MCQ,20,Which country was worst affected by the Great Depression?,USA,Germany,Britain,France,USA
MCQ,21,The Great Depression led to,High employment,Low prices,Economic boom,Stability,Low prices
MCQ,22,Which system promoted protectionism?,Free trade,Colonialism,Globalisation,Protectionism,Protectionism
MCQ,23,After WWII, global trade was dominated by,Asia,Africa,USA and Europe,Latin America,USA and Europe
MCQ,24,Which institution promotes international trade?,IMF,WHO,UNESCO,ILO,IMF
MCQ,25,Which crop transformed global food habits?,Rice,Wheat,Potato,Maize,Potato
MCQ,26,Who migrated as indentured labourers?,Farmers,Artisans,Workers,Slaves,Workers
MCQ,27,Colonial trade mainly benefited,Colonies,Europe,Workers,Farmers,Europe
MCQ,28,Which transport reduced travel time?,Ships,Camels,Railways,Steamships,Steamships
MCQ,29,The word diaspora means,Forced labour,Scattered population,Slavery,Migration,Scattered population
MCQ,30,Which continent received European migrants?,Asia,Africa,America,Australia,America
MCQ,31,Globalisation before 1850 was based on,Technology,Trade and migration,Industrialisation,Capital flows,Trade and migration
MCQ,32,Which crop was grown in colonies for export?,Cotton,Wheat,Rice,Millets,Cotton
