Question,Answer
Define a point.,A point is an exact location in space; it has no length, width, or thickness.
Define a line.,A line is a straight one-dimensional figure extending infinitely in both directions.
Define a line segment.,A line segment is part of a line with two endpoints.
Define a ray.,A ray has one endpoint and extends infinitely in one direction.
Define a plane.,A plane is a flat two-dimensional surface extending infinitely in all directions.
Differentiate between intersecting and parallel lines.,Intersecting lines meet at a point; parallel lines never meet.
Define a triangle.,A triangle is a polygon with three sides and three angles; sum of angles is 180°.
Classify triangles based on sides.,Equilateral: all sides equal; Isosceles: two sides equal; Scalene: all sides unequal.
Classify triangles based on angles.,Acute: all angles < 90°; Right: one angle = 90°; Obtuse: one angle > 90°.
Define a quadrilateral.,A quadrilateral is a polygon with four sides and four angles.
Define a polygon.,A polygon is a closed plane figure made of three or more straight line segments.
Differentiate between regular and irregular polygons.,Regular: all sides and angles equal; Irregular: sides or angles unequal.
Define a circle.,A circle is a set of points equidistant from a fixed point called the center.
Define radius and diameter.,Radius: distance from center to circle; Diameter: line passing through center joining two points on circle; diameter = 2×radius.
Define chord and tangent.,Chord: line segment joining two points on circle; Tangent: line touching circle at exactly one point.
Define concentric circles.,Two or more circles with same center but different radii.
Define acute, obtuse, right, straight, and reflex angles.,Acute: <90°; Right: 90°; Obtuse: >90° but <180°; Straight: 180°; Reflex: >180°.
Define complementary and supplementary angles.,Complementary angles sum to 90°; Supplementary angles sum to 180°.
Define vertically opposite angles.,Angles opposite each other when two lines intersect; they are equal.
Define adjacent angles.,Angles with a common vertex and side but do not overlap.
Define a square and its properties.,Quadrilateral with all sides equal and all angles 90°; diagonals equal and bisect each other at 90°.
Define a rectangle and its properties.,Quadrilateral with opposite sides equal and all angles 90°; diagonals equal and bisect each other.
Define a parallelogram and its properties.,Quadrilateral with opposite sides parallel and equal; opposite angles equal; diagonals bisect each other.
Define a rhombus and its properties.,Quadrilateral with all sides equal; opposite sides parallel; diagonals bisect at right angles and angles.
Define a trapezium and its properties.,Quadrilateral with one pair of opposite sides parallel; non-parallel sides are called legs.
Explain the sum of interior angles of a polygon.,Sum = (n−2)×180° for n-sided polygon.
Explain the sum of exterior angles of a polygon.,Sum of exterior angles = 360°.
Define a diagonal of a polygon.,A line joining two non-adjacent vertices of a polygon.
Define hypotenuse of a right triangle.,The side opposite the right angle; it is the longest side.
Explain the triangle inequality.,Sum of lengths of any two sides of a triangle is greater than the third side.
Define mid-point of a line segment.,Point dividing a line segment into two equal parts.
Define bisector of a line segment.,Line or segment dividing a line segment into two equal parts.
Define angle bisector.,Ray or line that divides an angle into two equal parts.
Explain properties of diagonals of a rectangle.,Diagonals are equal and bisect each other.
Explain properties of diagonals of a square.,Diagonals are equal, bisect each other at right angles and bisect angles.
Explain properties of diagonals of a rhombus.,Diagonals bisect each other at right angles and bisect the angles.
Define secant of a circle.,A line that intersects a circle at two points.
Define tangent of a circle and its property.,Line touching circle at exactly one po
