Question,Answer
What is an ecosystem?,A community of living and non-living things interacting together
Name one living component of an ecosystem.,Plants
Name one non-living component of an ecosystem.,Water
What is habitat?,Place where an organism lives
Give one example of terrestrial habitat.,Forest
Give one example of aquatic habitat.,Pond
What is population?,Group of same species living in an area
What is community?,Different populations living together
What is a producer?,Organism that makes its own food
Give one example of producer.,Grass
What is a consumer?,Organism that eats other organisms
Give one example of consumer.,Cow
What is a herbivore?,Animal that eats plants
Give one example of herbivore.,Deer
What is a carnivore?,Animal that eats meat
Give one example of carnivore.,Lion
What is an omnivore?,Animal that eats plants and meat
Give one example of omnivore.,Bear
What is a decomposer?,Organism that breaks down dead matter
Give one example of decomposer.,Fungi
What is food chain?,Sequence of organisms showing feeding relationship
Give one example of food chain.,Grass → Grasshopper → Frog → Snake
What is prey?,Animal eaten by another, e.g., Deer
What is predator?,Animal that hunts others, e.g., Lion
What is adaptation?,Feature that helps survival in habitat
Give one adaptation of desert plant.,Thick stem stores water
Give one adaptation of polar animal.,Thick fur keeps warm
Give one adaptation of aquatic animal.,Gills for breathing
What is a niche?,Role of organism in its habitat
What is biodiversity?,Variety of living organisms in an area
Give one example of biodiversity.,Different plants and animals in a forest
Which animals live in water?,Fish
Which animals live on land?,Elephants
Which animals live in both land and water?,Frogs
Which plants live in water?,Hydrilla
Which plants live on land?,Trees
Which plants live in both water and land?,Mangroves
What is climate?,Average weather conditions of an area
Which factor affects living organisms?,Temperature
Which factor affects living organisms?,Light
Which factor affects living organisms?,Water
Which factor affects living organisms?,Soil
What is symbiosis?,Interaction between two species
Give one example of symbiosis.,Lichen (algae and fungi)
What is parasitism?,One benefits, other harmed
Give one example of parasitism.,Mosquito and human
What is mutualism?,Both benefit
Give one example of mutualism.,Bees and flowers
What is commensalism?,One benefits, other unaffected
Give one example of commensalism.,Bird nesting on tree
Which organisms decompose dead plants?,Fungi
Which organisms decompose dead animals?,Bacteria
