Type,Column A,Column B / Correct Match
Question,Central idea,Teachers are ordinary people
Question,Child’s curiosity,Questions about teachers
Question,Poem technique,Series of questions
Question,Teachers’ authority,Only in school
Question,Poem tone,Humorous and gentle
Question,Poem message,Understand teachers better
Question,Child’s view,Innocent
Question,Teachers’ private life,Normal routine
Question,Why poem is funny,Childish imagination
Question,Effect on readers,Warmth
Question,Theme,Humanising teachers
Question,Poem relevance,Relatable to students
Question,Poet’s purpose,Remove fear of teachers
Question,Teaching style,Friendly
Question,Value taught,Empathy
