Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "The Sound of Music"?,Isaac Asimov,Deborah Cowley,Deborah Cowley & Selma Lagerlöf,Ruskin Bond,Deborah Cowley
MCQ,2,The Sound of Music has how many parts?,One,Two,Three,Four,Two
MCQ,3,Who is the protagonist of Part I?,Evelyn Glennie,Bismillah Khan,Ustad Amjad Ali Khan,Pandit Ravi Shankar,Evelyn Glennie
MCQ,4,Evelyn Glennie was famous for playing which instrument?,Violin,Piano,Percussion,Flute,Percussion
MCQ,5,At what age did Evelyn lose her hearing?,8,10,11,12,11
MCQ,6,What was the cause of Evelyn’s deafness?,Accident,Infection,Nerve damage,Birth defect,Nerve damage
MCQ,7,Who motivated Evelyn to sense music differently?,Her mother,Her father,Ron Forbes,Her teacher,Ron Forbes
MCQ,8,How did Evelyn feel vibrations?,Through ears,Through eyes,Through body,Through instruments,Through body
MCQ,9,Evelyn gave her first solo performance at age,14,15,16,17,16
MCQ,10,Evelyn received which award?,Grammy,Bharat Ratna,Royal Academy award,Padma Bhushan,Padma Bhushan
MCQ,11,Part II of the chapter is about?,Evelyn Glennie,Bismillah Khan,Ravi Shankar,Zakir Hussain,Bismillah Khan
MCQ,12,Bismillah Khan was associated with which instrument?,Tabla,Flute,Shehnai,Sitar,Shehnai
MCQ,13,Bismillah Khan was born in?,Patna,Dumraon,Varanasi,Delhi,Dumraon
MCQ,14,Bismillah Khan belonged to which state?,Uttar Pradesh,Bihar,West Bengal,Rajasthan,Bihar
MCQ,15,Which river did Bismillah Khan love?,Yamuna,Ganga,Brahmaputra,Godavari,Ganga
MCQ,16,Who introduced shehnai in the royal court?,Ustad Bismillah Khan,Ali Bux,Amjad Ali Khan,Alla Rakha,Ali Bux
MCQ,17,Bismillah Khan gave first major performance at age,14,16,18,20,14
MCQ,18,Which event made shehnai famous worldwide?,Concerts,Radio,Independence Day broadcast,Films,Independence Day broadcast
MCQ,19,Bismillah Khan played shehnai on 15 August 1947 at?,Delhi Gate,India Gate,Red Fort,Rashtrapati Bhavan,Red Fort
MCQ,20,Which award was refused by Bismillah Khan?,Padma Shri,Bharat Ratna,Padma Bhushan,Padma Vibhushan,Bharat Ratna
MCQ,21,Which award did Bismillah Khan receive?,Padma Bhushan,Bharat Ratna,Grammy,Oscar,Bharat Ratna
MCQ,22,Bismillah Khan believed music was a gift of?,Humans,God,Nature,Practice,God
