Question,Option A,Option B,Option C,Option D,Answer
The ratio of 8 to 12 is?,2:3,3:2,4:5,5:4,A
The simplest form of 18:24 is?,3:4,4:3,2:3,3:2,A
If a:b = 2:3 and b:c = 4:5, find a:c?,8:15,6:15,8:12,2:5,A
If 3:4 = x:16, find x?,12,10,14,8,A
The proportion 5:10 = ? : 20,10,12,8,15,A
If a:b = 7:9, then b:a is?,9:7,7:9,1:1,14:18,A
The ratio of 15 to 25 is?,3:5,5:3,3:4,5:4,A
If 2:5 = 6:x, x =?,15,12,10,18,A
If 4:7 = 12:x, x =?,21,20,18,22,A
The ratio 36:48 in simplest form is?,3:4,4:3,2:3,3:2,A
If a:b = 5:6, then 2a:3b is?,10:18,10:12,5:9,6:7,A
If 8:x = 2:5, find x?,20,18,22,16,A
The ratio of 7 cm to 21 cm is?,1:3,3:1,2:3,3:2,A
If a:b:c = 2:3:4 and a = 8, find c?,16,12,20,10,A
If 9:12 = x:16, x =?,12,10,11,13,A
The ratio of 5 apples to 10 oranges is?,1:2,2:1,5:10,10:5,A
If a:b = 4:5, then 3a:2b is?,12:10,12:15,4:5,6:7,A
If 6:9 = x:18, find x?,12,13,11,10,A
The ratio 14:21 in simplest form is?,2:3,3:2,3:5,5:3,A
If 8:12 = x:18, x =?,12,11,10,13,A
If a:b = 3:4, then 6a:8b is?,9:12,6:8,3:4,18:16,D
The proportion 10:x = 5:15, x =?,30,25,20,35,A
The ratio of 24 to 36 is?,2:3,3:2,3:4,4:3,A
If 5:8 = 10:x, x =?,16,15,18,14,A
If a:b:c = 3:4:5 and b = 12, find a?,9,10,8,7,A
The ratio of 9 to 27 is?,1:3,3:1,3:2,2:3,A
If 6:x = 3:5, x =?,10,9,12,11,A
The ratio 18:24 in simplest form is?,3:4,4:3,2:3,3:2,A
If a:b = 7:5, then 14a:10b is?,7:5,14:10,7:10,14:5,B
The proportion 8:x = 4:6, x =?,12,10,11,13,A
If a:b = 5:7, then 15a:21b is?,15:21,5:7,7:5,21:15,A
If 3:5 = x:25, x =?,15,12,13,14,A
The ratio of 40 cm to 60 cm is?,2:3,3:2,4:5,5:4,A
If 6:10 = x:25, x =?,15,16,14,17,A
The simplest form of 45:60 is?,3:4,4:3,5:6,6:5,A
If a:b = 4:9, then 8a:18b is?,16:36,8:18,16:18,8:9,A
If 9:12 = x:20, find x?,15,14,16,17,A
The ratio of 50 to 75 is?,2:3,3:2,3:5,5:3,A
If a:b = 6:7, then 12a:14b is?,6:7,12:14,7:12,14:12,B
The proportion 15:x = 5:20, x =?,60,50,55,65,A
The ratio of 21 to 28 in simplest form is?,3:4,4:3,3:5,5:3,A
If 8:12 = x:30, find x?,20,22,18,25,A
If a:b:c = 2:3:5 and c = 20, find a?,8,10,12,15,A
The ratio 36:48 in simplest form is?,3:4,4:3,2:3,3:2,A
If a:b = 9:4, then 18a:8b is?,9:4,18:8,4:9,8:18,B
If 7:x = 14:20, find x?,20,18,19,21,A
The proportion 10:15 = x:30, x =?,20,25,22,18,A
If 6:8 = x:16, x =?,12,11,10,13,A
The ratio of 45 to 60 in simplest form is?,3:4,4:3,5:6,6:5,A
