Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "Reach for the Top"?,Arundhati Roy,Santosh Yadav biography writer,Paulo Coelho,Jerome K Jerome,Santosh Yadav biography writer
MCQ,2,"Reach for the Top" has how many parts?,One,Two,Three,Four,Two
MCQ,3,Part I of the chapter is about?,Maria Sharapova,Santosh Yadav,Bachendri Pal,Kalpana Chawla,Santosh Yadav
MCQ,4,Part II of the chapter is about?,Sania Mirza,Mary Kom,PV Sindhu,Maria Sharapova,Maria Sharapova
MCQ,5,Santosh Yadav is famous for?,Running,Tennis,Mountaineering,Badminton,Mountaineering
MCQ,6,Santosh Yadav climbed which peak twice?,Mt Everest,Mt Kilimanjaro,Mt Fuji,Mt Elbrus,Mt Everest
MCQ,7,Santosh Yadav belongs to which state?,Uttarakhand,Rajasthan,Haryana,Himachal Pradesh,Haryana
MCQ,8,Santosh Yadav was born in a?,Wealthy family,Middle-class family,Poor family,Royal family,Poor family
MCQ,9,What made Santosh different as a child?,Obedience,Rebellious nature,Silence,Laziness,Rebellious nature
MCQ,10,Why did Santosh leave home?,To study,To work,To avoid marriage,To travel,To avoid marriage
MCQ,11,Santosh joined which institute?,NIM,Uttarkashi,IIT,NCC,NIM Uttarkashi
MCQ,12,Santosh collected garbage on Everest to?,Earn money,Win prize,Protect environment,Help climbers,Protect environment
MCQ,13,Santosh Yadav is an example of?,Luck,Talent only,Determination,Fame,Determination
MCQ,14,Maria Sharapova is a famous?,Runner,Mountaineer,Tennis player,Swimmer,Tennis player
MCQ,15,Maria Sharapova belongs to?,USA,Russia,UK,Spain,Russia
MCQ,16,Maria moved to USA at age?,5,6,7,8,7
MCQ,17,Who trained Maria Sharapova?,Her father,Her mother,A coach,Her uncle,Her father
MCQ,18,Maria faced hardships like?,Poverty,Language problem,Separation from mother,All of these,All of these
MCQ,19,Maria Sharapova won Wimbledon at age?,15,16,17,18,17
MCQ,20,Who did Maria defeat at Wimbledon?,Serena Williams,Venus Williams,Steffi Graf,Martina Hingis,Serena Williams
