Question,Option A,Option B,Option C,Option D,Answer
What is a point?,A part of a line,A mark showing position,A shape,A ray,B
A line segment has?,No endpoints,One endpoint,Two endpoints,Infinite endpoints,C
Which angle measures exactly 90 degrees?,Acute,Right,Obtuse,Straight,B
An angle more than 90 but less than 180 is called?,Acute,Right,Obtuse,Straight,C
A triangle has how many sides?,Three,Four,Five,Two,A
A quadrilateral has how many sides?,Four,Three,Five,Six,A
Which of these has 4 equal sides and 4 right angles?,Square,Rectangle,Rhombus,Triangle,A
A rectangle has?,Equal opposite sides,All sides equal,No sides equal,Three sides,A
A circle is?,A polygon,A closed curve,Open curve,Line,B
Radius is?,Distance across circle,Distance from centre to circle,Half the diameter,Distance around circle,B
Diameter is?,Twice the radius,Half the radius,Radius,Line segment,A
Polygon is?,Closed figure made of curves,Closed figure made of line segments,Open figure,Open curve,B
A ray has?,Two endpoints,No endpoints,One endpoint,Infinite endpoints,C
A straight line has?,Length only,Length and breadth,Length and height,No length,A
Which of these has no lines of symmetry?,Scalene triangle,Square,Circle,Rectangle,A
Acute angle is?,Less than 90°,More than 90°,Exactly 90°,180°,A
Obtuse angle is?,Less than 90°,More than 90°,Exactly 90°,180°,B
Straight angle is?,Less than 90°,Exactly 90°,180°,More than 180°,C
Right angle measures?,90°,45°,180°,60°,A
Which of these is an open figure?,Triangle,Square,Line segment,Circle,C
A triangle with all sides equal is?,Scalene,Isosceles,Equilateral,Right-angled,C
Which has 2 equal sides?,Scalene,Isosceles,Equilateral,Right-angled,B
A triangle with no equal sides?,Equilateral,Scalene,Isosceles,Right-angled,B
Which shape has infinite lines of symmetry?,Circle,Rectangle,Square,Triangle,A
Which has exactly 4 lines of symmetry?,Square,Circle,Rectangle,Triangle,A
Which has 2 lines of symmetry?,Rectangle,Square,Triangle,Circle,A
Which angle is less than 90°?,Acute,Obtuse,Right,Straight,A
Which angle is exactly 180°?,Straight,Right,Acute,Obtuse,A
What is the sum of angles in triangle?,180°,360°,90°,270°,A
Sum of angles in quadrilateral?,360°,180°,270°,90°,A
A closed curve with all points equidistant from centre is?,Circle,Triangle,Rectangle,Polygon,A
A figure with 3 sides and 3 angles?,Triangle,Square,Rectangle,Circle,A
A figure with 4 sides and 4 angles?,Quadrilateral,Triangle,Rectangle,Circle,A
Line which divides a figure into two equal halves?,Line of symmetry,Ray,Segment,Angle,A
A ray has?,One endpoint,Two endpoints,No endpoints,Infinite endpoints,A
A line extends?,Infinitely in both directions,Infinitely in one direction,Ends at points,Finite,A
An angle less than 90° is?,Acute,Right,Obtuse,Straight,A
An angle more than 90° is?,Obtuse,Acute,Right,Straight,A
Right angle is?,Exactly 90°,More than 90°,Less than 90°,180°,A
Obtuse angle is?,More than 90° but less than 180°,Exactly 90°,Less than 90°,180°,A
Straight angle is?,180°,90°,Less than 90°,More than 180°,A
Triangle with all sides equal?,Equilateral,Isosceles,Scalene,Right-angled,A
Triangle with two sides equal?,Isosceles,Equilateral,Scalene,Right-angled,A
Triangle with no equal sides?,Scalene,Isosceles,Equilateral,Right-angled,A
Quadrilateral with opposite sides equal?,Rectangle,Square,Rhombus,Parallelogram,A
Quadrilateral with all sides equal?,Square,Rhombus,Rectangle,Parallelogram,A
Shape with 3 lines of symmetry?,Equilateral triangle,Square,Circle,Rectangle,A
Shape with 1 line of symmetry?,Isosceles triangle,Scalene triangle,Equilateral triangle,Square,A
Open figure?,Line segment,Triangle,Circle,Square,A
Closed figure?,Triangle,Line segment,Ray,Circle,A
Polygon with 5 sides?,Pentagon,Hexagon,Triangle,Square,A
Polygon with 6 sides?,Hexagon,Heptagon,Octagon,Triangle,A
