Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Which of the following is a quadratic equation?,x² + 2x + 1 = 0,x³ - x² + 2 = 0,2x + 3 = 0,5x - 7 = 0,x² + 2x + 1 = 0
MCQ,2,The standard form of a quadratic equation is:,ax² + bx + c = 0, a ≠ 0,ax + b = 0,ax³ + bx² + c = 0,ax² = 0,ax² + bx + c = 0, a ≠ 0
MCQ,3,The roots of the equation x² - 5x + 6 = 0 are:,1 and 6,2 and 3,3 and 5,1 and 5,2 and 3
MCQ,4,The discriminant of the equation 2x² - 4x + 2 = 0 is:,0,4,8,16,0
MCQ,5,If the discriminant of a quadratic equation is positive, then the equation has:,Two distinct real roots,Two equal real roots,No real roots,One real root,Two distinct real roots
MCQ,6,If the discriminant of a quadratic equation is zero, then the equation has:,Two distinct real roots,Two equal real roots,No real roots,One real root,Two equal real roots
MCQ,7,If the discriminant of a quadratic equation is negative, then the equation has:,Two distinct real roots,Two equal real roots,No real roots,One real root,No real roots
MCQ,8,The quadratic formula to find roots of ax² + bx + c = 0 is:,x = (-b ± √(b² - 4ac))/2a,x = (b ± √(b² - 4ac))/2a,x = (-b ± √(b² + 4ac))/2a,x = (b ± √(b² + 4ac))/2a,x = (-b ± √(b² - 4ac))/2a
MCQ,9,The discriminant of the equation x² - 4x + 4 = 0 is:,0,4,8,16,0
MCQ,10,The roots of the equation x² - 4 = 0 are:,2 and -2,2 and 2,-2 and -2,4 and -4,2 and -2
MCQ,11,If the sum of the roots of a quadratic equation is 7 and the product is 10, the equation is:,x² - 7x + 10 = 0,x² + 7x + 10 = 0,x² - 10x + 7 = 0,x² + 10x + 7 = 0,x² - 7x + 10 = 0
MCQ,12,The roots of the equation x² + 7x + 12 = 0 are:,-3 and -4,3 and 4,-3 and 4,3 and -4,-3 and -4
MCQ,13,The discriminant of x² + 4x + 5 = 0 is:,-4,4,16,-16,-4
MCQ,14,The nature of roots of the equation x² + 4x + 5 = 0 is:,Two distinct real roots,Two equal real roots,No real roots,One real root,No real roots
MCQ,15,The roots of the equation 2x² - 7x + 3 = 0 are:,1/2 and 3,1 and 3,1/2 and -3,-1/2 and 3,1/2 and 3
MCQ,16,If one root of the equation x² - 6x + k = 0 is 2, find the value of k.,8,10,12,14,8
MCQ,17,The roots of the equation x² - 8x + 15 = 0 are:,3 and 5,2 and 6,1 and 15,4 and 4,3 and 5
MCQ,18,If the discriminant of ax² + bx + c = 0 is D = b² - 4ac, then for D = 0:,Roots are real and equal,Roots are real and distinct,Roots are imaginary,No roots,Roots are real and equal
MCQ,19,The roots of the equation 3x² - 2x - 1 = 0 are:,1 and -1/3,1 and 1/3,-1 and -1/3,-1 and 1/3,1 and -1/3
MCQ,20,The quadratic equation whose roots are 3 and -2 is:,x² - x - 6 = 0,x² + x - 6 = 0,x² - x + 6 = 0,x² + x + 6 = 0,x² - x - 6 = 0
MCQ,21,The discriminant of the equation 4x² - 12x + 9 = 0 is:,0,36,144,-144,0
MCQ,22,The roots of the equation x² - 9 = 0 are:,3 and -3,3 and 3,-3 and -3,9 and -9,3 and -3
MCQ,23,If the roots of x² + px + q = 0 are equal, then:,p² = 4q,p² = -4q,p² = q,p² = -q,p² = 4q
MCQ,24,The roots of the equation 6x² - x - 2 = 0 are:,2/3 and -1/2,2/3 and 1/2,-2/3 and -1/2,-2/3 and 1/2,2/3 and -1/2
MCQ,25,The quadratic equation x² - 5x + 6 = 0 can be factorized as:,(x - 2)(x - 3) = 0,(x + 2)(x + 3) = 0,(x - 2)(x + 3) = 0,(x + 2)(x - 3) = 0,(x - 2)(x - 3) = 0
MCQ,26,The sum of the roots of the equation 2x² - 8x + 6 = 0 is:,4,-4,3,-3,4
MCQ,27,The product of the roots of the equation 2x² - 8x + 6 = 0 is:,4,-4,3,-3,3
MCQ,28,If α and β are the roots of x² - 5x + 6 = 0, then α + β is:,5,-5,6,-6,5
MCQ,29,If α and β are the roots of x² - 5x + 6 = 0, then αβ is:,5,-5,6,-6,6
MCQ,30,The roots of the equation x² - 2x - 8 = 0 are:,4 and -2,2 and 4,-4 and 2,-2 and -4,4 and -2
MCQ,31,The discriminant of 3x² + 2x - 1 = 0 is:,16,8,4,2,16
MCQ,32,The nature of roots of 3x² + 2x - 1 = 0 is:,Two distinct real roots,Two equal real roots,No real roots,One real root,Two distinct real roots
MCQ,33,The roots of the equation x² - 10x + 25 = 0 are:,5 and 5,5 and -5,-5 and -5,10 and -10,5 and 5
MCQ,34,If the roots of x² - kx + 4 = 0 are equal, then k is:,-4,4,±4,±2,±4
MCQ,35,The roots of the equation 5x² - 6x - 2 = 0 are:,Real and distinct,Real and equal,Imaginary,None,Real and distinct
MCQ,36,The quadratic equation x² + 3x - 4 = 0 can be written as:,(x + 4)(x - 1) = 0,(x - 4)(x + 1) = 0,(x + 4)(x + 1) = 0,(x - 4)(x - 1) = 0,(x + 4)(x - 1) = 0
MCQ,37,If the equation x² - 4x + k = 0 has equal roots, then k is:,4,-4,2,-2,4
MCQ,38,The roots of the equation 2x² + 5x + 3 = 0 are:,-1 and -3/2,1 and 3/2,-1 and 3/2,1 and -3/2,-1 and -3/2
MCQ,39,The discriminant of x² - 6x + 9 = 0 is:,0,36,-36,12,0
MCQ,40,The quadratic equation whose roots are 5 and -3 is:,x² - 2x - 15 = 0,x² + 2x - 15 = 0,x² - 2x + 15 = 0,x² + 2x + 15 = 0,x² - 2x - 15 = 0
MCQ,41,If the discriminant D < 0, then the roots are:,Real and distinct,Real and equal,Complex/Imaginary,Zero,Complex/Imaginary
MCQ,42,The roots of the equation x² - 3x + 2 = 0 are:,1 and 2,-1 and -2,1 and -2,-1 and 2,1 and 2
MCQ,43,The sum of roots of x² + 7x + 12 = 0 is:,-7,7,12,-12,-7
MCQ,44,The product of roots of x² + 7x + 12 = 0 is:,-7,7,12,-12,12
MCQ,45,If the equation x² - px + 8 = 0 has equal roots, then p is:,-4√2,4√2,±4√2,±8,±4√2
MCQ,46,The roots of the equation 4x² - 4x + 1 = 0 are:,1/2 and 1/2,1 and 1,-1/2 and -1/2,1/4 and 1/4,1/2 and 1/2
MCQ,47,The quadratic equation x² - 7x + 10 = 0 has:,Two distinct real roots,Two equal real roots,No real roots,One real root,Two distinct real roots
MCQ,48,If α and β are the roots of x² + px + q = 0, then α + β is:,-p,p,q,-q,-p
MCQ,49,If α and β are the roots of x² + px + q = 0, then αβ is:,-p,p,q,-q,q
MCQ,50,The quadratic formula gives the solution of ax² + bx + c = 0 when:,a ≠ 0,b ≠ 0,c ≠ 0,All of the above,a ≠ 0
Integer,1,The discriminant of the equation x² - 4x + 4 = 0 is:.,0,,,,
Integer,2,The discriminant of x² + 4x + 5 = 0 is:.,-4,,,,
Integer,3,The roots of the equation x² - 5x + 6 = 0 are: (Enter the smaller root),2,,,,
Integer,4,The roots of the equation x² - 5x + 6 = 0 are: (Enter the larger root),3,,,,
Integer,5,If one root of the equation x² - 6x + k = 0 is 2, then k =:.,8,,,,
Integer,6,The discriminant of the equation 2x² - 4x + 2 = 0 is:.,0,,,,
Integer,7,The sum of the roots of the equation x² - 7x + 10 = 0 is:.,7,,,,
Integer,8,The product of the roots of the equation x² - 7x + 10 = 0 is:.,10,,,,
Integer,9,The discriminant of x² - 8x + 15 = 0 is:.,4,,,,
Integer,10,The roots of x² - 9 = 0 are: (Enter the positive root),3,,,,
Integer,11,The discriminant of 3x² + 2x - 1 = 0 is:.,16,,,,
Integer,12,If the roots of x² - kx + 4 = 0 are equal, then k² =:.,16,,,,
Integer,13,The roots of x² - 10x + 25 = 0 are: (Enter the repeated root),5,,,,
Integer,14,The discriminant of x² - 6x + 9 = 0 is:.,0,,,,
Integer,15,The sum of roots of x² + 7x + 12 = 0 is:.,-7,,,,
Integer,16,The product of roots of x² + 7x + 12 = 0 is:.,12,,,,
Integer,17,The roots of x² - 3x + 2 = 0 are: (Enter the smaller root),1,,,,
Integer,18,The roots of x² - 3x + 2 = 0 are: (Enter the larger root),2,,,,
Integer,19,If the equation x² - 4x + k = 0 has equal roots, then k =:.,4,,,,
Integer,20,The discriminant of 4x² - 12x + 9 = 0 is:.,0,,,,
Integer,21,The roots of 2x² - 7x + 3 = 0 are: (Enter the smaller root as numerator of fraction 1/2, so enter 1),1,,,,
Integer,22,The roots of 2x² - 7x + 3 = 0 are: (Enter the larger root),3,,,,
Integer,23,The discriminant of x² + 3x - 4 = 0 is:.,25,,,,
Integer,24,The roots of x² + 3x - 4 = 0 are: (Enter the positive root),1,,,,
Integer,25,The roots of x² + 3x - 4 = 0 are: (Enter the negative root),-4,,,,
Integer,26,The sum of roots of 2x² - 8x + 6 = 0 is:.,4,,,,
Integer,27,The product of roots of 2x² - 8x + 6 = 0 is:.,3,,,,
Integer,28,The discriminant of 5x² - 6x - 2 = 0 is:.,76,,,,
Integer,29,The roots of x² - 2x - 8 = 0 are: (Enter the positive root),4,,,,
Integer,30,The roots of x² - 2x - 8 = 0 are: (Enter the negative root),-2,,,,
Integer,31,The discriminant of 6x² - x - 2 = 0 is:.,49,,,,
Integer,32,If the roots of x² - px + 8 = 0 are equal, then p² =:.,32,,,,
Integer,33,The roots of 4x² - 4x + 1 = 0 are: (Enter the repeated root as numerator, so 1/2 means enter 1),1,,,,
Integer,34,The discriminant of x² - 5x + 6 = 0 is:.,1,,,,
Integer,35,The roots of x² - 8x + 15 = 0 are: (Enter the smaller root),3,,,,
Integer,36,The roots of x² - 8x + 15 = 0 are: (Enter the larger root),5,,,,
Integer,37,The discriminant of 2x² + 5x + 3 = 0 is:.,1,,,,
Integer,38,The roots of 3x² - 2x - 1 = 0 are: (Enter the positive root as numerator),1,,,,
Integer,39,The discriminant of x² + 11x + 30 = 0 is:.,1,,,,
Integer,40,The roots of x² + 11x + 30 = 0 are: (Enter the smaller root),-6,,,,
Integer,41,The roots of x² + 11x + 30 = 0 are: (Enter the larger root),-5,,,,
Integer,42,The discriminant of x² - 12x + 36 = 0 is:.,0,,,,
Integer,43,The roots of x² - 12x + 36 = 0 are: (Enter the repeated root),6,,,,
Integer,44,The discriminant of x² + x - 6 = 0 is:.,25,,,,
Integer,45,The roots of x² + x - 6 = 0 are: (Enter the positive root),2,,,,
Integer,46,The roots of x² + x - 6 = 0 are: (Enter the negative root),-3,,,,
Integer,47,The discriminant of 7x² - 9x + 2 = 0 is:.,25,,,,
Integer,48,The sum of roots of x² - 13x + 42 = 0 is:.,13,,,,
Integer,49,The product of roots of x² - 13x + 42 = 0 is:.,42,,,,
Integer,50,The discriminant of x² - 14x + 49 = 0 is:.,0,,,,
Problem,1,Find the roots of the quadratic equation x² - 3x - 10 = 0 by factorization method.,"x² - 3x - 10 = (x - 5)(x + 2) = 0. Therefore, x = 5 or x = -2. Answer: x = 5, x = -2",,,,
Problem,2,Find the roots of the quadratic equation 2x² - 7x + 3 = 0 by factorization method.,"2x² - 7x + 3 = (2x - 1)(x - 3) = 0. Therefore, x = 1/2 or x = 3. Answer: x = 1/2, x = 3",,,,
Problem,3,Find the roots of the quadratic equation x² - 4x - 5 = 0 by the method of completing the square.,"x² - 4x = 5, x² - 4x + 4 = 5 + 4, (x - 2)² = 9, x - 2 = ±3, x = 2 ± 3. Therefore, x = 5 or x = -1. Answer: x = 5, x = -1",,,,
Problem,4,Find the roots of the quadratic equation 2x² - 7x + 3 = 0 using the quadratic formula.,"Using x = (-b ± √(b² - 4ac))/2a, where a = 2, b = -7, c = 3. Discriminant = 49 - 24 = 25. x = (7 ± 5)/4. Therefore, x = 3 or x = 1/2. Answer: x = 3, x = 1/2",,,,
Problem,5,Find the discriminant of the quadratic equation 3x² - 2x - 1/3 = 0 and hence find the nature of its roots.,"Discriminant D = b² - 4ac = 4 - 4(3)(-1/3) = 4 + 4 = 8. Since D > 0, the roots are real and distinct. Answer: Discriminant = 8, roots are real and distinct",,,,
Problem,6,Find the values of k for which the quadratic equation 2x² + kx + 3 = 0 has equal roots.,"For equal roots, discriminant = 0. k² - 4(2)(3) = 0, k² - 24 = 0, k² = 24, k = ±2√6. Answer: k = ±2√6",,,,
Problem,7,Find the values of k for which the quadratic equation x² - 4x + k = 0 has two distinct real roots.,"For two distinct real roots, discriminant > 0. 16 - 4k > 0, 4k < 16, k < 4. Answer: k < 4",,,,
Problem,8,Find the values of k for which the quadratic equation x² - 4x + k = 0 has no real roots.,"For no real roots, discriminant < 0. 16 - 4k < 0, 4k > 16, k > 4. Answer: k > 4",,,,
Problem,9,If -5 is a root of the quadratic equation 2x² + px - 15 = 0 and the quadratic equation p(x² + x) + k = 0 has equal roots, find the value of k.,"Substituting x = -5 in 2x² + px - 15 = 0: 50 - 5p - 15 = 0, 5p = 35, p = 7. For px² + px + k = 0 to have equal roots: p² - 4pk = 0, 49 - 28k = 0, k = 49/28 = 7/4. Answer: k = 7/4",,,,
Problem,10,The sum of the squares of two consecutive positive integers is 365. Find the integers.,"Let integers be x and x + 1. Then x² + (x + 1)² = 365, x² + x² + 2x + 1 = 365, 2x² + 2x - 364 = 0, x² + x - 182 = 0, (x + 14)(x - 13) = 0, x = 13 (positive). Therefore, integers are 13 and 14. Answer: 13 and 14",,,,
Problem,11,The altitude of a right triangle is 7 cm less than its base. If the hypotenuse is 13 cm, find the other two sides.,"Let base = x cm, altitude = (x - 7) cm. By Pythagoras: x² + (x - 7)² = 13², x² + x² - 14x + 49 = 169, 2x² - 14x - 120 = 0, x² - 7x - 60 = 0, (x - 12)(x + 5) = 0, x = 12. Therefore, base = 12 cm, altitude = 5 cm. Answer: Base = 12 cm, Altitude = 5 cm",,,,
Problem,12,A cottage industry produces a certain number of pottery articles in a day. It was observed on a particular day that the cost of production of each article (in rupees) was 3 more than twice the number of articles produced on that day. If the total cost of production on that day was Rs 90, find the number of articles produced and the cost of each article.,"Let number of articles = x, cost per article = 2x + 3. Then x(2x + 3) = 90, 2x² + 3x - 90 = 0, (2x + 15)(x - 6) = 0, x = 6. Therefore, number of articles = 6, cost per article = Rs 15. Answer: 6 articles, Rs 15 each",,,,
