Question,Answer
Define a point.,"A point is an exact location in space. It has no length, width, or thickness and is represented by a dot."
Define a line.,"A line is a straight one-dimensional figure that extends infinitely in both directions. It has length but no breadth or thickness."
Define a line segment.,"A line segment is part of a line with two endpoints. It has a definite length."
Define a ray.,"A ray is part of a line that has one endpoint and extends infinitely in one direction."
Define a plane.,"A plane is a flat two-dimensional surface that extends infinitely in all directions."
Differentiate between intersecting and parallel lines.,"Intersecting lines meet at a point, whereas parallel lines never meet."
Draw and define a triangle.,"A triangle is a polygon with three sides and three angles. The sum of its angles is 180 degrees."
Explain different types of triangles based on sides.,"Equilateral triangle: all sides equal; Isosceles triangle: two sides equal; Scalene triangle: all sides unequal."
Explain different types of triangles based on angles.,"Acute triangle: all angles < 90°; Right triangle: one angle = 90°; Obtuse triangle: one angle > 90°."
Define a quadrilateral and give examples.,"A quadrilateral is a polygon with four sides and four angles. Examples: square, rectangle, trapezium, parallelogram."
Define a polygon.,"A polygon is a closed plane figure made up of three or more straight line segments."
Differentiate between regular and irregular polygons.,"Regular polygon: all sides and angles are equal. Irregular polygon: sides or angles are unequal."
Define a circle.,"A circle is a set of points in a plane equidistant from a fixed point called the center."
Define radius and diameter of a circle.,"Radius is the distance from the center to any point on the circle. Diameter is a line passing through the center, joining two points on the circle; diameter = 2 × radius."
Define chord and tangent.,"Chord: a line segment joining two points on a circle. Tangent: a line that touches a circle at exactly one point."
Define concentric circles.,"Two or more circles that have the same center but different radii."
Explain acute, obtuse, right, straight and reflex angles.,"Acute: <90°, Right: 90°, Obtuse: >90° but <180°, Straight: 180°, Reflex: >180°"
Define complementary and supplementary angles.,"Complementary angles sum to 90°, Supplementary angles sum to 180°."
Explain properties of angles at a point.,"Sum of angles at a point is 360°."
Explain vertically opposite angles.,"When two lines intersect, the angles opposite each other are equal. These are called vertically opposite angles."
Define adjacent angles.,"Angles that have a common vertex and a common side but do not overlap."
Draw and explain a square.,"A square is a quadrilateral with all sides equal and all angles 90°. Properties: diagonals are equal and bisect each other at 90°."
Draw and explain a rectangle.,"A rectangle is a quadrilateral with opposite sides equal and all angles 90°. Diagonals are equal and bisect each other."
Define a parallelogram and list properties.,"A parallelogram is a quadrilateral with opposite sides parallel and equal. Opposite angles are equal; diagonals bisect each other."
Define a rhombus and list properties.,"A rhombus is a quadrilateral with all sides equal and opposite sides parallel. Diagonals bisect at right angles."
Define a trapezium and list properties.,"A trapezium is a quadrilateral with one pair of opposite sides parallel. Non-parallel sides are called legs."
Explain the sum of interior angles of a polygon.,"Sum of interior angles of an n-sided polygon = (n−2)×180°."
Explain the sum of exterior angles of a polygon.,"Sum of exterior angles of a polygon = 360°."
Define a diagonal and give examples., "A diagonal is a line joining two non-adjacent vertices of a polygon. Example: AC in square ABCD."
Explain the shortest distance from a point to a line.,"The perpendicular drawn from the point to the line gives the shortest distance."
Define hypotenuse of a right-angled triangle.,"The side opposite the right angle in a right triangle is the hypotenuse; it is the longest side."
Explain the relation between sides of a triangle.,"In any triangle, the sum of lengths of any two sides is greater than the third side."
Define the mid-point of a line segment.,"The point which divides a line segment into two equal parts is called the mid-point."
Define bisector of a line segment.,"A line or segment that divides a line segment into two equal parts is called its bisector."
Define angle bisector.,"A ray or line that divides an angle into two equal parts is called an angle bisector."
Draw a right-angled triangle and label sides and angles.,"A triangle with one 90° angle; sides: base, height, hypotenuse; angles: right angle, other two angles."
Draw an isosceles triangle and explain properties.,"Triangle with two equal sides; angles opposite equal sides are equal."
Draw an equilateral triangle and explain properties.,"Triangle with all sides equal; all angles 60°."
Draw a scalene triangle and explain properties.,"Triangle with all sides unequal; all angles unequal."
Draw an obtuse triangle and explain properties.,"Triangle with one angle > 90°; sum of angles is 180°."
Draw an acute triangle and explain properties.,"Triangle with all angles < 90°; sum of angles is 180°."
Define a secant of a circle.,"A line that intersects a circle at two points."
Define tangent of a circle and state a property.,"A line that touches the circle at exactly one point; perpendicular to the radius at the point of contact."
Explain concentric and non-concentric circles.,"Concentric circles share the same center; non-concentric circles have different centers."
Explain the properties of diagonals of a rectangle.,"Diagonals are equal and bisect each other."
Explain the properties of diagonals of a square.,"Diagonals are equal, bisect each other at 90°, and bisect angles."
Explain the properties of diagonals of a rhombus.,"Diagonals bisect each other at 90° and bisect the angles of the rhombus."
Explain the difference between regular and irregular polygons.,"Regular polygon: all sides and angles equal. Irregular polygon: sides or angles unequal."
Define a geometric figure., "A geometric figure is a set of points, lines, and curves arranged in a particular pattern or shape."
Explain the difference between open and closed figures.,"Open figure: does not enclose a space (e.g., line segment, ray). Closed figure: encloses space (e.g., triangle, square)."
Explain the difference between convex and concave polygons.,"Convex polygon: all interior angles <180°; Concave polygon: at least one interior angle >180°."
Explain how to construct a perpendicular bisector of a line segment.,"Using a compass, draw arcs from both endpoints with radius > half the segment; join intersection points to get perpendicular bisector."
Explain how to construct the bisector of an angle.,"Using a compass, draw arcs from vertex and points on sides; draw arcs from these points; join intersection to vertex for angle bisector."
