Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Which of the following is a rational number?,√2,√3,5/7,π,5/7
MCQ,2,Which number is irrational?,0.25,1/3,√5,2/7,√5
MCQ,3,The decimal expansion of 1/8 is?,0.125,0.25,0.375,0.5,0.125
MCQ,4,Which has a terminating decimal?,3/5,2/3,7/9,5/6,3/5
MCQ,5,Which has non-terminating repeating decimal?,1/4,3/8,2/7,5/16,2/7
MCQ,6,π is a?,Rational number,Integer,Irrational number,Whole number,Irrational number
MCQ,7,Which is not a natural number?,1,5,0,10,0
MCQ,8,The set of integers includes?,Only positive numbers,Only negative numbers,Zero also,Only fractions,Zero also
MCQ,9,Which is a whole number?,-2,-1,0,1/2,0
MCQ,10,The value of √16 is?,2,-4,4,8,4
MCQ,11,Which is irrational?,√9,√25,√7,√49,√7
MCQ,12,0.333… is equal to?,1/2,1/3,2/3,3/4,1/3
MCQ,13,Which decimal is terminating?,0.125,0.2727…,0.111…,0.666…,0.125
MCQ,14,The square root of 2 is?,Rational,Irrational,Integer,Natural,Irrational
MCQ,15,Which is a real number?,√3,-5,0,All of these,All of these
MCQ,16,The decimal expansion of 1/3 is?,Terminating,Non-terminating repeating,Non-terminating non-repeating,Integer,Non-terminating repeating
MCQ,17,Which is a negative integer?,-3,2,0,1/2,-3
MCQ,18,Which number lies between 1 and 2?,√3,√4,√5,√6,√3
MCQ,19,Which of the following is rational?,√2,π,0.75,√7,0.75
MCQ,20,The value of √81 is?,7,8,9,10,9
MCQ,21,Which number has non-terminating non-repeating decimal?,1/7,√3,0.25,3/8,√3
MCQ,22,Real numbers include?,Only rationals,Only irrationals,Both rationals and irrationals,Only integers,Both rationals and irrationals
MCQ,23,Which is a rational number?,-2,√5,π,√7,-2
MCQ,24,The decimal expansion of 7/20 is?,0.35,0.7,0.25,0.4,0.35
MCQ,25,Which is not an integer?,-5,0,7,3/2,3/2
MCQ,26,The square root of 49 is?,5,6,7,8,7
MCQ,27,Which is irrational?,√16,√25,√11,√36,√11
MCQ,28,0.2 is equal to?,1/2,1/5,2/5,1/4,1/5
MCQ,29,Which lies between √2 and √3?,1.5,1.6,1.7,2,1.6
MCQ,30,The decimal of 5/4 is?,1.25,1.5,1.75,2,1.25
MCQ,31,Which is a terminating decimal?,7/8,2/9,5/3,1/7,7/8
MCQ,32,Which is an irrational number?,√10,0.5,3/4,-2,√10
MCQ,33,Whole numbers start from?,-1,0,1,2,0
MCQ,34,The square of √5 is?,5,10,25,√5,5
MCQ,35,Which is non-terminating repeating?,0.125,0.4,0.666…,0.25,0.666…
MCQ,36,The number system containing all numbers is?,Natural,Integers,Rational,Real,Real
MCQ,37,Which is smallest?,-5,-3,0,2,-5
MCQ,38,Which is largest?,-1,-3,-5,-2,-1
MCQ,39,The value of √1 is?,0,1,-1,2,1
MCQ,40,Which is rational?,√8,√12,√18,√4,√4
MCQ,41,Decimal of 3/5 is?,0.3,0.5,0.6,0.8,0.6
MCQ,42,Which is not a real number?,√2,-3,π,√-1,√-1
MCQ,43,Which lies between 2 and 3?,√5,√10,√8,√9,√5
MCQ,44,0.0909… equals?,1/11,1/9,1/99,9/11,1/11
MCQ,45,Which is irrational?,0.121212…,3/7,√13,5/8,√13
MCQ,46,Which is integer?,-7,2/3,0.5,√2,-7
MCQ,47,The square root of 0 is?,0,1,-1,Undefined,0
MCQ,48,Which is a real number?,π,-4,√3,All of these,All of these
MCQ,49,Which has terminating decimal?,1/16,2/3,1/7,5/9,1/16
MCQ,50,Which is non-terminating non-repeating?,√2,1/5,0.4,2,√2

Integer,1,Value of √25?,5,,,,
Integer,2,Value of √144?,12,,,,
Integer,3,Decimal form of 1/4?,0.25,,,,
Integer,4,Value of √9?,3,,,,
Integer,5,Value of √2 (approx)?,1.41,,,,
Integer,6,Value of √3 (approx)?,1.73,,,,
Integer,7,Smallest whole number?,0,,,,
Integer,8,Largest negative integer less than -2?,-3,,,,
Integer,9,Value of √1?,1,,,,
Integer,10,Decimal of 3/8?,0.375,,,,
Integer,11,Value of √49?,7,,,,
Integer,12,Value of √0?,0,,,,
Integer,13,Is π rational? (Yes/No),No,,,,
Integer,14,Value of √81?,9,,,,
Integer,15,Decimal of 7/20?,0.35,,,,
Integer,16,Value of √4?,2,,,,
Integer,17,Smallest natural number?,1,,,,
Integer,18,Value of √16?,4,,,,
Integer,19,Decimal of 1/5?,0.2,,,,
Integer,20,Value of √64?,8,,,,
Integer,21,Is √7 rational? (Yes/No),No,,,,
Integer,22,Value of √100?,10,,,,
Integer,23,Decimal of 9/4?,2.25,,,,
Integer,24,Value of √121?,11,,,,
Integer,25,Decimal of 5/8?,0.625,,,,
Integer,26,Value of √36?,6,,,,
Integer,27,Is 0 a whole number? (Yes/No),Yes,,,,
Integer,28,Value of √225?,15,,,,
Integer,29,Decimal of 2/5?,0.4,,,,
Integer,30,Value of √169?,13,,,,
Integer,31,Is √5 irrational? (Yes/No),Yes,,,,
Integer,32,Value of √196?,14,,,,
Integer,33,Decimal of 11/4?,2.75,,,,
Integer,34,Value of √400?,20,,,,
Integer,35,Decimal of 1/8?,0.125,,,,
Integer,36,Value of √324?,18,,,,
Integer,37,Is 1 a natural number? (Yes/No),Yes,,,,
Integer,38,Value of √625?,25,,,,
Integer,39,Decimal of 3/20?,0.15,,,,
Integer,40,Value of √256?,16,,,,
Integer,41,Value of √0.25?,0.5,,,,
Integer,42,Decimal of 7/8?,0.875,,,,
Integer,43,Value of √900?,30,,,,
Integer,44,Decimal of 1/2?,0.5,,,,
Integer,45,Value of √144?,12,,,,
Integer,46,Decimal of 9/5?,1.8,,,,
Integer,47,Value of √361?,19,,,,
Integer,48,Decimal of 4/25?,0.16,,,,
Integer,49,Value of √529?,23,,,,
Integer,50,Decimal of 6/5?,1.2,,,,

Problem,1,Find √49.,,,,,7
Problem,2,Find √0.81.,,,,,0.9
Problem,3,Express 0.375 as a fraction.,,,,,3/8
Problem,4,Find √225.,,,,,15
Problem,5,Convert 2/5 into decimal.,,,,,0.4
Problem,6,Find √144.,,,,,12
Problem,7,Write 0.6 in fractional form.,,,,,3/5
Problem,8,Find √196.,,,,,14
Problem,9,Convert 7/8 into decimal.,,,,,0.875
Problem,10,Find √361.,,,,,19
Problem,11,Find √0.04.,,,,,0.2
Problem,12,Convert 9/4 into decimal.,,,,,2.25
Problem,13,Find √400.,,,,,20
Problem,14,Write 0.2 as fraction.,,,,,1/5
Problem,15,Find √625.,,,,,25
Problem,16,Convert 5/16 into decimal.,,,,,0.3125
Problem,17,Find √169.,,,,,13
Problem,18,Write 0.125 as fraction.,,,,,1/8
Problem,19,Find √324.,,,,,18
Problem,20,Convert 3/20 into decimal.,,,,,0.15
Problem,21,Find √529.,,,,,23
Problem,22,Write 1.25 as fraction.,,,,,5/4
Problem,23,Find √900.,,,,,30
Problem,24,Convert 11/5 into decimal.,,,,,2.2
Problem,25,Find √256.,,,,,16
Problem,26,Write 0.75 as fraction.,,,,,3/4
Problem,27,Find √1024.,,,,,32
Problem,28,Convert 7/25 into decimal.,,,,,0.28
Problem,29,Find √81.,,,,,9
Problem,30,Write 0.875 as fraction.,,,,,7/8
Problem,31,Find √121.,,,,,11
Problem,32,Convert 13/4 into decimal.,,,,,3.25
Problem,33,Find √0.16.,,,,,0.4
Problem,34,Write 1.6 as fraction.,,,,,8/5
Problem,35,Find √484.,,,,,22
Problem,36,Convert 3/5 into decimal.,,,,,0.6
Problem,37,Find √784.,,,,,28
Problem,38,Write 0.4 as fraction.,,,,,2/5
Problem,39,Find √49/9.,,,,,7/3
Problem,40,Convert 15/8 into decimal.,,,,,1.875
Problem,41,Find √0.01.,,,,,0.1
Problem,42,Write 2.5 as fraction.,,,,,5/2
Problem,43,Find √676.,,,,,26
Problem,44,Convert 9/20 into decimal.,,,,,0.45
Problem,45,Find √441.,,,,,21
Problem,46,Write 0.05 as fraction.,,,,,1/20
Problem,47,Find √169/25.,,,,,13/5
Problem,48,Convert 1/40 into decimal.,,,,,0.025
Problem,49,Find √961.,,,,,31
Problem,50,Write 0.32 as fraction.,,,,,8/25
