Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the author of "Packing"?,R.K. Narayan,Jerome K. Jerome,Mark Twain,Charles Dickens,Jerome K. Jerome
MCQ,2,"Packing" is an extract from which book?,Three Men in a Boat,Three Men on the Bummel,My Experiments with Truth,Wings of Fire,Three Men in a Boat
MCQ,3,Who are the three main characters?,George,Harris,Narrator,All of these,All of these
MCQ,4,What were the friends planning?,A picnic,A journey,A holiday by boat,A walk,A holiday by boat
MCQ,5,Who claimed to be good at packing?,Narrator,George,Harris,All three,Narrator
MCQ,6,What item did the narrator forget to pack?,Toothbrush,Boots,Soap,Camera,Toothbrush
MCQ,7,Where did the narrator finally find the toothbrush?,Bag,Coat pocket,Boot,Table,Coat pocket
MCQ,8,Who packed the boots?,Narrator,George,Harris,None,George
MCQ,9,Why was Harris angry?,Too much luggage,Narrator’s interference,Lost items,Hunger,Narrator’s interference
MCQ,10,What did George do with the boots?,Packed neatly,Sat on them,Put in bag upside down,Wore them,Put in bag upside down
MCQ,11,What tone does the chapter have?,Serious,Tragic,Humorous,Sad,Humorous
MCQ,12,What quality of the narrator is shown?,Efficiency,Vanity,Carelessness,Arrogance,Vanity
MCQ,13,Why did narrator insist on packing?,To help friends,To show skill,No reason,Forced,To show skill
MCQ,14,What did Harris break?,Bottle,Plate,Cup,Nothing,Cup
MCQ,15,What happened to the butter?,Melted,Lost,Squashed,Eaten,Squashed
MCQ,16,Who stepped on the butter?,Narrator,George,Harris,Dog,Harris
MCQ,17,What animal helped in packing?,Dog,Cat,Mouse,None,None
MCQ,18,Why was packing delayed?,Carelessness,Arguments,Missing items,All of these,All of these
MCQ,19,What annoyed George the most?,Noise,Narrator’s comments,Butter,Boots,Narrator’s comments
MCQ,20,What kind of friends were they?,Serious,Organised,Clumsy,Professional,Clumsy
MCQ,21,What literary device is used?,Irony,Simile,Metaphor,Personification,Irony
MCQ,22,What does the story mainly show?,Adventure,Packing skills,Human foolishness,Travel tips,Human foolishness
MCQ,23,Why is the narrator funny?,Overconfidence,Anger,Silence,Discipline,Overconfidence
MCQ,24,What happened to the jam?,Eaten,Broken,Smashed,Saved,Smashed
MCQ,25,Who cleaned the mess?,Narrator,George,Harris,None,None
MCQ,26,What lesson does the story teach?,Planning,Humility,Not to boast,Hard work,Not to boast
MCQ,27,What time was packing done?,Morning,Night,Afternoon,Evening,Night
MCQ,28,Why was the narrator angry at George?,Boots issue,Noise,Delay,Food,Boots issue
MCQ,29,What was packed first?,Food,Clothes,Boots,Bags,Bags
MCQ,30,Who actually packed better?,Narrator,George,Harris,None,None
MCQ,31,What made the situation comic?,Arguments,Mess,Overconfidence,All,All
MCQ,32,What quality of Harris is shown?,Patience,Clumsiness,Anger,Skill,Clumsiness
MCQ,33,What happened to the plates?,Packed safely,Broken,Left behind,Lost,Broken
MCQ,34,Why did narrator keep interrupting?,To help,To show off,Confusion,Boredom,To show off
MCQ,35,What emotion dominates the chapter?,Fear,Humour,Anger,Sadness,Humour
MCQ,36,Who finally packed the bags?,Narrator,George and Harris,Narrator’s dog,None,George and Harris
MCQ,37,What is the central theme?,Travel,Friendship,Humour in daily life,Packing tips,Humour in daily life
