Question,Answer
Discrimination means treating someone ______.,unfairly
People can face discrimination based on ______.,caste
Discrimination can also be based on ______.,religion
Gender discrimination happens between ______.,men and women
All humans are ______.,equal
Laws protect people from ______.,discrimination
Everyone has the right to ______.,education
No one should be treated ______.,differently
Discrimination can hurt a person’s ______.,feelings
Social discrimination is against ______.,justice
People should be treated with ______.,respect
Diversity should not lead to ______.,discrimination
Equality means everyone is ______.,treated fairly
Discrimination can occur in ______.,workplaces
People can face discrimination in ______.,schools
Caste discrimination is illegal under the ______.,Constitution
Discrimination based on language is ______.,unfair
People should fight ______ and inequality.,against
No one should be denied ______.,rights
Everyone has the right to ______.,freedom
Gender equality ensures women and men have ______.,equal opportunities
Discrimination divides the ______.,society
Everyone should be treated with ______.,dignity
Laws help in protecting ______.,minorities
Discrimination is a violation of ______.,human rights
People should respect different ______.,cultures
Education can help reduce ______.,discrimination
Everyone deserves ______ and fairness.,justice
Discrimination can be based on ______ or appearance.,color
People should promote ______.,tolerance
Bullying is a form of ______.,discrimination
Everyone has right to ______.,employment
Social awareness reduces ______.,prejudice
People should live in ______.,harmony
Equality promotes social ______.,justice
Discrimination is morally ______.,wrong
People should be judged by their ______.,abilities
Discrimination hurts national ______.,unity
Everyone should have access to public ______.,services
No one should be treated differently for their ______.,beliefs
Discrimination is against ______.,humanity
People should help those who are ______.,marginalized
Everyone has the right to speak and ______.,participate
Discrimination is unfair treatment based on ______.,differences
Equal treatment strengthens ______.,society
Respect for diversity prevents ______.,discrimination
People should celebrate ______.,diversity
Treating everyone equally is called ______.,fairness
Discrimination reduces ______.,opportunities
Everyone should be ______ to one another.,kind
