Question,Answer
"The child wonders where teachers go at four o'clock.",True
"The child wants to know if teachers live in houses.",True
"The child wonders if teachers wash their socks.",True
"The child wonders if teachers wear pajamas.",True
"The poem asks if teachers watch TV.",True
"The child wonders if teachers pick their noses.",True
"The child wonders if teachers live with their parents.",True
"The child wonders if teachers were ever children.",True
"The child wonders if teachers were ever bad.",True
"The child wonders if teachers ever lost their hymn books.",True
"The child wonders if teachers ever scribbled on their desks.",True
"The child wonders if teachers ever wore dirty jeans.",True
"The child plans to follow a teacher home to find the answers.",True
"The child wants to write a poem about what the teacher does.",True
"The child thinks teachers are magical beings who don't eat.",False
"The child wonders if teachers ever make mistakes in spelling.",True
"The child thinks teachers stay in the school all night.",False
"The child wonders if teachers ever pinched the chocolate flakes.",True
"The poem is written from the perspective of an adult.",False
"The child wonders if teachers ever leave their greens (vegetables).",True
"The child thinks teachers have no 'mums and dads'.",False
"The child wonders if teachers ever did anything wrong.",True
"The child wants to know if teachers 'watch TV' like us.",True
"The child wonders if teachers 'wear pajamas' to bed.",True
"The child thinks teachers are always perfect.",False
"The child wonders if teachers ever 'lost their books'.",True
"The child wonders if teachers ever 'scribbled on the rafters'.",False
"The child wonders if teachers ever 'pinched the chocolate'.",True
"The child will 'follow one back' to see the truth.",True
"The child wants the teacher to read the poem he writes.",True
"The child wonders if teachers have a home life.",True
"The child wonders if teachers ever 'wore old dirty jeans'.",True
"The child wonders if teachers 'pick their noses' like other people.",True
"The poem says teachers go home at 'five o'clock'.",False
"The child wonders if teachers were 'ever bad' at school.",True
"The child wonders if teachers 'lived with other people'.",True
"The child thinks teachers might be 'aliens'.",False
"The child wonders if teachers 'wash their socks' at home.",True
"The child thinks teachers are 'different' from ordinary people.",True
"The child wonders if teachers ever 'spelt things wrong'.",True
"The child wonders if teachers 'left their greens' on the plate.",True
"The child is going to 'find out' what teachers do.",True
"The child will 'put it in a poem'.",True
"The poet of this poem is Peter Dixon.",True
"The poem is about the 'mystery' of a teacher's life.",True
"The child thinks teachers are 'extraordinary'.",True
"The child wonders if teachers 'watch the news'.",False
"The child wonders if teachers 'wear pajamas' in the classroom.",False
"The child wonders if teachers 'stayed in the school'.",False
"The poem is funny and relatable for students.",True
