Question,Answer
What is a fibre?,Fibre is a thin, thread-like material from which fabric is made.
Name two types of fibres.,Natural fibres and synthetic fibres.
Give an example of a natural fibre from plants.,Cotton.
Give an example of a natural fibre from animals.,Wool.
Give an example of a synthetic fibre.,Nylon.
What is the first step in making fabric from cotton?,Harvesting cotton bolls.
What is ginning?,Process of separating seeds from cotton fibres.
What is spinning?,Process of converting fibres into threads or yarn.
What is weaving?,Process of interlacing threads to make fabric.
What is knitting?,Process of making fabric by looping yarn.
Which part of the cotton plant provides cotton fibre?,Seed fibres.
Which animal provides wool?,Sheep.
Which animal provides silk?,Silkworm.
What is sericulture?,The process of rearing silkworms for silk production.
What is the cocoon?,Protective covering made by silkworm to make silk.
What is the difference between raw silk and processed silk?,Raw silk is straight from cocoon; processed silk is cleaned and softened.
Which fibre is used to make ropes?,Jute.
Which fibre is used to make sarees?,Silk.
Which fibre is used to make shirts?,Cotton.
Which fibre is used to make sweaters?,Wool.
Which fibre is shiny and strong?,Silk.
Which fibre is coarse and rough?,Jute.
Which fibre is soft and comfortable?,Cotton.
Which fibre is elastic?,Wool.
Which fibre is produced artificially?,Synthetic fibre.
Which fibre is resistant to water?,Synthetic fibre.
Which fibre is used in parachutes?,Nylon.
Which fibre is used in stockings?,Nylon.
Which fibre is used in carpets?,Wool.
Which fibre is used in ropes and mats?,Jute.
Which fibre is obtained from leaves of plant?,Jute.
Which fibre is obtained from seeds of plant?,Cotton.
Which fibre is obtained from animal hair?,Wool.
Which fibre is obtained from silkworm cocoon?,Silk.
Which fibre is biodegradable?,Cotton, wool, silk, jute.
Which fibre is non-biodegradable?,Nylon, polyester.
Which fibre is used in bed sheets?,Cotton.
Which fibre is used in winter clothing?,Wool.
Which fibre is used in festive clothing?,Silk.
Which fibre is used in shopping bags?,Jute.
Which fibre is obtained by spinning?,Yarn.
Which process converts yarn into fabric?,Weaving or knitting.
Which process converts fibre into yarn?,Spinning.
Which process converts raw silk into usable silk thread?,Reeling.
Which process removes seeds from cotton?,Ginning.
Which fibre is natural and plant-based?,Cotton and jute.
Which fibre is natural and animal-based?,Wool and silk.
Which fibre is synthetic and used in raincoats?,Nylon.
Which fibre is synthetic and used in ropes?,Polyester.
Which fibre is used in saree making?,Silk.
Which fibre is softest among cotton, wool, silk?,Silk.
Which fibre is warmest?,Wool.
