Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Democracy is a form of government in which power is vested in?,King,Army,People,Judiciary,People
MCQ,2,Which country is considered the birthplace of democracy?,India,Greece,USA,France,Greece
MCQ,3,In a democracy, rulers are elected by?,Nomination,Hereditary rule,Elections,Army,Elections
MCQ,4,Which of the following is a democratic feature?,Rule by one person,Free elections,Military rule,None,Free elections
MCQ,5,Who elects the government in a democracy?,Judges,Army,People,King,People
MCQ,6,Which is NOT a democratic government?,India,UK,China,Pakistan,China
MCQ,7,Which country follows a one-party system?,USA,India,China,UK,China
MCQ,8,Democracy allows which right?,No criticism,Right to criticise,No opposition,None,Right to criticise
MCQ,9,Which is an example of democratic decision?,By ruler,By army,By majority vote,None,By majority vote
MCQ,10,Which feature ensures accountability?,Dictatorship,Free elections,Monarchy,None,Free elections
MCQ,11,Who makes laws in a democracy?,King,People’s representatives,Army,None,People’s representatives
MCQ,12,Which of these is a non-democratic government?,India,USA,Myanmar,France,Myanmar
MCQ,13,What is universal adult franchise?,Vote by rich only,Vote by adults,Vote by men only,None,Vote by adults
MCQ,14,Minimum age to vote in India is?,16,18,21,25,18
MCQ,15,Which is a democratic outcome?,Oppression,Equality,Dictatorship,None,Equality
MCQ,16,Which institution conducts elections in India?,Supreme Court,Parliament,Election Commission,None,Election Commission
MCQ,17,Democracy is based on?,Force,Consent of people,Army,None,Consent of people
MCQ,18,Which country practices direct democracy?,India,USA,Switzerland,China,Switzerland
MCQ,19,Which of these supports democracy?,Censorship,Free press,One-party rule,None,Free press
MCQ,20,Which is a merit of democracy?,Slow decisions,Instability,Better decisions,None,Better decisions
MCQ,21,Which is a demerit of democracy?,Equal rights,Accountability,Delay in decisions,None,Delay in decisions
MCQ,22,Democracy improves decision making because?,Decisions by ruler,Collective wisdom,Force,None,Collective wisdom
MCQ,23,Which government allows opposition?,Democracy,Dictatorship,Monarchy,None,Democracy
MCQ,24,Which is a key principle of democracy?,Inequality,Majority rule,Minority rule,None,Majority rule
MCQ,25,Democracy promotes which value?,Fear,Liberty,Suppression,None,Liberty
MCQ,26,Which is an example of democracy?,Military rule,Hereditary rule,India,None,India
MCQ,27,Democracy ensures dignity of?,Rulers,Army,Individuals,None,Individuals
MCQ,28,Which right allows people to choose leaders?,Right to property,Right to vote,Right to religion,None,Right to vote
MCQ,29,Which is essential for democracy?,Free elections,Censorship,Single party,None,Free elections
MCQ,30,Which system has no opposition?,Democracy,Dictatorship,Republic,None,Dictatorship
MCQ,31,Which of these is democratic?,Rule of law,Rule of king,Rule of army,None,Rule of law
MCQ,32,Democracy allows peaceful change of?,Climate,Government,Population,None,Government
MCQ,33,Which country is democratic?,India,China,Saudi Arabia,None,India
MCQ,34,Which form of government is accountable?,Dictatorship,Monarchy,Democracy,None,Democracy
MCQ,35,Which feature prevents misuse of power?,Free media,Army rule,None,None,Free media
MCQ,36,Which is a democratic value?,Equality,Discrimination,Suppression,None,Equality
MCQ,37,Which government respects minority rights?,Dictatorship,Democracy,Monarchy,None,Democracy
MCQ,38,Which is NOT a feature of democracy?,Elections,Equality,Censorship,None,Censorship
MCQ,39,Democracy leads to?,Conflict only,Better society,No development,None,Better society
MCQ,40,Which right protects citizens?,Fundamental Rights,Army law,None,None,Fundamental Rights
MCQ,41,Which type of democracy exists in India?,Direct,Indirect,Monarchy,None,Indirect
MCQ,42,Which organ makes laws?,Judiciary,Legislature,Executive,None,Legislature
MCQ,43,Which organ implements laws?,Legislature,Executive,Judiciary,None,Executive
MCQ,44,Which organ interprets laws?,Executive,Judiciary,Legislature,None,Judiciary
MCQ,45,Democracy allows which freedom?,Speech,No speech,None,None,Speech
MCQ,46,Which system has regular elections?,Dictatorship,Democracy,None,None,Democracy
MCQ,47,Which country has longest democracy?,USA,UK,India,None,USA
MCQ,48,Which value is central to democracy?,Equality,Force,None,None,Equality
