Question,Option A,Option B,Option C,Option D,Correct Answer
What is biodegradable waste?,Waste that can decompose,Waste that cannot decompose,Waste that burns easily,Recyclable waste,Waste that can decompose
What is non-biodegradable waste?,Waste that cannot decompose,Waste that decomposes,Waste from plants,Waste from animals,Waste that cannot decompose
Which of the following is biodegradable?,Fruit peels,Plastic bottles,Glass,Styrofoam,Fruit peels
Which of the following is non-biodegradable?,Plastic bags,Leaves,Vegetable peels,Paper,Plastic bags
Which of the following can be recycled?,Plastic bottles,Vegetable peels,Leaves,Fruit peels,Plastic bottles
Which of the following cannot be recycled?,Styrofoam,Aluminium,Paper,Glass,Styrofoam
What is composting?,Decomposition of organic waste,Burning plastic,Washing garbage,Burying metal,Decomposition of organic waste
Which waste can be used to make compost?,Food scraps,Plastic bags,Glass bottles,Metal cans,Food scraps
Which of the following is electronic waste?,Old mobile phones,Leaves,Paper,Vegetable peels,Old mobile phones
Which of the following is hazardous waste?,Batteries,Paper,Leaves,Food scraps,Batteries
What is segregation of waste?,Separating waste into types,Mixing all waste,Burning all waste,Burying all waste,Separating waste into types
Which of the following is wet waste?,Vegetable peels,Plastic,Glass,Metal,Vegetable peels
Which of the following is dry waste?,Paper,Food scraps,Vegetable peels,Fruit peels,Paper
Which of the following is domestic waste?,Household garbage,Factory waste,Medical waste,Industrial waste,Household garbage
Which of the following is industrial waste?,Factory waste,Household garbage,Food waste,Leaves,Factory waste
Which method reduces waste in landfills?,Segregation,Mixing,Burning,Ignoring,Segregation
Which is a way to manage e-waste?,Recycling,Throwing in river,Burning,Dumping in soil,Recycling
Which of the following harms environment if not disposed properly?,Plastic,Leaves,Fruit peels,Vegetable peels,Plastic
Which is a method of reducing plastic waste?,Using cloth bags,Throwing away plastic,Ignoring plastic,Burning plastic,Using cloth bags
Which of the following is solid waste?,Paper,Water,Air,Milk,Paper
Which is liquid waste?,Sewage,Plastic,Paper,Glass,Sewage
Which is gaseous waste?,Smoke,Plastic,Paper,Glass,Smoke
Which of the following causes pollution?,Plastic,Biodegradable waste,Leaves,Vegetable peels,Plastic
Which waste can be used as fuel?,Dry leaves,Plastic,Metal,Glass,Dry leaves
Which of the following is harmful to soil?,Plastic,Leaves,Vegetable peels,Fruit peels,Plastic
Which of the following is harmful to water?,Plastic,Vegetable peels,Leaves,Paper,Plastic
Which of the following is harmful to air?,Smoke,Leaves,Vegetable peels,Paper,Smoke
Which of the following is recyclable metal?,Aluminium,Plastic,Glass,Paper,Aluminium
Which of the following is biodegradable paper waste?,Old newspapers,Plastic bags,Styrofoam,Glass,Old newspapers
Which of the following is hazardous medical waste?,Syringes,Leaves,Vegetable peels,Paper,Syringes
Which of the following is household wet waste?,Kitchen scraps,Plastic bottles,Glass,Metal cans,Kitchen scraps
Which of the following is household dry waste?,Newspapers,Vegetable peels,Food scraps,Fruit peels,Newspapers
Which of the following can be reused?,Glass jars,Plastic bags,Leaves,Food scraps,Glass jars
Which is compostable material?,Vegetable peels,Plastic,Metal,Glass,Vegetable peels
Which of the following is biodegradable plastic alternative?,Bagasse,Plastic,Styrofoam,Polythene,Bagasse
Which is electronic waste?,Old computers,Vegetable peels,Paper,Leaves,Old computers
Which waste pollutes soil?,Plastic,Leaves,Fruit peels,Vegetable peels,Plastic
Which waste pollutes water?,Plastic bottles,Vegetable peels,Leaves,Paper,Plastic bottles
Which waste pollutes air?,Smoke,Leaves,Vegetable peels,Paper,Smoke
Which waste can be converted into biogas?,Food waste,Plastic,Glass,Metal,Food waste
Which is hazardous household waste?,Batteries,Leaves,Vegetable peels,Paper,Batteries
Which waste is safe to dispose in soil?,Leaves,Plastic,Batteries,Styrofoam,Leaves
Which of the following is industrial hazardous waste?,Chemical waste,Leaves,Vegetable peels,Paper,Chemical waste
Which of the following is used in recycling process?,Plastic bottles,Food scraps,Leaves,Vegetable peels,Plastic bottles
Which waste can be used to make paper?,Old newspapers,Plastic bottles,Glass,Metal,Old newspapers
Which waste can be used to make biogas?,Kitchen waste,Plastic,Metal,Glass,Kitchen waste
Which of the following is not biodegradable?,Plastic,Vegetable peels,Leaves,Paper,Plastic
Which of the following is biodegradable?,Vegetable peels,Plastic,Styrofoam,Metal,Vegetable peels
Which of the following causes air pollution?,Smoke,Leaves,Vegetable peels,Paper,Smoke
Which of the following reduces waste?,Segregation,Mixing,Dumping,Burning,Segregation
Which of the following is reusable material?,Glass jars,Plastic bags,Leaves,Food scraps,Glass jars
Which waste can be composted?,Kitchen waste,Plastic bottles,Glass,Metal,Kitchen waste
Which of the following is e-waste?,Old battery,Vegetable peels,Leaves,Paper,Old battery
Which of the following pollutes water?,Plastic,Leaves,Vegetable peels,Paper,Plastic
