Question,Answer
A fraction has two parts: numerator and __.,Denominator
In the fraction 3/4, 3 is called the __.,Numerator
In the fraction 3/4, 4 is called the __.,Denominator
A fraction with numerator smaller than denominator is called __.,Proper fraction
A fraction with numerator greater than denominator is called __.,Improper fraction
A fraction where numerator equals denominator is called __.,Unit fraction
1/2 + 1/2 = __.,1
1/4 + 1/4 = __.,1/2
1/3 + 1/3 = __.,2/3
1/5 + 2/5 = __.,3/5
The fraction 5/5 is equal to __.,1
A fraction with numerator 0 is equal to __.,0
The fraction 4/4 is equal to __.,1
1/2 – 1/4 = __.,1/4
2/3 – 1/3 = __.,1/3
1/2 × 2/3 = __.,1/3
2/3 × 3/4 = __.,1/2
1/2 ÷ 1/4 = __.,2
3/4 ÷ 3/4 = __.,1
Equivalent fraction of 1/2 with denominator 4 is __.,2/4
Equivalent fraction of 2/3 with denominator 9 is __.,6/9
Reduce 4/8 to its lowest terms: __.,1/2
Reduce 6/9 to its lowest terms: __.,2/3
Add 1/6 + 1/6 = __.,1/3
Add 1/4 + 1/2 = __.,3/4
Subtract 3/4 – 1/2 = __.,1/4
Multiply 2/5 × 3 = __.,6/5
Divide 3/4 ÷ 2 = __.,3/8
A fraction whose numerator is 1 is called __.,Unit fraction
The sum of 1/3 + 1/3 + 1/3 = __.,1
1/2 + 1/3 = __.,5/6
3/5 – 1/5 = __.,2/5
5/8 + 1/8 = __.,6/8
7/10 – 2/10 = __.,5/10
4/7 × 2 = __.,8/7
3/4 ÷ 3 = __.,1/4
The reciprocal of 2/3 is __.,3/2
The reciprocal of 5/6 is __.,6/5
1/2 + 1/4 + 1/4 = __.,1
1/3 + 2/3 = __.,1
2/5 + 1/5 = __.,3/5
4/6 – 1/6 = __.,3/6
3/8 + 1/8 = __.,4/8
1/5 + 3/5 = __.,4/5
2/7 + 3/7 = __.,5/7
6/10 – 2/10 = __.,4/10
5/12 + 1/12 = __.,6/12
2/9 + 4/9 = __.,6/9
7/8 – 3/8 = __.,4/8
3/10 × 2 = __.,6/10
4/5 ÷ 2 = __.,2/5
