Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The system that controls and coordinates body activities is:,Nervous system,Endocrine system,Both a and b,Digestive system,Both a and b
MCQ,2,The basic unit of nervous system is:,Brain,Spinal cord,Neuron,Synapse,Neuron
MCQ,3,A neuron consists of:,Cell body and dendrites,Cell body and axon,Cell body, dendrites and axon,Only cell body,Cell body, dendrites and axon
MCQ,4,The part of neuron that receives information is:,Axon,Dendrite,Cell body,Synapse,Dendrite
MCQ,5,The part of neuron that carries information away from cell body is:,Dendrite,Axon,Cell body,Synapse,Axon
MCQ,6,The gap between two neurons is called:,Synapse,Node,Myelin sheath,Ganglion,Synapse
MCQ,7,The main thinking part of brain is:,Cerebrum,Cerebellum,Medulla,Spinal cord,Cerebrum
MCQ,8,The part of brain that controls balance and posture is:,Cerebrum,Cerebellum,Medulla,Hypothalamus,Cerebellum
MCQ,9,The part of brain that controls involuntary actions is:,Cerebrum,Cerebellum,Medulla,Spinal cord,Medulla
MCQ,10,The number of pairs of cranial nerves in humans is:,10,12,24,31,12
MCQ,11,The number of pairs of spinal nerves in humans is:,10,12,24,31,31
MCQ,12,A quick automatic response to a stimulus is called:,Reflex action,Voluntary action,Thinking,Coordination,Reflex action
MCQ,13,The pathway of reflex action is called:,Reflex arc,Nerve pathway,Synapse,Neuron,Reflex arc
MCQ,14,The reflex arc involves:,Receptor,Sensory neuron,Spinal cord and motor neuron,All of the above,All of the above
MCQ,15,Reflex actions are controlled by:,Brain,Spinal cord,Both a and b,Muscles,Both a and b
MCQ,16,The chemical messengers secreted by endocrine glands are called:,Enzymes,Hormones,Neurotransmitters,Antibodies,Hormones
MCQ,17,Hormones are secreted directly into:,Blood,Urine,Saliva,Stomach,Blood
MCQ,18,The master endocrine gland is:,Thyroid,Pituitary,Pancreas,Adrenal,Pituitary
MCQ,19,The hormone that controls growth is:,Insulin,Thyroxine,Growth hormone,Adrenaline,Growth hormone
MCQ,20,The hormone secreted by pancreas is:,Insulin,Glucagon,Both a and b,Thyroxine,Both a and b
MCQ,21,Insulin is secreted by:,Pancreas,Liver,Kidney,Adrenal,Pancreas
MCQ,22,Insulin controls the level of:,Glucose in blood,Sodium in blood,Calcium in blood,Water in body,Glucose in blood
MCQ,23,Deficiency of insulin causes:,Diabetes,Goiter,Dwarfism,Gigantism,Diabetes
MCQ,24,The hormone secreted by thyroid gland is:,Insulin,Thyroxine,Adrenaline,Testosterone,Thyroxine
MCQ,25,Deficiency of thyroxine in children causes:,Diabetes,Cretinism,Goiter,Dwarfism,Cretinism
MCQ,26,The hormone secreted in emergency situations is:,Insulin,Thyroxine,Adrenaline,Testosterone,Adrenaline
MCQ,27,Adrenaline is secreted by:,Pancreas,Thyroid,Adrenal gland,Pituitary,Adrenal gland
MCQ,28,The male hormone is:,Estrogen,Progesterone,Testosterone,Insulin,Testosterone
MCQ,29,The female hormones are:,Testosterone and estrogen,Estrogen and progesterone,Insulin and glucagon,Thyroxine and adrenaline,Estrogen and progesterone
MCQ,30,The hormone that controls metamorphosis in insects is:,Growth hormone,Juvenile hormone,Ecdysone,Insulin,Ecdysone
MCQ,31,Plant hormones are also called:,Enzymes,Phytohormones,Neurotransmitters,Antibodies,Phytohormones
MCQ,32,The plant hormone that promotes growth is:,Auxin,Cytokinin,Both a and b,Abscisic acid,Both a and b
MCQ,33,The plant hormone that promotes cell division is:,Auxin,Cytokinin,Gibberellin,Abscisic acid,Cytokinin
MCQ,34,The plant hormone that inhibits growth is:,Auxin,Cytokinin,Gibberellin,Abscisic acid,Abscisic acid
MCQ,35,The plant hormone that causes ripening of fruits is:,Auxin,Ethylene,Gibberellin,Abscisic acid,Ethylene
MCQ,36,The movement of plant parts towards light is called:,Geotropism,Phototropism,Chemotropism,Thigmotropism,Phototropism
MCQ,37,The movement of plant parts in response to gravity is called:,Phototropism,Geotropism,Chemotropism,Thigmotropism,Geotropism
MCQ,38,The movement of plant parts in response to touch is called:,Phototropism,Geotropism,Thigmotropism,Chemotropism,Thigmotropism
MCQ,39,The movement of plant parts in response to chemicals is called:,Phototropism,Geotropism,Chemotropism,Thigmotropism,Chemotropism
MCQ,40,Tropic movements are:,Directional,Non-directional,Both,Neither,Directional
MCQ,41,Nastic movements are:,Directional,Non-directional,Both,Neither,Non-directional
MCQ,42,The closing of leaves in touch-me-not plant is an example of:,Tropic movement,Nastic movement,Phototropism,Geotropism,Nastic movement
MCQ,43,The response of roots to gravity is:,Positive geotropism,Negative geotropism,Positive phototropism,Negative phototropism,Positive geotropism
MCQ,44,The response of shoots to light is:,Positive phototropism,Negative phototropism,Positive geotropism,Negative geotropism,Positive phototropism
MCQ,45,The response of roots to light is:,Positive phototropism,Negative phototropism,Positive geotropism,Negative geotropism,Negative phototropism
MCQ,46,The number of main parts of brain is:,2,3,4,5,3
MCQ,47,The coordination in plants is controlled by:,Hormones,Nervous system,Both,Neither,Hormones
MCQ,48,The coordination in animals is controlled by:,Hormones,Nervous system,Both,Neither,Both
MCQ,49,The fastest way of information transfer in body is through:,Nervous system,Endocrine system,Blood circulation,Digestion,Nervous system
MCQ,50,The most prominent part of human brain is:,Cerebellum,Medulla,Cerebrum,Spinal cord,Cerebrum
Integer,1,The number of pairs of cranial nerves in humans is: _____.,12,,,,
Integer,2,The number of pairs of spinal nerves in humans is: _____.,31,,,,
Integer,3,The number of main parts of brain is: _____ (cerebrum, cerebellum, medulla - so 3).,3,,,,
Integer,4,The number of main types of plant hormones is approximately: _____ (auxin, cytokinin, gibberellin, abscisic acid, ethylene - so 5).,5,,,,
Integer,5,The number of main types of tropic movements is: _____ (phototropism, geotropism, chemotropism, thigmotropism, hydrotropism - so about 5).,5,,,,
Integer,6,The number of main parts of a neuron is: _____ (cell body, dendrites, axon - so 3).,3,,,,
Integer,7,The number of main parts of the nervous system is: _____ (central and peripheral - so 2).,2,,,,
Integer,8,The number of main types of neurons is: _____ (sensory, motor, interneuron - so 3).,3,,,,
Integer,9,The number of main endocrine glands in humans is approximately: _____ (pituitary, thyroid, pancreas, adrenal, gonads - so about 5-6 major ones).,6,,,,
Integer,10,The number of lobes in cerebrum is: _____ (frontal, parietal, temporal, occipital - so 4).,4,,,,
Integer,11,The number of main types of plant movements is: _____ (tropic and nastic - so 2).,2,,,,
Integer,12,In a reflex arc, the minimum number of neurons involved is: _____ (sensory and motor - so 2, but usually 3 with interneuron).,2,,,,
Integer,13,The number of main types of coordination in living organisms is: _____ (nervous and chemical/hormonal - so 2).,2,,,,
Integer,14,The number of ventricles in brain is: _____ (4 ventricles).,4,,,,
Integer,15,The number of main parts of spinal cord regions is: _____ (cervical, thoracic, lumbar, sacral, coccygeal - so 5).,5,,,,
Integer,16,The number of main functions of nervous system is: _____ (sensory, integrative, motor - so 3).,3,,,,
Integer,17,The number of main types of receptors is: _____ (photoreceptors, chemoreceptors, mechanoreceptors, thermoreceptors - so about 4-5).,5,,,,
Integer,18,The number of main parts of a reflex arc is: _____ (receptor, sensory neuron, spinal cord, motor neuron, effector - so 5).,5,,,,
Integer,19,The number of main hormones secreted by pituitary is approximately: _____ (growth hormone, TSH, ACTH, FSH, LH, prolactin, oxytocin, ADH - so about 8).,8,,,,
Integer,20,The number of main types of plant growth regulators is: _____ (auxin, cytokinin, gibberellin, abscisic acid, ethylene - so 5).,5,,,,
Integer,21,The number of main parts of endocrine system components is approximately: _____ (glands and hormones - but if counting major glands, about 6).,6,,,,
Integer,22,The number of main types of nervous systems is: _____ (central and peripheral - so 2).,2,,,,
Integer,23,The number of main components of central nervous system is: _____ (brain and spinal cord - so 2).,2,,,,
Integer,24,The number of main components of peripheral nervous system is: _____ (cranial nerves and spinal nerves - so 2).,2,,,,
