Question,Answer
Democracy is a government of the ______.,people
In democracy, leaders are chosen by ______.,election
Equality means all citizens are ______.,equal
Citizens have the right to ______.,vote
Democracy respects the ______ of all.,rights
Majority decides, but ______ are protected.,minorities
Freedom of ______ is important in democracy.,speech
Rule of ______ ensures fairness.,law
Government works for public ______.,welfare
Democracy encourages ______ participation.,citizen
People can express ______ in democracy.,opinions
Elected representatives form the ______.,government
Judiciary is independent to protect ______.,justice
Citizens have the right to ______.,information
Democracy allows peaceful ______.,protest
No one is above the ______.,law
Democracy is based on ______.,consent
Leaders can be removed by ______.,people
People have the right to ______ freely.,assemble
Minorities have ______ in a democracy.,protection
Democracy promotes social ______.,justice
Democracy ensures political ______.,freedom
Citizens pay ______ to fund government.,taxes
Media plays a role in spreading ______.,awareness
Democracy prevents ______ of power.,abuse
Elections are held at regular ______.,intervals
Government must work according to the ______.,Constitution
Citizens have the right to criticize ______.,government
Democracy requires ______ and tolerance.,respect
People can join ______ groups.,political
Voting is a ______ right.,fundamental
Democracy respects human ______.,rights
Transparency in government promotes ______.,trust
Democracy allows freedom of ______.,religion
Government must protect public ______.,property
Democracy encourages active ______.,participation
Democracy prevents arbitrary ______.,decisions
All citizens have equal ______ under law.,rights
Freedom of press is vital for ______.,democracy
Accountability ensures government ______.,responsibility
Corruption is against democratic ______.,principles
Democracy is based on consent and ______.,representation
People can suggest ______ to improve governance.,ideas
Citizens can question ______.,leaders
Rule of law means everyone follows ______.,laws
Elections are free and ______.,fair
Democracy promotes social ______.,equality
Citizens can form ______.,associations
Government serves the ______.,people
Rights come with ______.,responsibilities
Democracy respects diversity and ______.,pluralism
