Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Food security means?,Availability of food,Access to food,Affordability of food,All of these,All of these
MCQ,2,Which element ensures enough food for all?,Availability,Accessibility,Affordability,None,Availability
MCQ,3,Which element ensures people can buy food?,Availability,Accessibility,Affordability,None,Affordability
MCQ,4,Which element ensures food reaches people?,Availability,Accessibility,Affordability,None,Accessibility
MCQ,5,Which group is most food insecure?,Urban rich,Rural poor,Industrialists,None,Rural poor
MCQ,6,Which state has high food insecurity?,Punjab,Haryana,Bihar,Kerala,Bihar
MCQ,7,Which natural disaster causes food insecurity?,Earthquake,Drought,Cyclone,All,All
MCQ,8,Which crop failure affects food security?,Cash crop,Food crop,None,None,Food crop
MCQ,9,Which organisation maintains buffer stock?,FSSAI,FCI,RBI,None,FCI
MCQ,10,Buffer stock consists of?,Food grains,Vegetables,Milk,None,Food grains
MCQ,11,Which grains are stored as buffer stock?,Rice and wheat,Pulses,Fruits,None,Rice and wheat
MCQ,12,Which system distributes food grains?,PDS,MGNREGA,ICDS,None,PDS
MCQ,13,Full form of PDS?,Public Distribution System,Private Distribution System,Primary Distribution System,None,Public Distribution System
MCQ,14,Which shops sell rationed food?,Fair price shops,Markets,Malls,None,Fair price shops
MCQ,15,Who issues ration cards?,Banks,Government,FCI,None,Government
MCQ,16,Which card is for poorest?,APL,BPL,Antyodaya,None,Antyodaya
MCQ,17,Antyodaya Anna Yojana started in?,1997,2000,2005,None,2000
MCQ,18,Which programme targets poorest of poor?,APL,BPL,AAY,None,AAY
MCQ,19,Which programme provides food to children?,PDS,ICDS,MGNREGA,None,ICDS
MCQ,20,ICDS stands for?,Integrated Child Development Services,Indian Child Development Scheme,None,None,Integrated Child Development Services
MCQ,21,Which programme provides mid-day meals?,ICDS,Mid-Day Meal Scheme,PDS,None,Mid-Day Meal Scheme
MCQ,22,Which age group benefits from ICDS?,Children below 6 years,Adults,Elderly,None,Children below 6 years
MCQ,23,Which improves nutritional status?,Mid-Day Meal,PDS,None,None,Mid-Day Meal
MCQ,24,Which group suffers seasonal hunger?,Farm labourers,Industrial workers,None,None,Farm labourers
MCQ,25,Which hunger is long term?,Seasonal,Chronic,None,None,Chronic
MCQ,26,Which hunger occurs during off-season?,Seasonal,Chronic,None,None,Seasonal
MCQ,27,Which causes chronic hunger?,Low income,High income,None,None,Low income
MCQ,28,Which scheme provides subsidised food?,PDS,MGNREGA,None,None,PDS
MCQ,29,Which agency procures food grains?,FCI,RBI,None,None,FCI
MCQ,30,Which price is fixed for farmers?,Market price,Minimum Support Price,None,None,Minimum Support Price
MCQ,31,MSP announced by?,Government,FCI,RBI,None,Government
MCQ,32,Which helps during calamities?,Buffer stock,PDS,None,None,Buffer stock
MCQ,33,Which state improved food security?,Kerala,Bihar,None,None,Kerala
MCQ,34,Which crop ensures food security?,Wheat and rice,Cotton,None,None,Wheat and rice
MCQ,35,Which group is food secure?,Rich households,Landless labourers,None,None,Rich households
MCQ,36,Which problem affects PDS?,Leakage,Efficiency,None,None,Leakage
MCQ,37,Which ensures food to school children?,Mid-Day Meal,ICDS,None,None,Mid-Day Meal
MCQ,38,Which programme ensures nutrition for women?,ICDS,PDS,None,None,ICDS
MCQ,39,Which element fails during famine?,Availability,Accessibility,Affordability,All,All
MCQ,40,Which disaster causes famine?,Drought,Flood,None,None,Drought
MCQ,41,Which region faces food insecurity?,Tribal areas,Urban rich,None,None,Tribal areas
