Question,Answer
"Where was Kalpana Chawla born?","Karnal, Haryana"
"What was Kalpana's nationality?","Naturalized U.S. citizen"
"Who was Kalpana's husband?","Jean-Pierre Harrison"
"What was the profession of Kalpana’s husband?","Flight instructor"
"What degree did she get after her Bachelor of Science?","Master’s degree"
"In which country did she pursue her Master’s and Ph.D.?","United States"
"What was her Ph.D. subject?","Aerospace Engineering"
"When was she selected by NASA for training as an astronaut?","1994"
"What was the name of her first space shuttle?","Columbia"
"How long was her first space mission?","15 days, 16 hours, and 34 minutes"
"How many times did she orbit the Earth in her first mission?","252 times"
"How many crew members were on the Columbia STS-107 mission?","Seven"
"What was the date of the Columbia disaster?","February 1, 2003"
"Was Kalpana licensed to fly gliders?","Yes"
"What was her first job at NASA?","Research scientist"
"What did the crew perform in space?","Scientific experiments"
"Over which U.S. state did the shuttle lose contact?","Texas"
"At what altitude was the shuttle when contact was lost?","200,000 feet"
"How fast was the shuttle traveling when it disintegrated?","20,000 km per hour"
"What was the reaction in Karnal to the news of the disaster?","Thousands stayed glued to their TV sets"
"Did Kalpana’s father initially support her move to the U.S.?","No"
"What school did Kalpana attend in Karnal?","Tagore Baal Niketan"
"Which college in Chandigarh did she graduate from?","Punjab Engineering College"
"What was her Bachelor's degree in?","Aeronautical Engineering"
"How many kilometers did the crew travel in the first mission?","10.45 million kilometers"
"Was there an astronaut from Japan on the Columbia mission?","No"
"Was there an astronaut from Israel on the Columbia mission?","Yes"
"What was the mission number of the ill-fated shuttle?","STS-107"
"How many experiments did the crew conduct?","Eighty"
"What was the shuttle designed to carry?","A payload (scientific equipment)"
"What did Kalpana say about the path to success?","It exists"
"Was Columbia considered safe for 100 flights?","Yes"
"What was the tragic event called in the text?","An unprecedented space tragedy"
"Did Kalpana ever dream of crossing the frontiers of space?","She said she never dreamed of it as a child"
"What kind of citizen was she called?","A global citizen"
"What does NASA stand for?","National Aeronautics and Space Administration"
"Was she the first woman of Indian origin in space?","Yes"
"What time was contact lost with the shuttle?","9:00 AM"
"What did she send to students in Chandigarh?","A message from space"
"What did she encourage students to find?","Vision and courage"
"What was the 'shocker' in the story?","The news of the Columbia disaster"
"Was she a licensed pilot for seaplanes?","Yes"
"What was the atmosphere in the shuttle according to Kalpana?","Exciting and challenging"
"Did the crew come from different countries?","Yes"
"What happened to the shuttle during re-entry?","It broke apart/disintegrated"
"How many Indian girls were inspired by her?","Millions"
"What was the total travel distance of the second mission?","Not specified, but it ended in tragedy"
"Was she an aeronautical engineer?","Yes"
"What was the mood of the town of Karnal during the disaster?","Grief-stricken"
"What did Kalpana become to the people of India?","A heroine and role model"
