Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Who is the poet of the poem Dust of Snow?,Robert Frost,John Keats,William Wordsworth,Emily Dickinson,Robert Frost
MCQ,2,Dust of Snow is a,Story,Poem,Play,Essay,Poem
MCQ,3,What shook the dust of snow?,Wind,Crow,Sparrow,Child,Crow
MCQ,4,From which tree did the dust of snow fall?,Oak,Pine,Hemlock,Birch,Hemlock
MCQ,5,What bird is mentioned in the poem?,Peacock,Crow,Sparrow,Eagle,Crow
MCQ,6,The poet’s mood at the beginning was,Sad,Happy,Excited,Joyful,Sad
MCQ,7,What did the dust of snow do?,Spoiled the day,Changed the mood,Made him angry,Made him cry,Changed the mood
MCQ,8,What does dust of snow symbolize?,Death,Sorrow,Small joy,Nature’s beauty,Small joy
MCQ,9,Hemlock tree is usually associated with,Happiness,Beauty,Poison,Joy,Poison
MCQ,10,Crow is generally considered a symbol of,Bad omen,Good luck,Beauty,Peace,Bad omen
MCQ,11,How many stanzas are in the poem?,1,2,3,4,2
MCQ,12,The rhyme scheme of the poem is,ABAB,ABCB,AABB,AAAA,ABAB
MCQ,13,The poet saved some part of the day from,Waste,Joy,Anger,Pain,Waste
MCQ,14,The dust of snow represents,Big events,Small incidents,Nature’s cruelty,Storms,Small incidents
MCQ,15,The poem shows the power of,Nature,Money,People,Words,Nature
MCQ,16,The poem Dust of Snow is about,Loss,Depression,Hope,Nature changing mood,Hope
MCQ,17,What fell on the poet?,Leaves,Dust of snow,Rain,Hail,Dust of snow
MCQ,18,The poet’s mood changed due to,Nature,People,Time,Weather,Nature
MCQ,19,What kind of poem is Dust of Snow?,Narrative,Lyric,Sonnet,Ballad,Lyric
MCQ,20,The poet was initially in a,Cheerful mood,Bad mood,Neutral mood,Excited mood,Bad mood
MCQ,21,What does the crow’s action signify?,Bad luck,Good luck,Indifference,Nature’s intervention,Nature’s intervention
MCQ,22,The poem suggests that joy can come from,Big things,Small things,Money,Success,Small things
MCQ,23,Which element brings positivity?,Snow,Crow,Hemlock tree,Dust of snow,Dust of snow
MCQ,24,The poem highlights,A tragic event,A depressing incident,A small natural incident,A celebration,A small natural incident
MCQ,25,The tone of the poem is,Angry,Hopeful,Sarcastic,Sad,Hopeful
MCQ,26,What time of year is suggested?,Summer,Spring,Winter,Autumn,Winter
MCQ,27,The dust of snow fell because the crow,Sat on tree,Flew away,Shook tree,Slept,Shook tree
MCQ,28,What did the poet lose initially?,Time,Hope,Money,Friends,Hope
MCQ,29,The poet regained,Anger,Depression,Joy,Sadness,Joy
MCQ,30,The poem teaches that,A day can be wasted,Nature is cruel,Small things matter,Life is sad,Small things matter
