Question,Answer
Define a fraction and explain its parts.,A fraction represents a part of a whole and is written as a/b where a is the numerator and b is the denominator. The numerator shows the number of equal parts taken and the denominator shows the total number of equal parts.
Explain proper, improper and mixed fractions with examples.,A proper fraction has numerator smaller than denominator (3/5). An improper fraction has numerator greater than or equal to denominator (7/4). A mixed fraction is a whole number and a proper fraction together (1 3/4).
Explain how to represent fractions on a number line.,Divide the number line between two whole numbers into equal parts and mark the fraction according to the numerator. For example, 3/4 lies three parts from 0 between 0 and 1.
Explain equivalent fractions with examples.,Fractions that represent the same value are equivalent fractions. Example: 1/2 = 2/4 = 3/6.
Explain how to find equivalent fractions.,Multiply or divide the numerator and denominator by the same non-zero number to get equivalent fractions.
Explain simplification of fractions.,Simplification means reducing a fraction to its lowest form by dividing numerator and denominator by their HCF.
Explain how to compare two fractions with same denominator.,When denominators are same, the fraction with larger numerator is greater.
Explain how to compare two fractions with same numerator.,When numerators are same, the fraction with smaller denominator is greater.
Explain how to compare fractions with different denominators.,Make the denominators same using LCM and then compare numerators.
Explain addition of fractions with same denominators.,Add the numerators and keep the denominator same. Example: 2/7 + 3/7 = 5/7.
Explain addition of fractions with different denominators.,Find LCM of denominators, convert fractions to like fractions, then add numerators.
Explain subtraction of fractions with same denominators.,Subtract numerators and keep denominator same. Example: 5/9 − 2/9 = 3/9.
Explain subtraction of fractions with different denominators.,Make denominators same using LCM, then subtract numerators.
Explain multiplication of a fraction by a whole number.,Multiply the numerator by the whole number and keep denominator same. Example: 3 × 2/5 = 6/5.
Explain multiplication of two fractions.,Multiply numerators together and denominators together. Example: 2/3 × 3/4 = 6/12 = 1/2.
Explain division of a fraction by a whole number.,Multiply the fraction by the reciprocal of the whole number. Example: 2/3 ÷ 2 = 2/3 × 1/2 = 1/3.
Explain division of a fraction by another fraction.,Multiply the first fraction by the reciprocal of the second fraction.
Explain reciprocal of a fraction.,The reciprocal of a fraction a/b is b/a.
Explain how to convert improper fractions into mixed fractions.,Divide numerator by denominator; the quotient is the whole number and the remainder over denominator is the fraction.
Explain how to convert mixed fractions into improper fractions.,Multiply the whole number with denominator, add numerator, and write over the denominator.
Explain like and unlike fractions.,Like fractions have same denominators, unlike fractions have different denominators.
Explain the concept of fraction as part of a collection.,A fraction can represent part of a group. Example: 3 out of 10 students = 3/10.
Explain fractions in daily life with examples.,Examples include sharing pizza, measuring ingredients, and dividing money.
Explain why denominator cannot be zero.,Division by zero is not defined, so a fraction with denominator zero has no meaning.
Explain unit fractions with examples.,Unit fractions have numerator 1, such as 1/2, 1/3, 1/10.
Explain equivalent fractions using area models.,Shaded parts of different partitions represent same fraction value.
Explain comparison of fractions using cross multiplication.,Multiply numerator of one fraction with denominator of the other and compare products.
Explain proper fraction representation using diagrams.,A proper fraction shows less than one whole shaded part.
Explain improper fraction representation using diagrams.,An improper fraction shows more than one whole shaded.
Explain addition of mixed fractions.,Convert mixed fractions to improper fractions, add them, then convert back if needed.
Explain subtraction of mixed fractions.,Convert to improper fractions or borrow from whole part and subtract.
Explain multiplication of mixed fractions.,Convert mixed fractions to improper fractions before multiplying.
Explain division of mixed fractions.,Convert mixed fractions to improper fractions and multiply by reciprocal.
Explain how to find fraction of a number.,Multiply the number by the fraction. Example: 1/4 of 20 = 20 × 1/4 = 5.
Explain equivalent fractions using multiplication tables.,By multiplying numerator and denominator by same number from tables.
Explain the concept of HCF in simplifying fractions.,HCF of numerator and denominator is used to reduce fractions to simplest form.
Explain the importance of fractions in measurements.,Fractions help measure parts like half litre, quarter kg, etc.
Explain fraction as a division.,A fraction a/b represents a ÷ b.
Explain ordering of fractions.,Arrange fractions from smallest to largest by comparing their values.
Explain decimal representation of fractions.,Some fractions can be converted to decimals by dividing numerator by denominator.
Explain terminating decimals from fractions.,Fractions with denominators 2, 5, or their multiples give terminating decimals.
Explain non-terminating decimals from fractions.,Fractions with other denominators give non-terminating decimals.
Explain fractions greater than 1.,Fractions with numerator greater than denominator represent more than one whole.
Explain zero as a fraction.,Zero can be written as 0/a where a ≠ 0.
Explain one as a fraction.,One can be written as a/a where a ≠ 0.
Explain common mistakes students make in fractions.,Common mistakes include wrong LCM, not simplifying, and mixing numerators and denominators incorrectly.
Explain how fractions help in sharing equally.,Fractions divide quantities encourage fair sharing.
Explain solving word problems on fractions step by step.,Understand the problem, identify operation, convert to fractions, solve and simplify.
Explain how fractions are used in recipes.,Ingredients are measured in fractions like 1/2 cup or 3/4 spoon.
