Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Sound is produced due to?,Reflection,Vibration,Refraction,None,Vibration
MCQ,2,Sound needs which medium to travel?,Vacuum,Air,Any medium,None,Any medium
MCQ,3,Speed of sound is maximum in?,Air,Water,Solids,None,Solids
MCQ,4,Speed of sound in air is about?,150 m/s,330 m/s,500 m/s,1000 m/s,330 m/s
MCQ,5,SI unit of frequency is?,Hz,dB,m/s,s,Hz
MCQ,6,Pitch of sound depends on?,Amplitude,Frequency,Speed,None,Frequency
MCQ,7,Loudness of sound depends on?,Frequency,Amplitude,Speed,None,Amplitude
MCQ,8,Sound waves are?,Transverse,Longitudinal,Electromagnetic,None,Longitudinal
MCQ,9,Unit of loudness is?,Hz,dB,Watt,Joule,dB
MCQ,10,Which quantity determines shrillness?,Amplitude,Frequency,Wavelength,None,Frequency
MCQ,11,Time period is reciprocal of?,Speed,Wavelength,Frequency,None,Frequency
MCQ,12,SI unit of time period is?,Second,Hertz,m/s,None,Second
MCQ,13,Sound cannot travel in?,Solid,Liquid,Gas,Vacuum,Vacuum
MCQ,14,Human audible range is?,10–20000 Hz,20–20000 Hz,50–10000 Hz,None,20–20000 Hz
MCQ,15,Sound above 20 kHz is called?,Infrasonic,Audible,Ultrasonic,None,Ultrasonic
MCQ,16,Sound below 20 Hz is called?,Ultrasonic,Audible,Infrasonic,None,Infrasonic
MCQ,17,Unit of wavelength is?,Hz,m,s,m/s,m
MCQ,18,Relation between v, f and λ?,v=f/λ,v=fλ,v=λ/f,None,v=fλ
MCQ,19,Echo is due to?,Refraction,Reflection,Diffraction,None,Reflection
MCQ,20,Echo heard when distance >?,5 m,10 m,17 m,34 m,17 m
MCQ,21,SONAR works on principle of?,Refraction,Reflection,Diffraction,None,Reflection
MCQ,22,Sound energy travels in form of?,Particles,Heat,Waves,None,Waves
MCQ,23,Which has highest pitch?,Low frequency,High frequency,High amplitude,None,High frequency
MCQ,24,Which has highest loudness?,Low amplitude,High amplitude,High frequency,None,High amplitude
MCQ,25,Speed of sound depends on?,Medium,Temperature,Both,None,Both
MCQ,26,Sound travels fastest in?,Steel,Water,Air,None,Steel
MCQ,27,Noise is?,Pleasant sound,Unpleasant sound,Soft sound,None,Unpleasant sound
MCQ,28,Musical sound is?,Noise,Pleasant,Harsh,None,Pleasant
MCQ,29,Which animal hears ultrasonic sound?,Human,Dog,Elephant,None,Dog
MCQ,30,Bats use ultrasonic waves for?,Hearing,Navigation,Communication,None,Navigation
MCQ,31,Frequency of sound depends on?,Source,Medium,Distance,None,Source
MCQ,32,Amplitude of sound relates to?,Pitch,Loudness,Speed,None,Loudness
MCQ,33,Which wave does sound represent?,Transverse,Longitudinal,Electromagnetic,None,Longitudinal
MCQ,34,Sound wave consists of?,Crests and troughs,Compressions and rarefactions,Nodes,None,Compressions and rarefactions
MCQ,35,Unit of speed of sound?,m/s,Hz,m,N,m/s
MCQ,36,Which factor does not affect speed of sound?,Medium,Temperature,Amplitude,None,Amplitude
MCQ,37,Sound produced by vibrating tuning fork is?,Noise,Musical,Both,None,Musical
MCQ,38,Ultrasound is used in?,SONAR,Medical imaging,Both,None,Both
MCQ,39,Reflection of sound obeys?,Newton laws,Same laws as light,None,None,Same laws as light
MCQ,40,Which instrument measures frequency?,Thermometer,Stroboscope,Oscilloscope,None,Oscilloscope
MCQ,41,Time period T equals?,1/f,f,λ/v,None,1/f
MCQ,42,Greater wavelength means?,Lower frequency,Higher frequency,None,None,Lower frequency
MCQ,43,Sound energy is?,Mechanical,Electrical,Thermal,None,Mechanical
MCQ,44,Sound cannot travel in space because?,No medium,No vibration,None,None,No medium
