Question,Option A,Option B,Option C,Option D,Correct Answer
Who is the main character of the story?,The dog,The wolf,The lion,The man,The dog
What kind of life did the dog live at first?,Safe,Free and happy,Rich,Dangerous,Free and happy
What problem did the dog face?,Hunger,Fear of enemies,Cold,Loneliness,Fear of enemies
What did the dog decide to do?,Leave forest,Find a master,Build a house,Hide forever,Find a master
Whom did the dog choose as his first master?,Bear,Lion,Wolf,Man,Wolf
Why did the dog leave the wolf?,Wolf was weak,Wolf was hungry,Wolf feared the bear,Wolf ran away,Wolf feared the bear
Whom was the wolf afraid of?,Dog,Bear,Lion,Man,Bear
Who became the dog’s next master?,Lion,Bear,Man,Wolf,Bear
Why did the dog leave the bear?,Bear was old,Bear feared the lion,Bear was cruel,Bear was slow,Bear feared the lion
Who was the bear afraid of?,Wolf,Lion,Man,Dog,Lion
Who became the dog’s next master?,Wolf,Bear,Lion,Man,Lion
Why did the dog think the lion was the strongest?,He was fast,He was brave,He was king of forest,He was big,He was king of forest
Why did the dog leave the lion?,Lion was angry,Lion was weak,Lion feared man,Lion was lazy,Lion feared man
Whom was the lion afraid of?,Bear,Dog,Wolf,Man,Man
Who did the dog finally choose as master?,Wolf,Bear,Lion,Man,Man
Why did the dog choose man?,Man was kind,Man was rich,Man was strongest,Man was friendly,Man was strongest
What quality did the dog want in a master?,Kindness,Strength,Food,Friendship,Strength
What did the dog want most?,Freedom,Food,Safety,Power,Safety
Where did the dog live at the end?,Forest,Mountain,With man,Alone,With man
What kind of relationship developed?,Fear,Hatred,Friendship,Trust,Trust
What does the story explain?,Dog’s fear,Dog’s loyalty to man,Animal fights,Forest life,Dog’s loyalty to man
What lesson does the story teach?,Greed is bad,Strength is power,Be kind,Fear rules life,Strength is power
Which animal feared another stronger animal?,Dog,Wolf,Bear,Lion,All
What did the dog observe?,Animals fight,Animals fear stronger ones,Animals are cruel,Animals hide,Animals fear stronger ones
Why was the dog tired of freedom?,He was bored,He was hungry,He was unsafe,He was lonely,He was unsafe
What kind of master did the dog want?,Kindest,Richest,Strongest,Smartest,Strongest
What did the dog learn?,Kindness wins,Strength matters,Fear ends,Freedom is best,Strength matters
What made the dog loyal to man?,Love,Fear,Protection,Food,Protection
Which animal is called king of the jungle?,Bear,Wolf,Lion,Dog,Lion
Who stood at the top of the power chain?,Lion,Bear,Wolf,Man,Man
What quality made man superior?,Weapons,Size,Intelligence,Luck,Weapons
Why did animals fear man?,He shouted,He used weapons,He was cruel,He ran fast,He used weapons
The dog gave up freedom for?,Food,Shelter,Safety,Fun,Safety
Which animal did the dog follow the longest?,Wolf,Bear,Lion,Man,Man
What does the dog represent?,Freedom,Fearful nature,Power,Loyalty,Fearful nature
What does man represent?,Cruelty,Kindness,Ultimate power,Friendship,Ultimate power
The dog’s journey shows?,Search for food,Search for power,Search for safety,Search for friends,Search for safety
What happens to dog’s fear at the end?,Increases,Remains,Disappears,Changes,Disappears
Which animal was not afraid of anyone?,Wolf,Bear,Lion,Man,Man
What was the dog’s final decision?,To be free,To serve man,To return forest,To live alone,To serve man
What kind of story is this?,Fairy tale,Fable,Science fiction,Adventure,Fable
What human trait is shown?,Greed,Power,Intelligence,Kindness,Power
Why is the dog faithful to man?,Habit,Fear,Protection,Training,Protection
What does the story say about freedom?,Always best,Sometimes unsafe,Unimportant,Easy,Sometimes unsafe
What is the main theme of the story?,Friendship,Fear and power,Loyalty,Adventure,Fear and power
Which animal started the chain of fear?,Dog,Wolf,Bear,Lion,Wolf
What does the dog value more than freedom?,Food,Fun,Power,Safety,Safety
The story ends with dog living?,Alone,In forest,With man,With animals,With man
What does the story explain in real life?,Why dogs bark,Why dogs live with humans,Why dogs hunt,Why dogs fight,Why dogs live with humans
