Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer

MCQ,1,Palampur is an example of?,Town,City,Village,Metro,Village
MCQ,2,Main occupation of Palampur people?,Industry,Trade,Agriculture,Mining,Agriculture
MCQ,3,Which factor of production is most important in Palampur?,Capital,Land,Labour,Enterprise,Land
MCQ,4,What is multiple cropping?,Growing one crop,Growing two or more crops,Growing only cash crops,None,Growing two or more crops
MCQ,5,Which crop is grown in rainy season?,Wheat,Rice,Potato,Sugarcane,Rice
MCQ,6,Which crop is grown in winter season?,Rice,Wheat,Maize,Sugarcane,Wheat
MCQ,7,What enabled multiple cropping in Palampur?,Rainfall,Irrigation,Fertilizers,None,Irrigation
MCQ,8,Which is a fixed factor of production?,Labour,Capital,Land,Enterprise,Land
MCQ,9,Which is a working capital?,Land,Tools,Seeds,Machines,Seeds
MCQ,10,Which is an example of capital?,Land,Labour,Tools,Water,Tools
MCQ,11,Which animal is used in farming?,Camel,Elephant,Bullocks,Horse,Bullocks
MCQ,12,What type of farming is done in Palampur?,Subsistence,Commercial,Shifting,None,Commercial
MCQ,13,Which method increased farm production?,Multiple cropping,Single cropping,None,None,Multiple cropping
MCQ,14,Which non-farm activity exists in Palampur?,Fishing,Dairy,Mining,None,Dairy
MCQ,15,Which product is sold to nearby towns?,Milk,Grain,Vegetables,None,Milk
MCQ,16,Which factor provides physical effort?,Land,Labour,Capital,Enterprise,Labour
MCQ,17,Which factor organizes production?,Labour,Capital,Enterprise,Land,Enterprise
MCQ,18,What is HYV seeds?,Low yield seeds,High yield variety seeds,Natural seeds,None,High yield variety seeds
MCQ,19,Which input increases soil fertility?,Pesticides,Fertilizers,Water,None,Fertilizers
MCQ,20,Which season depends on monsoon?,Rabi,Kharif,Zaid,None,Kharif
MCQ,21,Which season wheat grown?,Kharif,Rabi,Zaid,None,Rabi
MCQ,22,Which crop is a cash crop?,Rice,Wheat,Sugarcane,Maize,Sugarcane
MCQ,23,Which activity provides regular income?,Farming,Dairy,Mining,None,Dairy
MCQ,24,What is surplus?,Less production,Extra production,No production,None,Extra production
