Question,Answer
What are natural phenomena?,Natural phenomena are events that occur naturally in the environment without human intervention, like rain, lightning, and earthquakes.
What is lightning?,Lightning is a sudden flash of light in the sky caused by the discharge of electricity during a storm.
What is thunder?,Thunder is the sound produced due to the rapid expansion of air caused by lightning.
What is rain?,Rain is water droplets that fall from clouds when they become heavy with water vapor.
What is a rainbow?,A rainbow is a multicolored arc seen in the sky when sunlight passes through raindrops and gets dispersed.
What causes earthquakes?,Earthquakes are caused by sudden movement of rocks in the Earth's crust along faults or tectonic plates.
What is a cyclone?,A cyclone is a strong storm with very high speed winds rotating around a low-pressure area.
What are clouds?,Clouds are collections of tiny water droplets or ice crystals suspended in the atmosphere.
What is snow?,Snow is frozen water droplets that fall from clouds as ice crystals in cold regions.
What is hail?,Hail is solid precipitation in the form of small balls or lumps of ice falling from thunderclouds.
What is dew?,Dew is water droplets that form on surfaces during the night due to condensation of water vapor.
What is fog?,Fog is a thick cloud of tiny water droplets close to the ground, reducing visibility.
What is frost?,Frost is a layer of ice formed on surfaces when the temperature drops below freezing and water vapor freezes.
What is evaporation?,Evaporation is the process by which water changes into vapor due to heat from the Sun.
What is condensation?,Condensation is the process by which water vapor changes back into liquid form.
What is the water cycle?,The water cycle is the continuous process of evaporation, condensation, precipitation, and collection of water on Earth.
What is a tornado?,A tornado is a violent rotating column of air extending from a thunderstorm to the ground.
What is a volcanic eruption?,A volcanic eruption occurs when magma, gases, and ash escape from a volcano.
What is a landslide?,A landslide is the sudden downward movement of soil, rocks, and debris on a slope due to rain, earthquakes, or erosion.
What are tides?,Tides are the rise and fall of sea levels caused by the gravitational pull of the Moon and Sun.
What are monsoons?,Monsoons are seasonal winds that bring heavy rainfall in certain regions.
What is a drought?,A drought is a prolonged period of low or no rainfall causing water shortage.
What is lightning safety?,During lightning, stay indoors, avoid open fields, tall trees, and metal objects to stay safe.
What is earthquake safety?,During an earthquake, take shelter under strong furniture, stay away from walls and windows, and avoid running outside.
What is a natural disaster?,A natural disaster is a sudden event like earthquake, flood, or cyclone that causes damage to life and property.
What is flood?,A flood is the overflow of water onto normally dry land due to heavy rainfall, river overflow, or cyclones.
What is erosion?,Erosion is the process of wearing away of soil and rocks by wind, water, or ice.
What is a landslide?,A landslide is the downward movement of soil and rocks on a slope, often triggered by rain or earthquakes.
What is the greenhouse effect?,The greenhouse effect is the warming of Earth’s atmosphere due to trapping of heat by greenhouse gases.
What is global warming?,Global warming is the gradual increase in Earth’s average temperature due to human activity and greenhouse gases.
What is climate?,Climate is the average weather conditions of a place over a long period.
What is weather?,Weather is the atmospheric condition at a place at a particular time including temperature, rainfall, and wind.
What is a rainbow formed by?,A rainbow is formed by refraction, dispersion, and reflection of sunlight in water droplets.
What is hailstorm?,A hailstorm is a storm in which hailstones fall from the sky causing damage to crops and property.
What is thunderstorm?,A thunderstorm is a storm with lightning, thunder, rain, and strong winds.
What is a cyclone warning?,A cyclone warning alerts people about approaching cyclones so they can take safety measures.
What are safety measures during floods?,Move to higher ground, avoid walking in floodwater, store drinking water, and follow government instructions.
What is a seismic wave?,Seismic waves are vibrations that travel through Earth’s crust during an earthquake.
What is an aftershock?,Aftershock is a smaller earthquake that follows the main shock of a major earthquake.
What is a volcanic lava?,Lava is molten rock that flows out of a volcano during an eruption.
What is volcanic ash?,Volcanic ash is tiny fragments of rock and glass ejected during a volcanic eruption.
What are protective measures during tornado?,Take shelter in a basement or interior room, stay away from windows, and protect head and neck.
What is frost formation?,Frost forms when water vapor in the air freezes on cold surfaces at night.
What is importance of studying natural phenomena?,Studying natural phenomena helps us understand Earth’s processes, prepare for disasters, and stay safe.
What is cyclone formation?,Cyclones form over warm oceans when low-pressure areas develop and winds rotate around them.
What is thunder?,Thunder is the sound caused by rapid heating and expansion of air due to lightning.
What is the role of sunlight in natural phenomena?,Sunlight causes evaporation, drives the water cycle, and influences weather patterns.
What is a monsoon rain?,Monsoon rain is heavy rainfall brought by seasonal winds in tropical regions.
What are protective measures during lightning?,Stay indoors, avoid tall objects, water, and metal; unplug electrical devices.
