Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Resources that can be replenished naturally are called,Non-renewable,Rare,Renewable,Exhaustible,Renewable
MCQ,2,Which of the following is a renewable resource?,Coal,Petroleum,Wind,Natural gas,Wind
MCQ,3,Which is a non-renewable resource?,Water,Forest,Coal,Sunlight,Coal
MCQ,4,Management of natural resources means,Overuse of resources,Conservation and sustainable use,Complete ban on use,Only government control,Conservation and sustainable use
MCQ,5,Which resource takes millions of years to form?,Water,Forest,Coal,Wind,Coal
MCQ,6,Sustainable development means,Using resources fully,Not using resources,Using resources wisely for future,Only economic growth,Using resources wisely for future
MCQ,7,Which gas is mainly responsible for global warming?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Carbon dioxide
MCQ,8,Which practice helps conserve forests?,Deforestation,Overgrazing,Afforestation,Mining,Afforestation
MCQ,9,Which source of energy is non-renewable?,Solar,Wind,Coal,Biogas,Coal
MCQ,10,Which source of energy is renewable?,Petroleum,Nuclear,Wind,Thermal,Wind
MCQ,11,Which resource is called fossil fuel?,Coal,Water,Forest,Air,Coal
MCQ,12,Which is a disadvantage of using fossil fuels?,Renewable,Never exhaust,Pollution,Clean energy,Pollution
MCQ,13,Which method conserves water?,Wastage,Overuse,Rainwater harvesting,Deforestation,Rainwater harvesting
MCQ,14,Which resource is affected by deforestation?,Air,Water,Forest,All of these,All of these
MCQ,15,Which movement focused on forest conservation?,Green Revolution,Chipko Movement,White Revolution,Blue Revolution,Chipko Movement
MCQ,16,Which country has largest forest cover?,India,Brazil,China,Russia,Russia
MCQ,17,Which practice leads to soil erosion?,Afforestation,Overgrazing,Terrace farming,Contour ploughing,Overgrazing
MCQ,18,Which method reduces soil erosion?,Overgrazing,Deforestation,Terrace farming,Mining,Terrace farming
MCQ,19,Which resource is common property?,Private land,House,Air,Car,Air
MCQ,20,Which energy source causes minimum pollution?,Coal,Petroleum,Solar,Nuclear,Solar
MCQ,21,Which of the following is an example of watershed management?,Dams,Afforestation,Contour bunding,All of these,All of these
MCQ,22,Which is an advantage of biogas?,Pollution,Non-renewable,Clean fuel,Expensive,Clean fuel
MCQ,23,Which resource management involves local people?,Centralised,Community based,Private,None,Community based
MCQ,24,Which resource is unlimited?,Coal,Petroleum,Sunlight,Forest,Sunlight
MCQ,25,Which sector uses maximum water?,Domestic,Industrial,Agriculture,Transport,Agriculture
MCQ,26,Which practice conserves biodiversity?,Deforestation,Poaching,Protected areas,Mining,Protected areas
MCQ,27,Which is NOT a renewable resource?,Wind,Water,Coal,Sunlight,Coal
MCQ,28,Which method helps recharge groundwater?,Canal irrigation,Rainwater harvesting,Overuse of wells,Mining,Rainwater harvesting
MCQ,29,Which is an example of public resource?,Private car,House,Air conditioner,Forest,Forest
