Question,Answer
The fibre obtained from the hair of sheep, goat and yak is called _______,,wool
Cotton fibres are obtained from the _______ of the cotton plant,,"bolls"
The process of removing seeds from cotton fibres is called _______,,ginning
The process of arranging fibres into a continuous strand is called _______,,spinning
The machine used for spinning fibres into yarn is called _______,,spinning wheel
The process of making fabric from yarn is called _______,,weaving
Knitting is done using _______ needles,,"knitting"
Silk fibre is obtained from the cocoon of _______,,silkworm
The rearing of silkworms for obtaining silk is called _______,,sericulture
The process of unwinding silk fibres from the cocoon is called _______,,reeling
The larva of silk moth is called _______,,caterpillar
Before becoming a pupa, the silkworm passes through the _______ stage,,"larva"
The fibre that keeps us warm in winter is _______,,wool
The animal fibre obtained from camel hair is called _______,,camel wool
The process of cleaning wool to remove dirt and grease is called _______,,scouring
The fibres obtained from plants are called _______ fibres,,"plant"
Cotton is mainly grown in _______ climates,,"warm"
The fibres obtained from animals are called _______ fibres,,"animal"
The machine used for weaving cloth is called a _______,,loom
The silk moth goes through _______ stages in its life cycle,,"four"
The raw silk is obtained from the _______ of the silkworm,,"cocoon"
The stage between larva and adult in silk moth is called _______,,pupa
Shearing is the process of _______,,cutting fleece
The fleece of sheep contains wool fibres and _______,,dirt and grease
The cotton fibre is a type of _______ fibre,,"natural"
The fabric obtained by interlacing two sets of yarn is called _______,,woven fabric
Silk is a _______ fibre,,"natural"
Synthetic fibres are also called _______ fibres,,"man-made"
The first step in the processing of cotton is _______,,harvesting
The spinning of yarn was earlier done using _______,,charkha
The fabric obtained by interlocking loops of yarn is called _______,,knitted fabric
The young one of silk moth feeds on _______,,mulberry leaves
The fibre that comes from flax plant is used to make _______,,linen
The hair of animals used to make wool is called _______,,fleece
The cocoon protects the _______ of the silkworm,,"pupa"
The fibre obtained from jute plant is used to make _______,,ropes and bags
The process of removing impurities from cotton is called _______,,cleaning
The silk thread is obtained from the _______ stage of silkworm,,"cocoon"
The natural fibre used to make gunny bags is _______,,jute
The transformation of larva into adult moth is called _______,,metamorphosis
The animal whose wool is used for making shawls in Kashmir is _______,,pashmina goat
The strong thread of silk is made by twisting many _______ together,,"fibres"
The cotton fibre is spun into _______,,yarn
The fabric that allows air to pass through easily is _______,,cotton
The wool obtained from Angora goat is called _______,,angora wool
The fibre that is shiny and smooth is _______,,silk
The wool obtained from sheep living in cold regions is _______,,thick wool
The method of obtaining silk from cocoon without breaking fibres is _______,,reeling
