Column A,Column B,Answer
HCF of 36 and 60,12,12
LCM of 6 and 8,24,24
Smallest prime number,2,2
Largest 2-digit prime number,97,97
Number divisible by both 2 and 3,6,6
Prime factorization of 72,2×2×2×3×3,2×2×2×3×3
Smallest composite number,4,4
HCF of 48, 64, 80,16,16
LCM of 12, 15, 20,60,60
Number divisible by 5 and 10,10,10
HCF of co-prime numbers,1,1
LCM of co-prime numbers,product of numbers,product of numbers
Divisibility rule for 9,sum of digits divisible by 9,sum of digits divisible by 9
Divisibility rule for 11,difference of sums of digits in odd and even places divisible by 11,difference of sums of digits in odd and even places divisible by 11
Prime factorization of 210,2×3×5×7,2×3×5×7
