Chapter,Question,Answer
Mensuration,Area is the space covered by a shape.,True
Mensuration,Perimeter is the total length around a shape.,True
Mensuration,The formula for area of rectangle is length × breadth.,True
Mensuration,The formula for perimeter of rectangle is 2 × (length + breadth).,True
Mensuration,The formula for area of square is side × side.,True
Mensuration,The formula for perimeter of square is 4 × side.,True
Mensuration,Area of triangle = 1/2 × base × height.,True
Mensuration,Perimeter of triangle = sum of all sides.,True
Mensuration,Area of circle = π × radius × radius.,True
Mensuration,Circumference of circle = 2 × π × radius.,True
Mensuration,Diameter of a circle = 2 × radius.,True
Mensuration,Rhombus area = 1/2 × product of diagonals.,True
Mensuration,Perimeter of rhombus = sum of all sides.,True
Mensuration,Area of parallelogram = base × height.,True
Mensuration,Perimeter of parallelogram = 2 × (sum of adjacent sides),True
Mensuration,Area of trapezium = 1/2 × (sum of parallel sides) × height.,True
Mensuration,Perimeter of trapezium = sum of all sides.,True
Mensuration,Surface area of cube = 6 × side².,True
Mensuration,Volume of cube = side³.,True
Mensuration,Surface area of cuboid = 2(lb + bh + hl),True
Mensuration,Volume of cuboid = l × b × h.,True
Mensuration,Volume of sphere = 4/3 × π × r³.,True
Mensuration,Surface area of sphere = 4 × π × r².,True
Mensuration,Volume of cylinder = π × r² × h.,True
Mensuration,Surface area of cylinder = 2 × π × r × (r + h),True
Mensuration,Volume of cone = 1/3 × π × r² × h.,True
Mensuration,Surface area of cone = π × r × (r + l),True
Mensuration,Perimeter and circumference are same for circle.,False
Mensuration,Area is measured in square units.,True
Mensuration,Volume is measured in cubic units.,True
Mensuration,Perimeter is measured in linear units.,True
Mensuration,Length and breadth are same for rectangle.,False
Mensuration,All sides of square are equal.,True
Mensuration,Height of parallelogram is perpendicular distance between base and opposite side.,True
Mensuration,Slant height is used in surface area of cone.,True
Mensuration,Base radius is used in volume of cone.,True
Mensuration,Curved surface area of cylinder = 2 × π × r × h.,True
Mensuration,Total surface area of cylinder = 2 × π × r × (r + h),True
Mensuration,Curved surface area of cone = π × r × l.,True
Mensuration,Total surface area of cone = π × r × (r + l),True
Mensuration,Diagonal of square = side × √2.,True
Mensuration,Diagonal of rectangle = √(l² + b²),True
Mensuration,Volume of rectangular prism = l × b × h.,True
Mensuration,Area of circle = 2 × π × r.,False
Mensuration,Circumference = π × d.,True
Mensuration,1 cm³ = 1 ml.,True
Mensuration,Surface area of cube includes all six faces.,True
Mensuration,Volume of cuboid is product of length, breadth, and height.,True
Mensuration,Area of parallelogram = base × side.,False
Mensuration,Volume of sphere = 4/3 × π × r².,False
Mensuration,Curved surface area of cylinder = 2 × π × r × h.,True
Mensuration,Volume of cone = 1/3 × base area × height.,True
Mensuration,Surface area of sphere = 4 × π × r².,True
