Column A,Column B,Answer
Proper fraction,Fraction with numerator smaller than denominator,Matching
Improper fraction,Fraction with numerator greater than denominator,Matching
Unit fraction,Fraction with numerator 1,Matching
Equivalent fractions,Fractions with same value,Matching
Numerator,Top number of a fraction,Matching
Denominator,Bottom number of a fraction,Matching
Like fractions,Fractions with same denominator,Matching
Unlike fractions,Fractions with different denominators,Matching
Half,1/2,Matching
One fourth,1/4,Matching
Three fourths,3/4,Matching
Whole,4/4,Matching
Simplest form,Fraction in lowest terms,Matching
Mixed fraction,Whole number and a fraction together,Matching
Part of a whole,Meaning of fraction,Matching
