Question,Answer
0 is the smallest whole number.,True
Whole numbers start from 1.,False
-1 is a whole number.,False
Every natural number is a whole number.,True
Every whole number is a natural number.,False
0 has no predecessor.,True
0 has a successor.,True
The successor of 99 is 100.,True
The predecessor of 1 is 0.,True
The predecessor of 0 is 1.,False
Whole numbers are closed under addition.,True
Whole numbers are closed under multiplication.,True
Whole numbers are closed under subtraction.,False
Whole numbers are closed under division.,False
0 is the additive identity for whole numbers.,True
1 is the multiplicative identity for whole numbers.,True
0 × any whole number = 0.,True
1 × any whole number = 1.,True
The sum of two whole numbers is always a whole number.,True
The difference of two whole numbers is always a whole number.,False
The product of two whole numbers is always a whole number.,True
The quotient of two whole numbers is always a whole number.,False
There are infinitely many whole numbers.,True
The successor of 1000 is 1001.,True
The predecessor of 500 is 499.,True
Zero is included in whole numbers.,True
Negative numbers are included in whole numbers.,False
(3 + 5) = (5 + 3) shows commutative property.,True
(2 + 3) + 4 = 2 + (3 + 4) shows associative property.,True
3 × (4 + 5) = 3×4 + 3×5 shows distributive property.,True
0 is the identity element for multiplication.,False
1 is the identity element for addition.,False
The sum of 0 and 25 is 25.,True
The product of 1 and 45 is 45.,True
The successor of 0 is 1.,True
The predecessor of 1 is 0.,True
The successor of a whole number is always a whole number.,True
The predecessor of every whole number is a whole number.,False
Whole numbers include fractions.,False
Whole numbers include decimal numbers.,False
The smallest natural number is 1.,True
The smallest whole number is 0.,True
If a is a whole number, then a + 0 = a.,True
If a is a whole number, then a × 1 = a.,True
0 is the multiplicative identity.,False
Whole numbers can be negative.,False
There are only finite whole numbers.,False
10 – 3 is a whole number.,True
3 – 10 is a whole number.,False
