Question,Answer
"The word 'slight' suggests the argument was over a minor issue.",True
"The phrase 'the afternoon turned black' is a metaphor for a bad mood.",True
"The brother's 'thump' on the back was an act of aggression.",False
"One 'thing' leading to another shows how small fights grow.",True
"The brother's admission 'I was in the wrong' was a peace offering.",True
"The poet's realization 'he was in the right' shows her forgiveness.",True
"The 'end of it' being 'strong' refers to the intensity of their anger.",True
"The poem suggests that the cause of the fight was forgotten quickly.",True
"The word 'thumped' conveys a sense of casual, sibling affection.",True
"The 'black' afternoon shows that the siblings' emotions affected their day.",True
"The brother's words 'we can't go on all night' show his common sense.",True
"The poet's memory of the quarrel's start is 'fuzzy' or unclear.",True
"The rhyme scheme of the poem helps create a rhythmic, song-like feel.",True
"The poem portrays the brother as a leader in making peace.",True
"The 'slight' start contrasts with the 'strong' end of the quarrel.",True
"The word 'along' in 'come along' means to follow him to another room.",False
"The poet's initial 'certainty' that he was wrong changed over time.",True
"The 'thump' was a physical signal that the talking was over.",True
"The poem captures a 'universal' experience of childhood.",True
"The brother was 'honest' about the need to stop fighting.",True
"The word 'turned' implies a sudden change in the atmosphere.",True
"The 'black' afternoon is a sensory detail describing their feelings.",True
"The siblings' relationship is 'mended' by the end of the poem.",True
"The poet's 'brother' is the one who initiates the physical contact.",True
"The phrase 'I knew he was wrong' shows the poet's stubbornness.",True
"The 'quarrel' is the central conflict of the poem.",True
"The 'resolution' (ending) of the poem is happy.",True
"The 'slight' beginning refers to a small 'thing'.",True
"The brother's 'thump' was 'friendly' in nature.",True
"The poet 'forgives' her brother at the end.",True
"The word 'right' at the end means the brother was correct about the fight.",False
"The 'black' afternoon indicates that they stopped playing.",True
"The poem uses 'simple' language to tell a 'complex' emotional story.",True
"The 'brother' is portrayed as 'practical'.",True
"The 'poet' is portrayed as 'reflective'.",True
"The 'fight' was 'circular' (started and ended with the brother).",True
"The word 'strong' describes the peak of their anger.",True
"The 'resolution' happened 'suddenly'.",True
"The 'brother's' voice was likely 'firm' but 'kind' at the end.",True
"The poet 'admits' her brother was right to end the fight.",True
"The 'quarrel' had 'momentum' (it kept going on its own).",True
"The 'thump' on the back is a 'symbol' of reconciliation.",True
"The 'black' afternoon is the 'climax' of their bad mood.",True
"The poet's 'memory' failed regarding the 'cause' of the fight.",True
"The 'brother' took the 'first step' toward peace.",True
"The 'fight' was 'temporary'.",True
"The 'siblings' have a 'strong' bond despite the fight.",True
"The poem is 'relatable' for anyone with siblings.",True
"The 'poet' ends the poem on a 'positive' note.",True
"The 'quarrel' was 'insignificant' in the long run.",True
