Type,Column A,Column B / Correct Match
Question,Jumman’s character arc,Selfish to just
Question,Algu’s strength,Moral courage
Question,Role of conscience,Guides justice
Question,Panchayat system,Grassroot democracy
Question,Symbol of aunt,Helpless elders
Question,Bullock case,Test of fairness
Question,Power of position,Tests character
Question,Impartial justice,Foundation of society
Question,Ethical dilemma,Friendship vs justice
Question,Jumman’s redemption,Fair judgment
Question,Justice concept,Above personal ties
Question,Social message,Protect the weak
Question,Leadership quality,Integrity
Question,Resolution of conflict,Truth prevails
Question,Central theme,Fair play
Answer,Jumman’s character arc,Selfish to just
