Question,Answer
"The word 'authoritative' means Miss Beam was bossy and mean.",False
"The 'homesick' feeling refers to children missing their families.",True
"On the 'Dumb Day', children must exercise their 'willpower'.",True
"The 'blind' girl found the 'Blind Day' to be a 'misfortune'.",False
"The 'helpers' are expected to be 'fairly' kind to the disabled.",True
"The word 'ghastly' is used to describe how the narrator felt seeing the children.",True
"Miss Beam's system was designed to create 'sympathy' for others.",True
"The 'blind' girl was relieved when the narrator described things correctly.",True
"The 'Lame Day' makes children realize how difficult it is to move.",True
"The narrator 'perceived' that the school was very special.",True
"The 'Dumb Day' is hard because you cannot use a bandage to stop talking.",True
"The word 'jolly' describes the children's general spirit despite the games.",True
"Miss Beam's 'kindly' nature made the narrator feel at ease.",True
"The 'blind' girl felt that 'Blind Day' was a 'frightful' experience.",True
"The narrator’s 'description' of the garden helped the girl 'see'.",True
"The phrase 'misfortune is not so bad' means life goes on.",True
"The 'helpers' are not allowed to talk to the blind children.",False
"The 'blind' girl was worried about being 'poked' by things.",True
"Miss Beam's school had a 'Deaf Day' where ears were plugged with cotton.",True
"The narrator felt 'ten times more thoughtful' after the visit.",True
"The 'cripple' day involved pretending to have no use of hands.",False
"The 'blind' girl asked if the 'dark' was always there.",False
"The narrator saw a girl with a 'bandaged' eye, not both.",False
"The 'garden' was a central place for the children to walk.",True
"Miss Beam's 'hair was beginning to turn white'.",True
"The 'blind' girl said that 'Blind Day' was 'worse' than 'Lame Day'.",True
"The 'Dumb Day' tests a child's 'self-control'.",True
"The narrator felt he had learned a great 'lesson' at the school.",True
"The word 'crutch' is a support used by a person with a leg injury.",True
"The 'blind' girl was surprised that the narrator could see.",False
"Miss Beam was 'prepared' for the narrator's questions.",True
"The 'blind' girl asked about the 'girl' coming down the path.",True
"The 'girl' coming down the path was Millie.",True
"Millie was wearing a pink blouse.",True
"The narrator described the 'hills' and 'trees' to the girl.",True
"The 'blind' girl said 'it's such a relief' when people describe things.",True
"The word 'thoughtfulness' is the core value of the school.",True
"The 'Dumb Day' is more of a mental challenge than a physical one.",True
"The 'helpers' are changed every day.",False
"The 'blind' girl thought the narrator was 'very kind'.",True
"The narrator's 'stay' was short but impactful.",True
"Miss Beam's 'figure' was described as 'plump'.",True
"The 'blind' girl felt 'safe' with the narrator.",True
"The narrator saw a girl with 'crutches' watching others play.",True
"The 'blind' girl found 'Blind Day' to be 'exciting'.",False
"The word 'perceive' means to understand or notice.",True
"The 'blind' girl asked if the narrator was 'seeing' everything.",True
"The school used 'games' to teach 'morals'.",True
"The narrator 'relished' the chance to walk with the girl.",True
"Miss Beam's 'school' was 'different' because of its empathy training.",True
