Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,Resources are defined as anything that has,Utility,Price,Weight,Colour,Utility
MCQ,2,Which of the following is a natural resource?,Roads,Buildings,Water,Machines,Water
MCQ,3,Resources which are found in nature are called,Human-made,Biotic,Abiotic,Natural,Natural
MCQ,4,Which resource is formed from living organisms?,Abiotic,Biotic,Human-made,Potential,Biotic
MCQ,5,Coal and petroleum are examples of,Renewable,Flow,Non-renewable,Biotic,Non-renewable
MCQ,6,Which resource can be replenished?,Coal,Petroleum,Solar energy,Minerals,Solar energy
MCQ,7,Which of the following is a human-made resource?,Soil,Water,Technology,Forests,Technology
MCQ,8,Resources that are known but not used are called,Stock,Developed,Potential,Reserves,Potential
MCQ,9,Which of the following is a developed resource?,Wind energy in Rajasthan,Coal in use,Water in rivers,Unused land,Coal in use
MCQ,10,Which resource is owned by individuals?,Community resource,National resource,International resource,Private resource,Private resource
MCQ,11,Village ponds are examples of,Private resources,Community resources,National resources,International resources,Community resources
MCQ,12,Roads and railways are,Private resources,Community resources,National resources,International resources,National resources
MCQ,13,Oceans beyond 200 km are,National resources,Private resources,International resources,Community resources,International resources
MCQ,14,Which resource depends on technology?,Natural resource,Human-made resource,Biotic resource,Abiotic resource,Human-made resource
MCQ,15,Which factor does NOT affect resource development?,Technology,Human skills,Climate,Superstition,Superstition
MCQ,16,Sustainable development means,Fast development,Balanced development,Development without harming future needs,Only economic growth,Development without harming future needs
MCQ,17,Overuse of resources leads to,Conservation,Development,Degradation,Equality,Degradation
MCQ,18,Which resource is essential for life?,Iron,Gold,Water,Coal,Water
MCQ,19,Land is a,Renewable resource,Non-renewable resource,Human-made resource,Flow resource,Renewable resource
MCQ,20,Which land use category includes forests?,Net sown area,Fallow land,Forest land,Wasteland,Forest land
MCQ,21,Which land is left uncultivated for more than 5 years?,Current fallow,Fallow land,Wasteland,Barren land,Fallow land
MCQ,22,Which land is permanently uncultivable?,Net sown area,Fallow land,Barren land,Pasture,Barren land
MCQ,23,Which land use category has the highest share in India?,Forest land,Net sown area,Fallow land,Wasteland,Net sown area
MCQ,24,Soil is formed by,Weathering,Erosion,Deposition,Leaching,Weathering
MCQ,25,Which soil is ideal for cotton?,Alluvial soil,Red soil,Black soil,Laterite soil,Black soil
MCQ,26,Which soil is rich in humus?,Alluvial soil,Red soil,Black soil,Forest soil,Forest soil
MCQ,27,Which soil is formed by deposition of rivers?,Alluvial soil,Laterite soil,Red soil,Arid soil,Alluvial soil
MCQ,28,Soil erosion is caused by,Afforestation,Overgrazing,Conservation,Farming,Overgrazing
MCQ,29,Which method prevents soil erosion?,Deforestation,Overgrazing,Contour ploughing,Mining,Contour ploughing
MCQ,30,Strip cropping is used to,Increase erosion,Prevent erosion,Destroy soil,Reduce fertility,Prevent erosion
MCQ,31,Resources should be used judiciously to avoid,Development,Conservation,Exhaustion,Growth,Exhaustion
