Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The atomic number of carbon is:,4,6,8,12,6
MCQ,2,The number of valence electrons in carbon is:,2,4,6,8,4
MCQ,3,Carbon forms covalent bonds because:,It can gain 4 electrons,It can lose 4 electrons,It can share 4 electrons,It has 4 protons,It can share 4 electrons
MCQ,4,The type of bond formed by sharing of electrons is called:,Ionic bond,Covalent bond,Metallic bond,Hydrogen bond,Covalent bond
MCQ,5,The formula of methane is:,CH₄,C₂H₆,C₃H₈,C₄H₁₀,CH₄
MCQ,6,The formula of ethane is:,CH₄,C₂H₆,C₃H₈,C₄H₁₀,C₂H₆
MCQ,7,The formula of propane is:,CH₄,C₂H₆,C₃H₈,C₄H₁₀,C₃H₈
MCQ,8,The formula of butane is:,CH₄,C₂H₆,C₃H₈,C₄H₁₀,C₄H₁₀
MCQ,9,Compounds with only single bonds between carbon atoms are called:,Unsaturated compounds,Saturated compounds,Alkynes,Alkenes,Saturated compounds
MCQ,10,Compounds with double or triple bonds between carbon atoms are called:,Saturated compounds,Unsaturated compounds,Alkanes,Alkanes,Unsaturated compounds
MCQ,11,The general formula of alkanes is:,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,CₙH₂ₙ₊₂
MCQ,12,The general formula of alkenes is:,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,CₙH₂ₙ
MCQ,13,The general formula of alkynes is:,CₙH₂ₙ,CₙH₂ₙ₊₂,CₙH₂ₙ₋₂,CₙHₙ,CₙH₂ₙ₋₂
MCQ,14,The formula of ethene is:,C₂H₄,C₂H₆,C₃H₆,C₃H₈,C₂H₄
MCQ,15,The formula of ethyne is:,C₂H₄,C₂H₆,C₂H₂,C₃H₄,C₂H₂
MCQ,16,The functional group of alcohols is:,-OH,-CHO,-COOH,-CO-,-OH
MCQ,17,The functional group of aldehydes is:,-OH,-CHO,-COOH,-CO-,-CHO
MCQ,18,The functional group of carboxylic acids is:,-OH,-CHO,-COOH,-CO-,-COOH
MCQ,19,The functional group of ketones is:,-OH,-CHO,-COOH,-CO-,-CO-
MCQ,20,The formula of methanol is:,CH₃OH,C₂H₅OH,C₃H₇OH,C₄H₉OH,CH₃OH
MCQ,21,The formula of ethanol is:,CH₃OH,C₂H₅OH,C₃H₇OH,C₄H₉OH,C₂H₅OH
MCQ,22,The formula of methanoic acid is:,HCOOH,CH₃COOH,C₂H₅COOH,C₃H₇COOH,HCOOH
MCQ,23,The formula of ethanoic acid is:,HCOOH,CH₃COOH,C₂H₅COOH,C₃H₇COOH,CH₃COOH
MCQ,24,The formula of formaldehyde is:,HCHO,CH₃CHO,C₂H₅CHO,C₃H₇CHO,HCHO
MCQ,25,The formula of acetaldehyde is:,HCHO,CH₃CHO,C₂H₅CHO,C₃H₇CHO,CH₃CHO
MCQ,26,When ethanol reacts with sodium, the gas evolved is:,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Hydrogen
MCQ,27,When ethanol is heated with concentrated H₂SO₄ at 443 K, the product is:,Ethane,Ethene,Ethyne,Methane,Ethene
MCQ,28,When ethanol is heated with concentrated H₂SO₄ at 413 K, the product is:,Diethyl ether,Ethane,Ethene,Ethyne,Diethyl ether
MCQ,29,The reaction of ethanol with ethanoic acid in presence of concentrated H₂SO₄ is called:,Esterification,Saponification,Fermentation,Hydrogenation,Esterification
MCQ,30,The product of esterification of ethanol and ethanoic acid is:,Ethyl ethanoate,Ethyl acetate,Both a and b,Ethyl alcohol,Both a and b
MCQ,31,Soap is formed by the reaction of:,Acid and base,Alcohol and acid,Oil/fat and NaOH,Alcohol and base,Oil/fat and NaOH
MCQ,32,The process of formation of soap is called:,Esterification,Saponification,Fermentation,Hydrogenation,Saponification
MCQ,33,Detergents are:,Soaps,Synthetic cleaning agents,Salts,Acids,Synthetic cleaning agents
MCQ,34,The number of carbon atoms in pentane is:,3,4,5,6,5
MCQ,35,The number of carbon atoms in hexane is:,4,5,6,7,6
MCQ,36,In a saturated hydrocarbon, all bonds are:,Single bonds,Double bonds,Triple bonds,Mixed bonds,Single bonds
MCQ,37,In an unsaturated hydrocarbon, there are:,Only single bonds,Double or triple bonds,Only triple bonds,Only double bonds,Double or triple bonds
MCQ,38,The addition of hydrogen to unsaturated compounds is called:,Hydrogenation,Oxidation,Reduction,Both a and c,Both a and c
MCQ,39,The catalyst used in hydrogenation is:,Iron,Nickel,Platinum,Palladium,Nickel
MCQ,40,The process of conversion of sugar to alcohol is called:,Esterification,Saponification,Fermentation,Hydrogenation,Fermentation
MCQ,41,The functional group present in alcohols is:,Hydroxyl group,Carboxyl group,Aldehyde group,Ketone group,Hydroxyl group
MCQ,42,The functional group present in carboxylic acids is:,Hydroxyl group,Carboxyl group,Aldehyde group,Ketone group,Carboxyl group
MCQ,43,The IUPAC name of CH₃OH is:,Methanol,Methyl alcohol,Wood alcohol,All of the above,All of the above
MCQ,44,The IUPAC name of CH₃COOH is:,Acetic acid,Ethanoic acid,Both a and b,Methanoic acid,Both a and b
MCQ,45,The IUPAC name of C₂H₅OH is:,Ethanol,Ethyl alcohol,Both a and b,Propanol,Both a and b
MCQ,46,The number of covalent bonds in methane is:,2,3,4,5,4
MCQ,47,The number of covalent bonds in ethane is:,5,6,7,8,7
MCQ,48,The formula of benzene is:,C₆H₆,C₆H₁₂,C₆H₁₄,C₇H₈,C₆H₆
MCQ,49,When ethanol burns in air, it produces:,CO₂ and H₂O,CO and H₂O,CO₂ only,H₂O only,CO₂ and H₂O
MCQ,50,The suffix used for alkanes is:,-ane,-ene,-yne,-ol,-ane
Integer,1,The atomic number of carbon is: _____.,6,,,,
Integer,2,The number of valence electrons in carbon is: _____.,4,,,,
Integer,3,The number of carbon atoms in methane is: _____.,1,,,,
Integer,4,The number of carbon atoms in ethane is: _____.,2,,,,
Integer,5,The number of carbon atoms in propane is: _____.,3,,,,
Integer,6,The number of carbon atoms in butane is: _____.,4,,,,
Integer,7,The number of carbon atoms in pentane is: _____.,5,,,,
Integer,8,The number of carbon atoms in hexane is: _____.,6,,,,
Integer,9,The number of hydrogen atoms in methane (CH₄) is: _____.,4,,,,
Integer,10,The number of hydrogen atoms in ethane (C₂H₆) is: _____.,6,,,,
Integer,11,The number of hydrogen atoms in propane (C₃H₈) is: _____.,8,,,,
Integer,12,The number of covalent bonds in methane (CH₄) is: _____ (4 single bonds).,4,,,,
Integer,13,The number of covalent bonds in ethane (C₂H₆) is: _____ (7 bonds: 1 C-C + 6 C-H).,7,,,,
Integer,14,The number of carbon atoms in ethene (C₂H₄) is: _____.,2,,,,
Integer,15,The number of carbon atoms in ethyne (C₂H₂) is: _____.,2,,,,
Integer,16,The number of hydrogen atoms in ethene (C₂H₄) is: _____.,4,,,,
Integer,17,The number of hydrogen atoms in ethyne (C₂H₂) is: _____.,2,,,,
Integer,18,In alkanes, general formula is CₙH₂ₙ₊₂. For n=1, number of H atoms is: _____ (2×1+2=4).,4,,,,
Integer,19,In alkanes, for n=2, number of H atoms is: _____ (2×2+2=6).,6,,,,
Integer,20,In alkenes, general formula is CₙH₂ₙ. For n=2, number of H atoms is: _____ (2×2=4).,4,,,,
Integer,21,In alkynes, general formula is CₙH₂ₙ₋₂. For n=2, number of H atoms is: _____ (2×2-2=2).,2,,,,
Integer,22,The number of carbon atoms in methanol (CH₃OH) is: _____.,1,,,,
Integer,23,The number of carbon atoms in ethanol (C₂H₅OH) is: _____.,2,,,,
