Question,Answer
Patrick avoided homework because he was very ________.,lazy
The elf was caught when Patrick saved him from a ________.,cat
The elf wore a tiny shirt and a ________ cap.,woollen
The elf promised Patrick to grant ________ wishes.,three
Patrick’s first wish was that the elf should do all his ________.,homework
The elf often cried that the work was too ________.,difficult
The elf was weak in subjects like Maths and ________.,English
Patrick had to guide the elf in reading and ________.,writing
The elf made Patrick bring reference ________.,books
Patrick worked day and ________ to help the elf.,night
Patrick stopped playing games and became more ________.,serious
The elf always complained about being ________.,tired
Patrick improved his spelling by constant ________.,practice
Patrick helped the elf solve Maths ________.,problems
Patrick started completing homework on ________.,time
Patrick’s marks improved because of his ________.,effort
Patrick’s teachers were surprised by his ________.,progress
Patrick’s parents were shocked at his academic ________.,change
The elf disappeared after Patrick’s ________.,exams
Patrick realised that there was no real ________.,magic
Patrick himself had done all the ________.,work
Patrick learnt the importance of ________.,self-help
Patrick became independent and ________.,confident
The elf depended completely on Patrick’s ________.,help
Patrick stayed up late studying for many ________.,weeks
Patrick stopped making excuses and accepted ________.,responsibility
The story teaches us that hard work leads to ________.,success
Patrick learnt grammar rules by repeatedly ________.,studying
The elf wanted answers written neatly and ________.,correctly
Patrick managed both school and ________.,homework
Patrick became a favourite student of his ________.,teachers
The elf shouted whenever Patrick made a ________.,mistake
Patrick’s handwriting improved with daily ________.,practice
Patrick gained knowledge in every ________.,subject
The elf could not work without Patrick’s ________.,guidance
Patrick learned to manage his ________.,time
Patrick became proud of his academic ________.,achievement
The story highlights the value of ________.,education
Patrick no longer depended on ________.,shortcuts
The elf symbolised Patrick’s inner ________.,conscience
Patrick transformed from careless to ________.,responsible
Patrick earned praise because of his ________.,dedication
Patrick discovered that learning requires ________.,discipline
The elf vanished once Patrick became ________.,self-reliant
Patrick’s success proved that effort is the real ________.,magic
Patrick’s attitude towards studies completely ________.,changed
The story ends with Patrick becoming a ________.,scholar
