Type,Column A,Column B / Correct Match
Question,Narrator,A young boy
Question,Banyan tree,Huge old tree
Question,Grandfather,Lived in Dehra
Question,Banyan tree roots,Hang downwards
Question,Tree house,Built on branches
Question,Snakes,Lived in tree
Question,Python,Large snake
Question,Mongoose,Enemy of snake
Question,Jungle,friends,Animals and birds
Question,Peepul tree,Near banyan tree
Question,Ground under tree,Cool and shady
Question,Banyan tree age,Very old
Question,Nature,Peaceful
Question,Story setting,Grandfather’s house
Question,Theme,Love for nature
