Statement,Answer
A point has no length, width, or thickness.,True
A line has two dimensions.,False
A plane has two dimensions.,True
A line segment has infinite length.,False
A ray has one endpoint and extends infinitely in one direction.,True
Two lines that intersect at a point are called parallel lines.,False
Two lines that never meet are called parallel lines.,True
The sum of angles in a triangle is 180°,True
A right angle measures 90°,True
An acute angle measures more than 90°,False
An obtuse angle measures more than 90°,True
A straight angle measures 90°,False
A reflex angle measures more than 180°,True
Two angles whose sum is 90° are called supplementary angles.,False
Two angles whose sum is 180° are called supplementary angles.,True
The diameter of a circle is twice the radius.,True
A chord passes through the center of a circle.,False
A tangent touches a circle at exactly one point.,True
Two diameters of a circle can intersect.,True
A polygon must have at least three sides.,True
A quadrilateral has three sides.,False
A pentagon has five sides.,True
A hexagon has seven sides.,False
A regular polygon has all sides and angles equal.,True
An irregular polygon has all sides equal.,False
A square has all sides equal and all angles 90°,True
A rectangle has diagonals that are unequal.,False
Diagonals of a rhombus bisect each other at right angles.,True
Diagonals of a rectangle bisect each other at 90°,False
A trapezium has one pair of parallel sides.,True
The sum of interior angles of a quadrilateral is 360°,True
The sum of exterior angles of any polygon is 360°,True
The side opposite the right angle in a right triangle is called base.,False
The sum of lengths of any two sides of a triangle is greater than the third side.,True
An equilateral triangle has one side longer than others.,False
An isosceles triangle has two equal sides.,True
A scalene triangle has all sides unequal.,True
An acute triangle has one angle greater than 90°,False
An obtuse triangle has one angle greater than 90°,True
A secant intersects a circle at one point.,False
A tangent is perpendicular to the radius at the point of contact.,True
Concentric circles have the same center.,True
Non-concentric circles have the same center.,False
The diagonals of a square are equal and bisect each other at 90°,True
The sum of angles in a pentagon is 540°,True
The sum of angles in a hexagon is 720°,True
A line joining the midpoints of two sides of a triangle is parallel to the third side.,True
A line joining the midpoints of two sides of a triangle is called the median.,False
The perimeter of a polygon is the sum of its sides.,True
The circumference of a circle is πr².,False
The area of a triangle is 1/2 × base × height.,True
