Question_Type,Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Answer
MCQ,1,The pH of a solution is a measure of:,Acidity,Basicity,Both acidity and basicity,Concentration,Both acidity and basicity
MCQ,2,The pH scale ranges from:,0 to 7,7 to 14,0 to 14,1 to 14,0 to 14
MCQ,3,A solution with pH less than 7 is:,Acidic,Basic,Neutral,Alkaline,Acidic
MCQ,4,A solution with pH greater than 7 is:,Acidic,Basic,Neutral,Both basic and neutral,Basic
MCQ,5,A solution with pH equal to 7 is:,Acidic,Basic,Neutral,Alkaline,Neutral
MCQ,6,The pH of pure water is:,0,7,14,1,7
MCQ,7,Acids turn blue litmus paper:,Blue,Red,Green,Yellow,Red
MCQ,8,Bases turn red litmus paper:,Red,Blue,Green,Yellow,Blue
MCQ,9,The chemical formula of hydrochloric acid is:,HCl,H₂SO₄,HNO₃,CH₃COOH,HCl
MCQ,10,The chemical formula of sulphuric acid is:,HCl,H₂SO₄,HNO₃,CH₃COOH,H₂SO₄
MCQ,11,The chemical formula of nitric acid is:,HCl,H₂SO₄,HNO₃,CH₃COOH,HNO₃
MCQ,12,The chemical formula of acetic acid is:,HCl,H₂SO₄,HNO₃,CH₃COOH,CH₃COOH
MCQ,13,The chemical formula of sodium hydroxide is:,NaOH,KOH,Ca(OH)₂,Mg(OH)₂,NaOH
MCQ,14,The chemical formula of calcium hydroxide is:,NaOH,KOH,Ca(OH)₂,Mg(OH)₂,Ca(OH)₂
MCQ,15,The chemical formula of magnesium hydroxide is:,NaOH,KOH,Ca(OH)₂,Mg(OH)₂,Mg(OH)₂
MCQ,16,When an acid reacts with a base, the products are:,Salt and water,Salt and hydrogen,Salt and oxygen,Salt and carbon dioxide,Salt and water
MCQ,17,The reaction between an acid and a base is called:,Oxidation,Reduction,Neutralization,Displacement,Neutralization
MCQ,18,When an acid reacts with a metal, the gas evolved is:,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Hydrogen
MCQ,19,When an acid reacts with a metal carbonate, the gas evolved is:,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,Carbon dioxide
MCQ,20,The pH of gastric juice is approximately:,1-2,5-6,7,8-9,1-2
MCQ,21,The pH of soap solution is approximately:,1-2,5-6,7,8-9,8-9
MCQ,22,The pH of lemon juice is approximately:,1-2,5-6,7,8-9,1-2
MCQ,23,The pH of milk of magnesia is approximately:,1-2,5-6,7,10-11,10-11
MCQ,24,Universal indicator is a mixture of:,Acids,Bases,Several indicators,Salts,Several indicators
MCQ,25,Phenolphthalein is pink in:,Acid,Base,Neutral solution,All solutions,Base
MCQ,26,Methyl orange is red in:,Acid,Base,Neutral solution,All solutions,Acid
MCQ,27,Methyl orange is yellow in:,Acid,Base,Neutral solution,All solutions,Base
MCQ,28,The salt formed when sodium hydroxide reacts with hydrochloric acid is:,Sodium chloride,Sodium sulphate,Sodium nitrate,Sodium carbonate,Sodium chloride
MCQ,29,The salt formed when sodium hydroxide reacts with sulphuric acid is:,Sodium chloride,Sodium sulphate,Sodium nitrate,Sodium carbonate,Sodium sulphate
MCQ,30,The salt formed when sodium hydroxide reacts with nitric acid is:,Sodium chloride,Sodium sulphate,Sodium nitrate,Sodium carbonate,Sodium nitrate
MCQ,31,The pH of a strong acid is:,Close to 0,Close to 7,Close to 14,Exactly 7,Close to 0
MCQ,32,The pH of a strong base is:,Close to 0,Close to 7,Close to 14,Exactly 7,Close to 14
MCQ,33,Baking soda is:,Sodium carbonate,Sodium bicarbonate,Sodium chloride,Sodium hydroxide,Sodium bicarbonate
MCQ,34,Washing soda is:,Sodium carbonate,Sodium bicarbonate,Sodium chloride,Sodium hydroxide,Sodium carbonate
MCQ,35,Plaster of Paris is:,CaSO₄·2H₂O,CaSO₄·½H₂O,CaCO₃,Ca(OH)₂,CaSO₄·½H₂O
MCQ,36,Gypsum is:,CaSO₄·2H₂O,CaSO₄·½H₂O,CaCO₃,Ca(OH)₂,CaSO₄·2H₂O
MCQ,37,Bleaching powder is:,CaOCl₂,CaCl₂,CaCO₃,Ca(OH)₂,CaOCl₂
MCQ,38,The chemical formula of baking soda is:,Na₂CO₃,NaHCO₃,NaCl,NaOH,NaHCO₃
MCQ,39,The chemical formula of washing soda is:,Na₂CO₃,NaHCO₃,NaCl,NaOH,Na₂CO₃
MCQ,40,When acid reacts with metal, salt and hydrogen are formed. This is an example of:,Combination reaction,Displacement reaction,Double displacement reaction,Decomposition reaction,Displacement reaction
MCQ,41,The process of formation of crystals of a salt from its solution is called:,Crystallization,Distillation,Evaporation,Filtering,Crystallization
MCQ,42,Common salt (NaCl) is obtained from:,Sea water,Soil,Mines,All of the above,All of the above
MCQ,43,The pH of blood is approximately:,6.5,7.0,7.4,8.0,7.4
MCQ,44,A salt that produces acidic solution in water is:,NaCl,Na₂CO₃,NH₄Cl,CH₃COONa,NH₄Cl
MCQ,45,A salt that produces basic solution in water is:,NaCl,NH₄Cl,CH₃COONa,CuSO₄,CH₃COONa
MCQ,46,The salt of a strong acid and strong base has pH:,Less than 7,Equal to 7,Greater than 7,Depends on concentration,Equal to 7
MCQ,47,The salt of a strong acid and weak base has pH:,Less than 7,Equal to 7,Greater than 7,Depends on concentration,Less than 7
MCQ,48,The salt of a weak acid and strong base has pH:,Less than 7,Equal to 7,Greater than 7,Depends on concentration,Greater than 7
MCQ,49,Dilute acids react with metals above hydrogen in the reactivity series to produce:,Salt and water,Salt and hydrogen,Salt and carbon dioxide,Salt and oxygen,Salt and hydrogen
MCQ,50,The process of treating acid indigestion with antacids involves:,Oxidation,Reduction,Neutralization,Displacement,Neutralization
